eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn
mi, vi	I, you	나, 당신	moi, toi	私、あなた	我，你	我，你	tôi, bạn
estas, estis	(present) is, am, are (past) was, were	(현재) ~이다, (과거) ~이었다	(présent) est, suis, sont (passé) était, étaient	(現在) ~である、(過去) ~だった	(现在) 是 (过去) 是	(現在) 是(過去) 是	(hiện tại) là, sáng, là (quá khứ) đã, đã
mi estas ~	I am ~	나는 ~ 이다	je suis ~	私は～である	我是~	我是~	Tôi là ~
vi estas ~	you are ~	당신은 ~ 이다	tu es ~	あなたは～である	你是~	你是~	bạn là ~
saluton	hello	안녕하세요	Bonjour	こんにちは、こんにちは	你好	你好	Xin chào
saluton, mi estas ~	hello, I am ~	안녕하세요, 나는 ~입니다	bonjour, je suis ~	こんにちは、私は～です	你好，我是~	你好，我是~	xin chào, tôi là ~
mia, via	my, your	나의, 당신의	mon ton	私の、あなたの	我的，你的	我的，你的	của tôi, của bạn
nomo	a name	이름	un nom	名前	一个名字	一個名字	một cái tên
mia nomo, via nomo	my name, your name	나의 이름, 당신의 이름	mon nom, ton nom	私の名前、あなたの名前	我的名字，你的名字	我的名字，你的名字	tên tôi, tên bạn
mia nomo estas ~	my name is ~	나의 이름은 ~입니다	je m'appelle ~	私の名前は～です	我的名字是~	我的名字是~	tên tôi là ~
via nomo estas ~	your name is ~	당신의 이름은 ~입니다	ton nom est ~	あなたの名前は～です	你的名字是~	你的名字是~	tên bạn là ~
fartas, fartis	(present) does, (past) did	(현재) 지낸다, (과거) 지냈다	(présent) fait, (passé) fait	(現在）過ごしている、（過去）過ごしていた	（现在）做，（过去）做	（現在）做，（過去）做	(hiện tại) làm, (quá khứ) đã làm
estis, estos	(present) was, were (future) will be	(과거) 이었다, (미래) 일 것이다	(présent) était, étaient (futur) sera	(過去)だった、(未来)だろう	（现在）曾经、曾经（未来）将会	（現在）曾經、曾經（未來）將會	(hiện tại) đã, đã (tương lai) sẽ là
nomo, nomon	a name, an (objective) name	이름, 이름을	un nom, un nom (objectif)	名前、名前を	一个名字，一个（客观的）名字	一個名字，一個（客觀的）名字	một cái tên, một cái tên (khách quan)
mia amo	my love	나의 사랑	mon amour	私の愛	亲爱的	親愛的	Tình yêu của tôi
vi fartas	you are doing ~	당신은 지낸다	tu fais ~	あなたは過ごします	你在做~	你在做~	bạn đang làm ~
kiel	how	어떻게	comment	どのように	如何	如何	Làm sao
kiel vi fartas?	how are you doing?	당신은 어떻게 지내세요?	comment allez-vous?	あなたはどうですか？	你好吗？	你好嗎？	Bạn dạo này thế nào?
kio	what	무엇	quoi	何	什么	什麼	Gì
kio estas via nomo?	what is your name?	당신의 이름은 무엇입니까?	quel est ton nom ?	あなたの名前は何ですか？	你叫什么名字？	你叫什麼名字？	Tên của bạn là gì?
bona, bone	good, well	좋은 (형용사), 잘 (부사)	bon bien	良い (形容詞), よく (副詞)	不错嘛	不錯嘛	cũng tốt
fartas bone	is doing well	잘 지낸다 (지내고 있다)	ça va bien	うまくやっている (やっている)	做得很好	做得很好	là làm tốt
mi fartas bone	I am doing well	나는 잘 지냅니다	je me débrouille bien	私は元気です	我做得不错	我做得不錯	tôi đang làm tốt
