eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn	mn	th	ms	id	hi	fa	ne	ur	tr	he	ar	de	es	it	pt	ru	pl	km	my	bn	ta	pa	mr	te	uk	sv	sw
mi, vi	I, you	나, 당신	moi, toi	私、あなた	我，你	我，你	tôi, bạn	Би, чи	ฉันคุณ	Saya awak	Aku kamu	मई आपको	من ... شما	म तीमी	میں، تم	Ben sen	אני, אתה	I لك	Ich du	Yo ... tú	Io tu	Eu você	Я тебя	Ja Ty	ខ្ញុំ​អ្នក	ငါမင်း	আমি তুমি	நான் நீ	ਮੈਂ, ਤੁਸੀਂ	मी, तू	నేను మీరు	Я тебе	Jag du	Mimi wewe
estas, estis	(present) is, am, are (past) was, were	(현재) ~이다, (과거) ~이었다	(présent) est, suis, sont (passé) était, étaient	（現在）〜だ、（過去）〜だった	(现在) 是 (过去) 是	(現在) 是(過去) 是	(hiện tại) là, sáng, là (quá khứ) đã, đã	(одоогийн) байна, байна, байна (өнгөрсөн) байсан, байсан	(ปัจจุบัน) เป็น อยู่ คือ เท่ากับ, (อดีต) เป็น อยู่ คือ เท่ากับ	(sekarang) ialah, am, are (past) was, were	(sekarang) adalah, saya, adalah (masa lalu) adalah, dulu	(वर्तमान) है, हूँ, हूँ (अतीत) था, थे	(حال) است، هستم، هستند (گذشته) بود، بودند	(वर्तमान) is, am, are (भूत) थियो, थियो	(موجودہ) ہے، ہوں، ہیں (ماضی) تھا، تھے۔	(şimdiki) öyle, öyleyim, öyle (geçmiş) öyleydi, öyleydi	(הווה) הוא, אני, הם (עבר) היה, היו	(الحاضر) هو، أنا، هم (الماضي) كان، كان	(Gegenwart) ist, bin, sind (Vergangenheit) war, waren	(presente) es, soy, son (pasado) era, eran	(presente) è, sono, sono (passato) era, erano	(presente) é, sou, são (passado) foi, foram	(настоящее) есть, есть, (прошлое) было, были	(obecny) jest, jestem, są (w przeszłości) był, był	(បច្ចុប្បន្ន) គឺ, គឺ, គឺ (អតីតកាល) គឺ, គឺ	(ပစ္စုပ္ပန်) ဟူသည်, am, are (အတိတ်) was, were	(বর্তমান) is, am, are (অতীত) was, were	(தற்போது) is, am, are (past) was, were	(ਮੌਜੂਦਾ) ਹੈ, ਹਾਂ, ਹਨ (ਅਤੀਤ) ਸੀ, ਸਨ	(वर्तमान) आहे, am, आहेत (भूतकाळ) होते, होते	(ప్రస్తుతం) is, am, are (past) was, were	(теперішній) is, am, are (past) was, were	(nuvarande) är, är, är (förflutna) var, var	(ya sasa) ni, niko, ni (yaliyopita) yalikuwa, yalikuwa
mi estas ~	I am ~	나는 ~ 이다	je suis ~	私は〜です	我是~	我是~	Tôi là ~	Би ~	ฉันคือ~	saya ~	saya ~	मैं ~ हूँ	من هستم ~	म ~	میں ہوں ~	ben ~	אני ~	أنا ~	Ich bin ~	yo soy ~	Sono ~	eu sou ~	я ~	Jestem ~	ខ្ញុំ ~	ငါ ~	আমি ~	நான் ~	ਮੈਂ ~ ਹਾਂ	मी ~ आहे	నేను ~	Я ~	jag är ~	I am ~
vi estas ~	you are ~	당신은 ~ 이다	tu es ~	あなたは〜です	你是~	你是~	bạn là ~	чи ~	คุณคือ ~	awak ~	kamu adalah ~	आप ~ हैं	تو هستی ~	तपाईं ~ हुनुहुन्छ	آپ ہیں ~	sen ~	אתה ~	أنت ~	Du bist ~	tu eres ~	tu sei ~	você é ~	ты ~	jesteś ~	អ្នកគឺ ~	မင်းက ~	তুমি ~	நீங்கள் ~	ਤੁਸੀਂ ~ ਹੋ	तू आहेस ~	మీరు ~	ти ~	du är ~	wewe ni ~
saluton	hello	안녕하세요	Bonjour	こんにちは	你好	你好	Xin chào	Сайн уу	สวัสดี	hello	Halo	नमस्ते	سلام	नमस्कार	ہیلو	Merhaba	שלום	مرحبًا	Hallo	Hola	Ciao	olá	привет	Witam	សួស្តី	မင်္ဂလာပါ	হ্যালো	வணக்கம்	ਸਤ ਸ੍ਰੀ ਅਕਾਲ	नमस्कार	హలో	привіт	Hallå	habari
saluton, mi estas ~	hello, I am ~	안녕하세요, 나는 ~입니다	bonjour, je suis ~	こんにちは、私は〜です	你好，我是~	你好，我是~	xin chào, tôi là ~	сайн уу, би ~	สวัสดี ฉันคือ~	hello, saya ~	halo, saya ~	नमस्ते, मैं ~ हूँ	سلام من هستم ~	नमस्ते, म हुँ	ہیلو، میں ہوں ~	merhaba ben ~	שלום, אני ~	مرحباً، أنا ~	Hallo, ich bin ~	hola soy ~	ciao, sono ~	olá, eu sou ~	привет, я ~	cześć, jestem ~	ជំរាបសួរ, ខ្ញុំ ~	မင်္ဂလာပါ ငါ ~	হ্যালো, আমি ~	வணக்கம், நான் ~	ਹੈਲੋ, ਮੈਂ ਹਾਂ ~	नमस्कार, मी आहे ~	హలో, నేను ~	привіт, я ~	hej, jag är ~	habari, I am ~
mia, via	my, your	나의, 당신의	mon ton	私の、あなたの	我的，你的	我的，你的	của tôi, của bạn	миний, чиний	ของฉัน, ของคุณ	saya, awak	milikku, kamu	मेरे आपके	من، تو	मेरो, तिम्रो	میرا آپکا	benim senin	שלי שלך	بلدي الخاص بك	mein dein	mio tuyo	mio tuo	meu, seu	мое твое	mój, twój	របស់ខ្ញុំ របស់អ្នក។	ငါ့ရဲ့	আমার তোমার	என், உங்கள்	ਮੇਰਾ, ਤੁਹਾਡਾ	माझे तुमचे	నా నీది	моя, твоя	min din	yangu, yako
nomo	a name	이름	un nom	名前	一个名字	一個名字	một cái tên	нэр	ชื่อ	Nama	sebuah nama	एक नाम	یک نام	एउटा नाम	ایک نام	bir isim	שם	اسم	ein Name	un nombre	un nome	um nome	имя	imię	ឈ្មោះមួយ។	နာမည်တစ်ခု	একটি নাম	ஒரு பெயர்	ਇੱਕ ਨਾਮ	नाव	ఒక పేరు	ім'я	ett namn	jina
mia nomo, via nomo	my name, your name	나의 이름, 당신의 이름	mon nom, ton nom	私の名前、あなたの名前	我的名字，你的名字	我的名字，你的名字	tên tôi, tên bạn	миний нэр, чиний нэр	ชื่อของฉัน, ชื่อของคุณ	nama saya, nama awak	namaku, namamu	मेरा नाम, तुम्हारा नाम	نام من، نام تو	मेरो नाम, तिम्रो नाम	میرا نام، آپ کا نام	benim adım, senin adın	השם שלי, השם שלך	اسمي، اسمك	mein Name, dein Name	mi nombre, tu nombre	il mio nome, il tuo nome	meu nome, seu nome	мое имя, твое имя	moje imię, twoje imię	ឈ្មោះរបស់ខ្ញុំ ឈ្មោះរបស់អ្នក។	ငါ့နာမည် မင်းနာမည်	আমার নাম, তোমার নাম	என் பெயர், உங்கள் பெயர்	ਮੇਰਾ ਨਾਮ, ਤੁਹਾਡਾ ਨਾਮ	माझे नाव, तुझे नाव	నా పేరు, మీ పేరు	моє ім'я, твоє ім'я	mitt namn, ditt namn	jina langu, jina lako
mia nomo estas ~	my name is ~	나의 이름은 ~입니다	je m'appelle ~	私の名前は〜です	我的名字是~	我的名字是~	tên tôi là ~	намайг ~ гэдэг	ชื่อของฉันคือ~	nama saya ~	namaku ~	मेरा नाम ~ है	نام من ~ است	मेरो नाम ~ हो	میرا نام ~ ہے۔	benim adım ~	שמי הוא ~	اسمي ~	mein Name ist ~	mi nombre es ~	il mio nome è ~	meu nome é ~	меня зовут ~	nazywam się ~	ខ្ញុំឈ្មោះ ~	ငါ့နာမည်က ~	আমার নাম ~	என் பெயர் ~	ਮੇਰਾ ਨਾਮ ~ ਹੈ	माझे नाव ~ आहे	నా పేరు ~	мене звати ~	mitt namn är ~	jina langu ni ~
