eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn	mn	th	ms	id	hi	fa	ne	ur	tr	he	ar	de	es	it	pt	ru	pl	km	my	bn	ta	pa	mr	te	uk	sv	sw	nl	no	da	lv	ro	lt	bg	sk	sl	et	cs	fi	hu	el
saluton!	hello!	안녕하세요	Bonjour!	こんにちは	你好！	你好！	Xin chào!	Сайн уу!	สวัสดี!	hello!	Halo!	नमस्ते!	سلام!	नमस्कार!	ہیلو!	Merhaba!	שלום!	مرحبًا!	Hallo!	¡Hola!	Ciao!	olá!	привет!	Witam!	សួស្តី!	မင်္ဂလာပါ!	হ্যালো!	வணக்கம்!	ਸਤ ਸ੍ਰੀ ਅਕਾਲ!	नमस्कार!	హలో!	привіт!	Hallå!	habari!	Hallo!	Hallo!	Hej!	Sveiki!	Buna ziua!	Sveiki!	Здравейте!	Ahoj!	zdravo!	Tere!	Ahoj!	Hei!	Helló!	Γειά σου!
mi estas ~	I am ~	나는 ~ 입니다	je suis ~	私は〜です	我是~	我是~	Tôi là ~	Би ~	ฉัน~	saya ~	saya ~	मैं ~ हूँ	من هستم ~	म ~	میں ہوں ~	ben ~	אני ~	أنا ~	Ich bin ~	yo soy ~	Sono ~	eu sou ~	я ~	Jestem ~	ខ្ញុំ ~	ငါ ~	আমি ~	நான் ~	ਮੈਂ ~ ਹਾਂ	मी ~ आहे	నేను ~	Я ~	jag är ~	I am ~	Ik ben ~	jeg er ~	jeg er ~	Es esmu ~	eu sunt ~	Aš esu ~	аз съм ~	Ja som ~	jaz sem ~	Olen ~	Já jsem ~	Olen ~	~ vagyok	είμαι ~
kiu vi estas?	who are you?	당신은 누구입니까?	qui es-tu ?	あなたは誰ですか？	你叫什么名字？	你是誰？	bạn là ai?	чи хэн бэ?	คุณคือใคร?	siapa awak	siapa kamu?	आप कौन हैं?	شما کی هستید؟	तिमी को हौ?	تم کون ہو؟	Sen kimsin?	מי אתה?	من أنت؟	wer bist du?	¿quién eres?	chi sei?	quem é você?	кто ты?	kim jesteś?	អ្នក​ជា​នរណា?	သင်ဘယ်သူလဲ?	তুমি কে?	யார் நீ?	ਤੂੰ ਕੌਣ ਹੈ?	तू कोण आहेस?	నీవెవరు?	хто ти?	vem är du?	wewe ni nani?	wie ben je?	Hvem er du?	hvem er du?	kas tu esi?	Cine eşti tu?	kas tu esi?	кой си ти?	kto si?	kdo si	kes sa oled?	kdo jsi?	kuka sinä olet?	Ki vagy te?	ποιος είσαι?
mia nomo estas ~	my name is ~	내 이름은 ~입니다	je m'appelle ~	私の名前は〜です	我的名字是~	我的名字是~	tên tôi là ~	намайг ~ гэдэг	ฉันชื่อ ~	nama saya ~	namaku ~	मेरा नाम ~ है	نام من ~ است	मेरो नाम ~ हो	میرا نام ~ ہے۔	benim adım ~	שמי הוא ~	اسمي ~	mein Name ist ~	mi nombre es ~	il mio nome è ~	meu nome é ~	меня зовут ~	nazywam się ~	ខ្ញុំឈ្មោះ ~	ငါ့နာမည်က ~	আমার নাম ~	என் பெயர் ~	ਮੇਰਾ ਨਾਮ ~ ਹੈ	माझे नाव ~ आहे	నా పేరు ~	мене звати ~	mitt namn är ~	jina langu ni ~	mijn naam is ~	jeg heter ~	mit navn er ~	mani sauc ~	numele meu este ~	mano vardas ~	моето име е ~	moje meno je ~	moje ime je ~	minu nimi on ~	jmenuji se ~	nimeni on ~	a nevem ~	το όνομά μου είναι ~
mi ĝojas	I am glad	나는 기쁩니다	Je suis heureux	嬉しいです	我很高兴	我很高興	tôi rất vui	би баяртай байна	ฉันดีใจ	Saya gembira	saya senang	ख़ुशी हुई	من خوشحالم	मा खुसी छु	میں خوش ہوں	Memnunum	אני שמח	يسرني	Ich bin froh	Me alegro	Sono contento	Estou feliz	Я рад	cieszę się	ខ្ញុំ​រីករាយ​ណាស់	ကျွန်တော်ဝမ်းသာပါတယ်	আমি আনন্দিত	நான் மகிழ்ச்சி அடைகிறேன்	ਮੈਂ ਪ੍ਰਸੰਨ ਹਾਂ	मला आनंद झाला	నేను సంతోషం గా ఉన్న	я радий	jag är glad	nimefurahi	ik ben blij	jeg er glad	jeg er glad	ES priecājos	Mă bucur	dziaugiuosi	радвам се	Som rád	Sem vesel	mul on hea meel	jsem rád	olen iloinen	örülök	Χαίρομαι
ankaŭ mi ĝojas	I am glad, too	나도 기쁩니다	Je suis content aussi	私も嬉しいです	我也很高兴	我也很高興	Tôi cũng vui mừng	Би ч гэсэн баяртай байна	ฉันก็ดีใจเหมือนกัน	Saya juga gembira	Saya juga senang	मैं भी खुश हूं	من هم خوشحالم	म पनि खुसी छु	میں بھی خوش ہوں۔	Ben de memnunum	גם אני שמח	أنا سعيد جدا	Ich bin auch froh	También me alegro	Anch'io sono felice	Estou feliz também	я тоже рад	Ja też się cieszę	ខ្ញុំក៏រីករាយដែរ។	ကျွန်တော်လည်း ဝမ်းသာပါတယ်။	আমিও খুশি	எனக்கும் மகிழ்ச்சி	ਮੈਂ ਵੀ ਖੁਸ਼ ਹਾਂ	मलाही आनंद झाला	నేను కూడా సంతోషిస్తున్నాను	Я теж радий	Jag är också glad	Nimefurahi pia	Ik ben ook blij	Jeg er glad også	Jeg er også glad	Es arī priecājos	Si eu ma bucur	as irgi dziaugiuosi	И аз се радвам	Aj ja som rád	Tudi jaz sem vesela	Mul on ka hea meel	Taky jsem rád	Minäkin olen iloinen	én is örülök	Κι εγώ χαίρομαι
ofte venas	often comes	자주 옵니다	vient souvent	頻繁に来ます	经常来	常來	thường đến	ихэвчлэн ирдэг	มักจะมา	kerap datang	sering datang	अक्सर आता है	اغلب می آید	अक्सर आउँछ	اکثر آتا ہے	sık sık gelir	לעתים קרובות מגיע	غالبا ما يأتي	kommt oft	viene a menudo	viene spesso	muitas vezes vem	часто приходит	często przychodzi	ជាញឹកញាប់មក	လာတတ်တယ်။	প্রায়ই আসে	அடிக்கடி வரும்	ਅਕਸਰ ਆਉਂਦਾ ਹੈ	अनेकदा येतो	తరచుగా వస్తుంది	часто приходить	kommer ofta	mara nyingi huja	komt vaak	kommer ofte	kommer ofte	bieži nāk	vine adesea	dažnai ateina	често идва	často prichádza	pogosto pride	sageli tuleb	často přichází	usein tulee	gyakran jön	έρχεται συχνά
al tiu ĉi dancejo	to this dancing place	이 춤추는 곳으로	à ce lieu de danse	このダンスフロアへ	到这个舞厅	到這個跳舞的地方	đến nơi khiêu vũ này	энэ бүжиглэх газар руу	ไปยังสถานที่เต้นรำแห่งนี้	ke tempat menari ini	ke tempat menari ini	इस नृत्य स्थल पर	به این مکان رقص	यो नृत्य ठाउँमा	اس رقص کی جگہ پر	bu dans yerine	למקום הריקוד הזה	إلى مكان الرقص هذا	zu diesem Tanzplatz	a este lugar de baile	in questo luogo di ballo	para este lugar de dança	в это танцевальное место	do tego tanecznego miejsca	ទៅកន្លែងរាំនេះ។	ဒီကခုန်တဲ့နေရာကို	এই নাচের জায়গায়	இந்த நடன இடத்திற்கு	ਇਸ ਨੱਚਣ ਵਾਲੀ ਥਾਂ 'ਤੇ	या नृत्याच्या ठिकाणी	ఈ నృత్య ప్రదేశానికి	до цього танцювального місця	till denna dansplats	mahali hapa pa kucheza	naar deze dansplaats	til dette dansestedet	til dette dansested	uz šo deju vietu	la acest loc de dans	į šią šokių vietą	на това място за танци	na toto tanečné miesto	na to plesišče	sellesse tantsupaika	na toto taneční místo	tähän tanssipaikkaan	erre a táncos helyre	σε αυτό το χορευτικό μέρος
ĉu vi ofte venas al tiu ĉi dancejo?	do you often come to this dancing place?	당신은 이 춤추는 곳에 자주 옵니까?	viens-tu souvent dans ce lieu de danse ?	あなたはこのダンスフロアによく来ますか？	你经常来这个舞厅吗？	你常來這個跳舞的地方嗎？	bạn có thường đến địa điểm khiêu vũ này không?	чи энэ бүжгийн газар байнга ирдэг үү?	คุณมาที่สถานที่เต้นรำแห่งนี้บ่อยไหม?	adakah anda sering datang ke tempat menari ini?	apakah kamu sering datang ke tempat dansa ini?	क्या आप अक्सर इस नृत्य स्थल पर आते हैं?	آیا اغلب به این مکان رقص می آیید؟	के तपाई यो नाच्ने ठाउँमा अक्सर आउनुहुन्छ?	کیا آپ اکثر اس ناچنے والی جگہ پر آتے ہیں؟	Bu dans yerine sık sık gelir misin?	אתה מגיע לעתים קרובות למקום הריקוד הזה?	هل تأتي في كثير من الأحيان إلى مكان الرقص هذا؟	Kommst du oft zu diesem Tanzlokal?	¿Vienes a menudo a este lugar de baile?	vieni spesso in questo posto dove ballare?	você costuma vir a este lugar de dança?	ты часто приходишь в это танцевальное место?	często przychodzisz do tego tanecznego miejsca?	តើអ្នកមកកន្លែងរាំនេះញឹកញាប់ទេ?	ဒီကခုန်တဲ့နေရာကို မကြာခဏရောက်ဖူးလား။	আপনি কি প্রায়ই এই নাচের জায়গায় আসেন?	நீங்கள் அடிக்கடி இந்த நடன இடத்திற்கு வருகிறீர்களா?	ਕੀ ਤੁਸੀਂ ਅਕਸਰ ਇਸ ਨੱਚਣ ਵਾਲੀ ਥਾਂ 'ਤੇ ਆਉਂਦੇ ਹੋ?	तुम्ही या नृत्याच्या ठिकाणी वारंवार येता का?	మీరు తరచుగా ఈ డ్యాన్స్ ప్లేస్‌కి వస్తుంటారా?	ти часто приходиш на це танцювальне місце?	kommer du ofta till det här dansstället?	mara nyingi huja mahali hapa pa kucheza dansi?	kom je vaak naar deze dansplek?	kommer du ofte til dette dansestedet?	kommer du ofte til dette dansested?	vai tu bieži nāk uz šo deju vietu?	vii des în acest loc de dans?	ar dažnai ateini į šią šokių aikštelę?	идваш ли често на това място за танци?	chodíš často na toto tanečné miesto?	pogosto prideš na to plesišče?	kas sa käid tihti selles tantsukohas?	chodíš často na toto taneční místo?	käytkö usein tässä tanssipaikassa?	gyakran jössz erre a táncos helyre?	έρχεστε συχνά σε αυτό το χορευτικό μέρος;
ne, ĉu vi?	no, do you?	아뇨, 당신은?	non, et toi ?	いいえ、あなたは？	不，你呢？	不，你呢？	không, phải không?	үгүй, тийм үү?	ไม่ คุณล่ะ?	tidak, adakah anda?	tidak, kan?	नहीं आप करते हैं?	نه، شما؟	होइन, के तपाई?	نہیں، کیا آپ؟	hayır, öyle mi?	לא, אתה?	لا، أليس كذلك؟	Nein du?	no, ¿y tú?	no, vero?	não, e você?	нет, а ты?	Nie, czy ty?	ទេមែនទេ?	မဟုတ်ဘူး မဟုတ်လား။	না তুমি কি?	இல்லை, நீயா?	ਨਹੀਂ, ਕੀ ਤੁਸੀਂ?	नाही, तुम्ही का?	లేదు, మీరు చేస్తారా?	ні, ти?	Nej gör du?	hapana, je!	Nee, jij wel?	Nei gjør du?	nej, gør du?	nē, vai ne?	nu, tu?	ne, ar tu?	не, а ти?	nie, ty?	ne, kajne?	ei, eks?	ne, ty ano?	ei, vai mitä?	nem, ugye?	όχι εσύ?
