eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn	mn	th	ms	id	hi	fa	ne	ur	tr	he	ar	de	es	it	pt	ru	pl
doni	to give	주다	donner	与える	给予	給予	cho	өгөх	ที่จะให้	untuk memberi	memberi	दे देना	دادن	दिनको लागि	دینا	vermek	לתת	لكي أعطي	geben	dar	dare	dar	давать	dawać
mi	I, me	나	moi, moi	私	我	我	tôi, tôi	би, би	ฉัน ฉัน	saya, saya	aku, aku	मैं, मैं	من، من	म, म	میں، میں	ben, ben	אני, אני	أنا، أنا	Ich, ich	Yo me	Io, io	eu, eu	я, я	Ja ja
vi	you	너, 당신	toi	あなた、あなた	你	你	Bạn	Та	คุณ	awak	Anda	आप	شما	तिमी	تم	Sen	אתה	أنت	Du	tú	Voi	você	ты	Ty
havi	to have, to wear, to carry, to own	가지다, 소유하다	avoir, porter, porter, posséder	持っている、所有する	拥有、佩戴、携带、拥有	擁有、穿戴、攜帶、擁有	có, mặc, mang theo, sở hữu	байх, өмсөх, авч явах, эзэмших	มี, สวมใส่, พกพา, เป็นเจ้าของ	untuk memiliki, memakai, membawa, memiliki	untuk memiliki, memakai, membawa, memiliki	रखना, पहनना, ले जाना, अपना होना	داشتن، پوشیدن، حمل کردن، داشتن	राख्नु, लगाउनु, बोक्नु, स्वामित्व लिनु	رکھنا، پہننا، لے جانا، مالک ہونا	sahip olmak, giymek, taşımak, sahip olmak	להיות, ללבוש, לשאת, להחזיק	أن تمتلك، أن ترتدي، أن تحمل، أن تمتلك	haben, tragen, tragen, besitzen	tener, llevar, llevar, poseer	avere, indossare, portare, possedere	ter, usar, carregar, possuir	иметь, носить, носить с собой, владеть	mieć, nosić, nosić, posiadać
ŝi	she	그녀	elle	彼女	她	她	cô ấy	тэр	เธอ	dia	dia	वह	او	उनी	وہ	o	היא	هي	sie	ella	Lei	ela	она	ona
li	he	그 남자	il	その男	他	他	Anh ta	тэр	เขา	dia	Dia	वह	او	उहाँ	وہ	O	הוא	هو	Er	él	Lui	ele	он	On
ili	they	그들, 그것들	ils	それら、それら	他们	他們	họ	тэд	พวกเขา	mereka	mereka	वे	آنها	तिनीहरू	وہ	Onlar	הֵם	هم	Sie	ellos	Essi	eles	они	Oni
ĝi	it	그것	il	それ	它	它	Nó	тэр	มัน	ia	dia	यह	آی تی	यो	یہ	BT	זה	هو - هي	Es	él	Esso	isto	это	To
oni	one, someone, somebody	누군가, 어떤 사람	un, quelqu'un, quelqu'un	誰か、ある人	一个、某人、某人	一個、某人、某人	một, ai đó, ai đó	нэг, хэн нэгэн, хэн нэгэн	หนึ่ง บางคน บางคน	satu, seseorang, seseorang	satu, seseorang, seseorang	एक, कोई, कोई	یکی، کسی، کسی	एक, कोही, कोही	ایک، کوئی، کوئی	biri, birisi, birisi	אחד, מישהו, מישהו	واحد، شخص ما، شخص ما	einer, jemand, jemand	uno, alguien, alguien	uno, qualcuno, qualcuno	um, alguém, alguém	один, кто-то, кто-то	jeden, ktoś, ktoś
ni	we, us	우리들	nous nous	私たち	我们我们	我們我們	chúng tôi chúng ta	бид, бид	พวกเรา พวกเรา	kami semua	kita, kita	हम हमें	ما، ما	हामी, हामी	ہم، ہم	biz, biz	אנחנו	نحن بذاتنا نحن بأنفسنا	wir uns	Nosotros	noi, noi	nós, nós	мы нас	my nas
