B.ar content.tsv
Level	Esperanto	ar	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	مرحبًا!	hello!	grupo	alternativoj	prononco
level	mi estas ~	أنا ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	من أنت؟	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	اسمي ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	يسرني	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	أنا سعيد جدا	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	غالبا ما يأتي	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	إلى مكان الرقص هذا	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	هل تأتي في كثير من الأحيان إلى مكان الرقص هذا؟	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	لا، أليس كذلك؟	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	أنا لا	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ هو اسم مثير للاهتمام	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	فعلا؟	is it?	grupo	alternativoj	prononco
level	ĉu ne?	أليس كذلك؟	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	في أي طريق؟	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	يرتبط ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	إنها مرتبطة بالاسبرانتو.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	ماذا؟	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	لم أسمع جيدا	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ بصوت عال جدا	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	الموسيقى صاخبة جدا	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	قلت ذلك ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	قلت أن اسمك مرتبط بالاسبرانتو	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	حقًا؟	really?	grupo	alternativoj	prononco
level	novaĵo por mi	خبر بالنسبة لي	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	هذا خبر بالنسبة لي	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	هل سمعت عن ~ ؟	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	هل سمعت عن الاسبرانتو؟	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	لم أكن أعلم ذلك~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	لكني لم أعلم أن اسمي مرتبط به	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	في الحقيقة	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	كيف الحال ~ ؟	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	كيف هي العلاقة؟	how is the relation?	grupo	alternativoj	prononco
level	ho!	أوه!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	هذه قصة طويلة	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	سوف أقول لك	will tell you	grupo	alternativoj	prononco
level	se vi volas	إذا أردت	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	سأخبرك لاحقا، إذا كنت تريد	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	في هذا المكان (في هذا الموقع)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	الكثير من الضجيج	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	في هذا المكان، هناك الكثير من الضوضاء	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	نعم انت على حق	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	هل نرقص؟	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	فكره جيده!	good idea!	grupo	alternativoj	prononco
