B.bg content.tsv
Level	Esperanto	bg	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	Здравейте!	hello!	grupo	alternativoj	prononco
level	mi estas ~	аз съм ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	кой си ти?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	моето име е ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	радвам се	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	И аз се радвам	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	често идва	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	на това място за танци	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	идваш ли често на това място за танци?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	не, а ти?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	нито аз	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ е интересно име	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	Така ли?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	не е ли	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	по какъв начин?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	е свързано с ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	то е свързано с есперанто.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	Какво?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	Не чух добре	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ е твърде силен	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	музиката е твърде силна	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	Казах това ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Казах, че името ви е свързано с есперанто	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	наистина ли?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	една новина за мен	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	това е новина за мен	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	чухте ли за ~?	did you hear about ~ ?	grupo	alternativoj	prononco
