C.bg content.tsv
Level	Esperanto	bg	en-us	Grupo	Alternativoj	Pronoco
level	doni	да дадеш	to give	grupo	alternativoj	prononco
level	mi	Аз	I, me	grupo	alternativoj	prononco
level	vi	Вие	you	grupo	alternativoj	prononco
level	havi	да имаш, да носиш, да носиш, да притежаваш	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	тя	she	grupo	alternativoj	prononco
level	li	той	he	grupo	alternativoj	prononco
level	ili	те	they	grupo	alternativoj	prononco
level	ĝi	то	it	grupo	alternativoj	prononco
level	oni	един, някой, някой	one, someone, somebody	grupo	alternativoj	prononco
level	ni	ние, нас	we, us	grupo	alternativoj	prononco
level	si	себе си	oneself	grupo	alternativoj	prononco
level	mem	от себе си	by oneself	grupo	alternativoj	prononco
level	ĝis ~	до ~, докато ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	от ~	of ~	grupo	alternativoj	prononco
level	da ~	(много) от ~, (много) от ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(наставка) нещо, конкретно проявление	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	близо, близо до, скоро, наблизо	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(наставка) повтарящо се действие, продължително действие	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(наставка) сегашно време	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(наставка) минало време	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	да бъде	to be	grupo	alternativoj	prononco
level	-os	(наставка) бъдеще време	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(предлог) преди ~, пред ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	да направя, да направя	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(предлог) също, също	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	след ~	after ~	grupo	alternativoj	prononco
level	mal-	(префикс) противоположно	(prefix)  opposite	grupo	alternativoj	prononco
