B.cs content.tsv
Level	Esperanto	cs	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	Ahoj!	hello!	grupo	alternativoj	prononco
level	mi estas ~	Já jsem ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	kdo jsi?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	jmenuji se ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	jsem rád	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	Taky jsem rád	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	často přichází	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	na toto taneční místo	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	chodíš často na toto taneční místo?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	ne, ty ano?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	ani mi	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ je zajímavé jméno	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	je to?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	není to tak?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	jakým způsobem?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	souvisí s ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	souvisí s esperantem.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	co?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	Neslyšela jsem dobře	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ je příliš hlasitý	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	hudba je příliš hlasitá	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	Řekl jsem, že ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Řekl jsem, že vaše jméno souvisí s esperantem	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	opravdu?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	pro mě novinka	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	to je pro mě novinka	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	slyšeli jste o ~?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	slyšeli jste o esperantu?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	To jsem nevěděl ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	ale nevěděl jsem, že s tím souvisí moje jméno	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	ve skutečnosti	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	jak je ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	jaký je vztah?	how is the relation?	grupo	alternativoj	prononco
level	ho!	Ach!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	to je dlouhý příběh	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	řekne ti	will tell you	grupo	alternativoj	prononco
level	se vi volas	jestli chceš	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Řeknu vám to později, pokud budete chtít	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	na tomto místě (v tomto místě)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	příliš mnoho hluku	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	v tomto místě je příliš mnoho hluku	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	Ano, máte pravdu	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	budeme tančit?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	dobrý nápad!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	děkuji za příjemný večer	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	děkuji (tobě)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	bylo to velmi dobré	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	hudba je příjemná ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	hudba se mi velmi líbila	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	i mně	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	tanec je velmi zábavný	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	tančit s tebou	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	bylo velmi zábavné s tebou tančit	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	tady je moje jmenovka	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	jestli to chceš	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	tady je moje karta, jestli chceš	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	na něm je také ~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	je na něm i adresa	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	existuje adresa na webovou stránku	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	adresu stránky s kurzem espernata	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	Děkuji	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	Pošlu ti e-mail	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	dobře!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	zase se uvidíme a dobrou noc!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	Uvidíme se!	see you!	grupo	alternativoj	prononco
level	aperas en ~	se objeví v ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	instant messenger	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ se objeví v instant messengeru	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	jsi ta osoba?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	ta osoba, která se mnou tančila	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	V sobotu večer	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	jsi ten člověk, který se mnou v sobotu večer tančil?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	Ano, to jsem já	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	Jsem rád, že ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	Jsem rád, že jste zavítali na stránky	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	je ti to příjemné? (líbí se ti to?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	ano, ano	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	je to velmi krásné	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	vypadá zajímavě	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	je to moc krásné a vypadá to zajímavě	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	ještě ne ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	není zcela připraven	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	ještě není zcela připraven	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	ale brzy to bude	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	rozumím (vidím)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	ale již existuje mnoho pomocných nástrojů	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	slovník	a dictionary	grupo	alternativoj	prononco
level	superrigardo	přehled	an overview	grupo	alternativoj	prononco
level	ekzerco	spotřební daň	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	příkladová slova, přehled, posel a ukázky	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	přehled gramatiky	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	instant messenger a různá cvičení	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	je to dobrý začátek	it is a good start	grupo	alternativoj	prononco
level	pardonon	promiň, omlouvám se	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	Musím mluvit s ~	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	mluvit s jinou osobou	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	Omlouvám se, měl bych si promluvit s jinou osobou	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	jazykový pomocník	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	Jsem její jazykový pomocník	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	a teď chce mluvit o ~	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	mluvit o cvičení	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	brzy se vrátí	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	Brzy se k vám vrátím	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	po několika minutách	after several minutes	grupo	alternativoj	prononco
level	finparolis	domluvil	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	teď jsme dokončili povídání o cvičení	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	mezitím na chvíli	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	Mezitím jsem četl o esperantu	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	nejsem si jistý	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	ví dost o ~	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	Jazyk zatím dostatečně neznám	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	chytrá odpověď	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	Podívám se na stránky	I will look in the site	grupo	alternativoj	prononco
level	kaj provos iom lerni	a zkusím se trochu naučit	and will try learn a little	grupo	alternativoj	prononco
level	ĉu vi volas esti mia "lingvohelpanto"?	chceš být můj jazykový pomocník?	do you want to be my language helper?	grupo	alternativoj	prononco
level	volonte!	ochotně!	willingly!	grupo	alternativoj	prononco
level	nedankinde!	nemáš zač!	you're welcome!	grupo	alternativoj	prononco
level	nedankinde, sed kisinde	nestojí za poděkování, ale za polibek	not worth a thank, but worth a kiss	grupo	alternativoj	prononco
level	diras tion en Esperanto	říká to v esperantu	says that in Esperanto	grupo	alternativoj	prononco
level	kio? mi ne komprenas	co? já tomu nerozumím	what? I don't understand	grupo	alternativoj	prononco
level	vi povas rigardi en la vortaro	můžete se podívat do slovníku	you can look in a dictionary	grupo	alternativoj	prononco
level	bedaŭrinde	bohužel	unfortunately	grupo	alternativoj	prononco
level	mi devas foriri de Interreto nun	Teď musím vypnout internet	I must go off from Internet now	grupo	alternativoj	prononco
level	mi revenos vespere	vrátím se večer	I will come back in the evening	grupo	alternativoj	prononco
level	mi pensas, ke mi estos ĉe la paĝaro tiam	Myslím, že do té doby budu na místě	I think that I will be at the site by that time	grupo	alternativoj	prononco
level	perfekte!	perfektní!	perfect!	grupo	alternativoj	prononco
level	do, ĝis tiam!	no, tak se uvidíme!	well, see you then!	grupo	alternativoj	prononco
level	ĝis poste!	uvidíme se později!	see you later!	grupo	alternativoj	prononco
level	vespere, ankaŭ ĉe la tujmesaĝilo	večer také na instant messengeru	in the evening, also at the instant messenger	grupo	alternativoj	prononco
level	resaluton!	Ahoj znovu! (re-)	hello again! (re-)	grupo	alternativoj	prononco
level	saluton denove!	Ahoj znovu!	hello again!	grupo	alternativoj	prononco
level	mi rigardis preskaŭ ĉiujn paĝojn de la paĝaro	Prohlédl jsem si téměř všechny stránky z webu	I looked almost all pages from the site	grupo	alternativoj	prononco
level	bonege!	celkem dobrý! skvělý!	quite good! awesome!	grupo	alternativoj	prononco
level	mi havas kelkajn demandojn	Mám několik otázek	I have several questions	grupo	alternativoj	prononco
level	ĉu vi havas tempon?	Máš čas?	Do you have time?	grupo	alternativoj	prononco
level	jes, mi havas liberan vesperon	ano, večer mám volno	yes, I am free in the evening	grupo	alternativoj	prononco
level	do, skribu viajn demandojn	tak pište otázky	so, write your questions	grupo	alternativoj	prononco
level	mi provos respondi	pokusím se odpovědět	I will try to answer	grupo	alternativoj	prononco
level	mi legis ke Esperanto havas kulturon	Četl jsem, že esperanto má kulturu	I read that Esperanto has a culture	grupo	alternativoj	prononco
level	tamen mi ne komprenas ~	ale nerozumím ~	however I don't understand ~	grupo	alternativoj	prononco
level	kie mi povas trovi tiun kulturon	kde najdu takovou kulturu	where I can find such a culture	grupo	alternativoj	prononco
level	vi trovos ĝin ĉie, kie estas ~	najdete všude, kde ~ je	you'll find everwhere, where ~ is	grupo	alternativoj	prononco
level	ĉie, kie estas homoj, kiuj parolas Esperanton	kdekoli, kde jsou lidé, kteří mluví esperantem	any place where are people who speak Esperanto	grupo	alternativoj	prononco
level	sed neniu popolo uzas Esperanton	ale nikdo nepoužívá esperanto	but no people use Esperanto	grupo	alternativoj	prononco
level	prave!	že jo!	right!	grupo	alternativoj	prononco
level	sed homoj, kiuj parolas Esperanton	ale lidé, kteří mluví esperantem	but people who speak Esperanto	grupo	alternativoj	prononco
level	ofte vojaĝas kaj renkontas aliajn Esperantistojn	často cestují a setkávají se s jinými esperantisty	often travel and meet other Esperantists	grupo	alternativoj	prononco
level	dum tiuj renkontoj	během těch setkání	during those meetings	grupo	alternativoj	prononco
level	ili uzas la lingvon en plej diversaj situacioj	používají jazyk v nejrůznějších situacích	they use the language in most various situations	grupo	alternativoj	prononco
level	do, tie vi trovos ~	takže tam najdeš ~	so there you will find ~	grupo	alternativoj	prononco
level	vi trovos la kulturon	najdete kulturu	you'll find the culture	grupo	alternativoj	prononco
level	trovos la kulturon de Esperanto	nalezne kulturu esperanta	will find the culture of Esperanto	grupo	alternativoj	prononco
level	bone, ĉu ekzistas muziko?	dobře, existuje hudba?	okay, does music exist?	grupo	alternativoj	prononco
level	muziko, literaturo, teatraĵo	hudba, literatura, divadlo	music, literature, theater	grupo	alternativoj	prononco
level	k.t.p.	atd	etc	grupo	alternativoj	prononco
level	same kiel ~	stejně jako ~	same as ~	grupo	alternativoj	prononco
level	same kiel estas por aliaj lingvoj	stejné jako u jiných jazyků	same as there are for other languages	grupo	alternativoj	prononco
level	la kvanto ne estas same granda	množství není tak velké	the quantity is not so big	grupo	alternativoj	prononco
level	same granda kiel en naciaj lingvoj	velký jako v národních jazycích	as big as in national languages	grupo	alternativoj	prononco
level	sed tio ne gravas	ale to není důležité	but that's not important	grupo	alternativoj	prononco
level	almenaŭ ne por mi	alespoň pro mě ne	at least not for me	grupo	alternativoj	prononco
level	se vi volas aŭskulti ~	pokud chcete poslouchat ~	if you want to listen ~	grupo	alternativoj	prononco
level	aŭskulti kanton en Esperanto	poslouchat píseň v esperantu	to listen to a song in Esperanto	grupo	alternativoj	prononco
level	jen la kanto, "Liza pentras bildojn"	tady je píseň, &quot;Lisa maluje obrázky&quot;	here's the song, "Lisa paints pictures"	grupo	alternativoj	prononco
level	aŭskultas la kanton	poslouchá píseň	listens to the song	grupo	alternativoj	prononco
level	ne malbone	není špatné	not bad	grupo	alternativoj	prononco
level	kaj vi trovos multajn librojn en Esperanto	a v esperantu najdete mnoho knih	and you will find many books in Esperanto	grupo	alternativoj	prononco
level	rigardas la librojn	prohlíží knihy	looks the books	grupo	alternativoj	prononco
level	sufiĉe multaj	dost mnoho	enough many	grupo	alternativoj	prononco
level	ĉu vi legas multe en Esperanto?	čteš hodně v esperantu?	do you read much in Esperanto?	grupo	alternativoj	prononco
level	jes, de tempo al tempo	ano, někdy (čas od času)	yes, sometimes (from time to time)	grupo	alternativoj	prononco
level	se vi iam lernos la lingvon	jestli se někdy naučíš jazyk	if you ever learn the language	grupo	alternativoj	prononco
level	mi rekomendos al vi kelkajn bonajn librojn	Doporučím vám nějaké dobré knihy	I will recommend you some good books	grupo	alternativoj	prononco
level	temas pri ~	je o ~	is about ~ 	grupo	alternativoj	prononco
level	mia alia demando temas pri mia nomo	moje další otázka se týká mého jména	my other question is about my name	grupo	alternativoj	prononco
level	vi diris antaŭe ke ~	dříve jsi řekl, že ~	you said earlier that ~	grupo	alternativoj	prononco
level	havas rilaton al ~	má vztah k ~	has a relation to ~	grupo	alternativoj	prononco
level	diris ke ĝi havas rilaton al Esperanto	řekl, že má vztah k esperantu	said that it has a relation to Esperanto	grupo	alternativoj	prononco
level	ha, jes, pri tio	ach ano, o tom	oh, yes, about that	grupo	alternativoj	prononco
level	viro kun la nomo ~	muž jménem ~	a man with the name ~	grupo	alternativoj	prononco
level	iam vivis viro kun la nomo ~	žil kdysi muž jménem ~	once lived a man with the name ~	grupo	alternativoj	prononco
level	li estis tre aktiva en la Esperanto-movado	byl velmi aktivní v esperantském hnutí	he was very active in the Esperanto movement	grupo	alternativoj	prononco
level	kiam ĝi estis tute nova	když byl úplně nový	when it was completely new	grupo	alternativoj	prononco
level	tradukis la libron al ~	přeložil knihu do ~	translated the book to ~	grupo	alternativoj	prononco
level	kaj tradukis multajn librojn al Esperanto	a přeložil mnoho knih do esperanta	and translated many books to Esperanto	grupo	alternativoj	prononco
level	kaj tio faris lin fama?	a to ho proslavilo?	and that made him famous?	grupo	alternativoj	prononco
level	unu el la plej gravaj por Esperanto tiam	jeden z nejdůležitějších pro esperanto v té době	one of the most important for Esperanto at that time	grupo	alternativoj	prononco
level	kaj li multe influis la stilon de la lingvo	a měl velký vliv na jazykový styl	and he had a lot of influence on the language style	grupo	alternativoj	prononco
level	ne, certe li estis grava kaj influis multe	ne, určitě byl důležitý a měl vliv	no, certainly he was important and had influence	grupo	alternativoj	prononco
level	tamen, li subite forlasis la movadon	hnutí však náhle opustil	however, he suddenly abandoned the movement	grupo	alternativoj	prononco
level	mi imagas ke ~	Představuji si, že ~	I imagine that ~	grupo	alternativoj	prononco
level	mi imagas ke estis granda ŝoko por multaj	Myslím, že to byl pro mnohé velký šok	I imagine that it was a big shock to many	grupo	alternativoj	prononco
level	kial li forlasis Esperanton?	proč opustil esperanto?	why did he leave Esperanto?	grupo	alternativoj	prononco
level	mi kredas ke ~	Věřím, že ~	I believe that ~	grupo	alternativoj	prononco
level	li estis malkontenta pri la Esperantistoj	byl nespokojen s esperantisty	he was dissatisfied with the Esperantists	grupo	alternativoj	prononco
level	li diris ion similan al ~	řekl něco podobného ~	he said something similar to ~	grupo	alternativoj	prononco
level	Esperanton devas lerni la Esperantistoj mem!	Esperanto se musí naučit sami esperantisté!	Esperanto must be learned by Esperantists themselves!	grupo	alternativoj	prononco
level	kion li volis diri per ~ ?	co tím chtěl říct ~?	what did he mean to say by ~?	grupo	alternativoj	prononco
level	kion li volis diri per tio?	co tím chtěl říct?	what did he mean to say by that?	grupo	alternativoj	prononco
level	verŝajne ke ~	je pravděpodobné, že ~	it is likely that ~	grupo	alternativoj	prononco
level	homoj malbone parolis Esperanton	lidé mluvili esperantem špatně	people spoke Esperanto badly 	grupo	alternativoj	prononco
level	verŝajne ke homoj tiam malbone parolis	je pravděpodobné, že lidé mluvili špatně	it is likely that people spoke badly	grupo	alternativoj	prononco
level	en la jaro 1911, li forlasis Esperanton	v roce 1911 opustil esperanto	in the year 1911, he left Esperanto	grupo	alternativoj	prononco
level	sed mi pensas ke ~	ale myslím, že ~	but I think that ~	grupo	alternativoj	prononco
level	estas pli alta	je vyšší	is higher	grupo	alternativoj	prononco
level	hodiaŭ la lingvonivelo estas pli alta	dnes je jazyková úroveň vyšší	today the language level is higher	grupo	alternativoj	prononco
level	la lingvonivelo de la Esperantistoj	jazyková úroveň esperantistů	the language level of the Esperantists	grupo	alternativoj	prononco
level	sed mi pensas ke hodiaŭ la nivelo estas pli alta	ale myslím, že dnes je úroveň vyšší	but I think that today the level is higher	grupo	alternativoj	prononco
level	do, mi devas bone lerni la lingvon	takže se musím dobře naučit jazyk	so I have to learn the language well	grupo	alternativoj	prononco
level	por esti bona homo	za to, že jsi dobrý člověk	for being a good person	grupo	alternativoj	prononco
level	kaj vi devas uzi simplan stilon	a měli byste používat jednoduchý styl	and you should use simple style	grupo	alternativoj	prononco
level	ĉar tio estis tre grava por li	protože to pro něj bylo velmi důležité	because that was very important for him	grupo	alternativoj	prononco
level	tio plaĉas al mi	to mě těší (to se mi líbí)	that pleases me (I like that)	grupo	alternativoj	prononco
level	en Esperanto eĉ ekzistas vorto ~	v esperantu je dokonce slovo ~	in Esperanto, there is even a word ~	grupo	alternativoj	prononco
level	eĉ ekzistas vorto "kabei"	existuje dokonce slovo &quot;kabei&quot;	there is even a word "kabei"	grupo	alternativoj	prononco
level	forlasi la movadon	opustit pohyb	to abandon the movement	grupo	alternativoj	prononco
level	vorto "kabei", kiu signifas forlasi la movadon	slovo &quot;kabei&quot;, což znamená opuštění pohybu	a word "kabei", which means abandoning the movement	grupo	alternativoj	prononco
level	interese!	to je zajímavé!	that's interesting!	grupo	alternativoj	prononco
level	mi nun scias unu vorton en Esperanto	teď umím jedno slovo v esperantu	now I know one word in Esperanto	grupo	alternativoj	prononco
level	neniam forgesos	nikdy nezapomenu	will never forget	grupo	alternativoj	prononco
level	kaj verŝajne mi neniam forgesos ĝin	a asi na to nikdy nezapomenu	and I will probably never forget it	grupo	alternativoj	prononco
level	en kafejo, post pluraj semajnoj	v kavárně' po několika týdnech	in a cafe' after several weeks	grupo	alternativoj	prononco
level	li sukcesis lerni Esperanton	se mu podařilo naučit se esperanto	he managed to learn Esperanto	grupo	alternativoj	prononco
level	kaj ili nun uzas la lingvon	a používají jazyk	and they are using the language	grupo	alternativoj	prononco
level	inviti, invitilo	pozvat, pozvání	to invite, an invitation	grupo	alternativoj	prononco
level	jen, rigardu, invitilo por IJK!	tady, podívej, pozvánka na IJK!	here, look, an invitation for IJK!	grupo	alternativoj	prononco
level	kio? I-J-kio?	co? Ee-yo-co?	what? Ee-yo-what?	grupo	alternativoj	prononco
