B.da content.tsv
Level	Esperanto	da	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	Hej!	hello!	grupo	alternativoj	prononco
level	mi estas ~	jeg er ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	hvem er du?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	mit navn er ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	jeg er glad	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	Jeg er også glad	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	kommer ofte	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	til dette dansested	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	kommer du ofte til dette dansested?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	nej, gør du?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	jeg heller ikke	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ er et interessant navn	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	er det?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	er det ikke?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	på hvilken måde?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	er relateret til ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	det er relateret til esperanto.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	hvad?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	Jeg hørte ikke godt	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ er for højt	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	musikken er for høj	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	Jeg sagde det ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Jeg sagde, at dit navn er relateret til esperanto	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	virkelig?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	en nyhed til mig	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	det er en nyhed for mig	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	har du hørt om ~ ?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	har du hørt om esperanto?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	Det vidste jeg ikke ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	men jeg vidste ikke, at mit navn er relateret til det	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	faktisk	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	hvordan er ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	hvordan er forholdet?	how is the relation?	grupo	alternativoj	prononco
level	ho!	åh!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	det er en lang historie	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	vil fortælle dig	will tell you	grupo	alternativoj	prononco
level	se vi volas	Hvis du vil	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Jeg fortæller dig senere, hvis du vil	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	på dette sted (på dette sted)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	for meget støj	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	på dette sted er der for meget støj	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	Ja du har ret	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	Skal vi danse?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	god ide!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	tak for en hyggelig aften	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	tak (til dig)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	det var meget godt	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	en musik er behagelig for ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	musikken var meget behagelig for mig	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	også til mig	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	dans er meget sjovt	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	at danse med dig	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	det var meget sjovt at danse med dig	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	her er mit navnekort	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	hvis du vil have det	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	her er mit kort, hvis du vil	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	på den er der også ~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	på den er der også en adresse	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	der er en adresse til en hjemmeside	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	en adresse til et websted med Espernato-kursus	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	tak skal du have	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	Jeg sender dig en e-mail	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	okay!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	vi ses igen, og godnat!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	vi ses!	see you!	grupo	alternativoj	prononco
level	aperas en ~	vises i ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	en instant messenger	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ vises i chatmeddelelsen	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	er du den person?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	den person, der havde danset med mig	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	Lørdag aften	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	er du den person, der dansede med mig lørdag aften?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	ja det er mig	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	Jeg er glad for, at ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	Jeg er glad for, at du kom til siden	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	er det glædeligt for dig? (kan du lide det?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	ja, jo	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	det er meget smukt	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	virker interessant	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	det er meget smukt og virker interessant	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	endnu ikke ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	er ikke helt klar	is not completely ready	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	den er endnu ikke helt klar	it is not yet totally ready	grupo	alternativoj	prononco
level	sed baldaŭ estos	men snart bliver det	but soon it will be	grupo	alternativoj	prononco
level	mi komprenas	Jeg forstår (jeg kan se)	I understand (I see)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	men der er allerede mange hjælpeværktøjer	but already there're many help tools	grupo	alternativoj	prononco
level	vortaro	En ordbog	a dictionary	grupo	alternativoj	prononco
level	superrigardo	et overblik	an overview	grupo	alternativoj	prononco
level	ekzerco	en punktafgift	an excecise	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	eksempelord, overblik, budbringer og øvelser	example words, overview, messanger and execerces	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	et overblik over grammatikken	an overview of the grammar	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	en instant messenger og forskellige øvelser	an instant messenger and various excercises	grupo	alternativoj	prononco
level	estas bona komenco	det er en god start	it is a good start	grupo	alternativoj	prononco
level	pardonon	undskyld mig, jeg er ked af det	pardon me I'm sorry	grupo	alternativoj	prononco
level	mi devas paroli kun ~	Jeg må tale med ~	I must speak with ~	grupo	alternativoj	prononco
level	paroli kun alia persono	at tale med en anden person	to speak with another person	grupo	alternativoj	prononco
level	pardonon, mi devas paroli kun alia persono	Undskyld, jeg burde tale med en anden person	I'm sorry, I should talk with other person	grupo	alternativoj	prononco
level	lingvohelpanto	en sproghjælper	a language helper	grupo	alternativoj	prononco
level	mi estas ŝia "lingvohelpanto"	Jeg er hendes sproghjælper	I am her language helper	grupo	alternativoj	prononco
level	kaj nun ŝi volas paroli pri ~	og nu vil hun tale om ~	and now she wants to talk about ~	grupo	alternativoj	prononco
level	paroli pri unu ekzerco	at tale om en øvelse	to talk about an excercise	grupo	alternativoj	prononco
level	baldaŭ revenos	snart kommer tilbage	soon will come back	grupo	alternativoj	prononco
level	mi baldaŭ revenos al vi	Jeg vender snart tilbage til dig	I will come back to you soon	grupo	alternativoj	prononco
level	post kelkaj minutoj	efter flere minutter	after several minutes	grupo	alternativoj	prononco
level	finparolis	færdig med at snakke	finished talking	grupo	alternativoj	prononco
level	nun ni finparolis pri la ekzerco	nu er vi færdige med at snakke om øvelsen	now we finished talking aout the excercise	grupo	alternativoj	prononco
level	dume	i mellemtiden et stykke tid	in the mean time, for a while	grupo	alternativoj	prononco
level	mi legis pri Esperanto dume	Jeg læste om esperanto i mellemtiden	I read about Esperanto in the mean time	grupo	alternativoj	prononco
level	mi ne certas	Jeg er ikke sikker	I'm not certain	grupo	alternativoj	prononco
level	scias sufiĉe pri ~	ved nok om ~	knows enough about ~	grupo	alternativoj	prononco
level	mi ankoraŭ ne scias sufiĉe pri la lingvo	Jeg kender ikke sproget tilstrækkeligt endnu	I don't know sufficiently about the language, yet	grupo	alternativoj	prononco
level	saĝa respondo	et smart svar	a smart answer	grupo	alternativoj	prononco
level	mi rigardos en la paĝaro	Jeg vil kigge på siden	I will look in the site	grupo	alternativoj	prononco
