A.de content.tsv
Level	Esperanto	de	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	Ich du	I, you	grupo	alternativoj	prononco
level	estas, estis	(Gegenwart) ist, bin, sind (Vergangenheit) war, waren	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	Ich bin ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	Du bist ~	you are ~	grupo	alternativoj	prononco
level	saluton	Hallo	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	Hallo, ich bin ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	mein dein	my, your	grupo	alternativoj	prononco
level	nomo	ein Name	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	mein Name, dein Name	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	mein Name ist ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	Dein Name ist ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(Gegenwart) tut, (Vergangenheit) tat	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(Gegenwart) war, wo (Zukunft) sein wird	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	ein Name, ein (objektiver) Name	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	Meine Liebe	my love	grupo	alternativoj	prononco
level	vi fartas	du machst ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	Wie	how	grupo	alternativoj	prononco
level	kiel vi fartas?	Wie geht es dir?	how are you doing?	grupo	alternativoj	prononco
level	kio	Was	what	grupo	alternativoj	prononco
level	kio estas via nomo?	wie heißt du?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	gut, nun ja	good, well	grupo	alternativoj	prononco
level	fartas bone	geht es gut	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	mir geht es gut	I am doing well	grupo	alternativoj	prononco
level	kaj	Und	and	grupo	alternativoj	prononco
level	bone, kaj vi?	gut und Sie?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	bis ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(Gegenwart) sieht, (Vergangenheit) sah	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(vergangen) sah, (vergangen) sah wieder	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	wieder gesehen, werde wieder sehen	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	wiedersehen, wiedersehen (objektiv)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	Wir sehen uns wieder!	see you again!	grupo	alternativoj	prononco
level	dankon	Danke	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	Vielen Dank und bis bald!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	zu ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	für dich, für mich	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(Gegenwart) Danke, (Vergangenheit) Danke	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	Ich schätze es für Sie	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	ja Nein	yes, no	grupo	alternativoj	prononco
level	jes, dankon	Ja, glaube ich	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	isst, wird essen	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	Ich esse nicht	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	Nein, ich esse nicht	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	schön, wunderschön	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	lohnenswert (Ende)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	dankbar, es lohnt sich zu danken	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	ganz, als Ganzes	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	alle, (objektiv) alle	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	Überhaupt nicht, gern geschehen	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	absolut nein	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	verzeihen, ein Verzeihen	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	eine Vergebung für mich	a forgiving to me	grupo	alternativoj	prononco
