A.el content.tsv
Level	Esperanto	el	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	Εγώ εσύ	I, you	grupo	alternativoj	prononco
level	estas, estis	(παρόν) είναι, είμαι, είναι (παρελθόν) ήταν, ήταν	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	είμαι ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	είσαι ~	you are ~	grupo	alternativoj	prononco
level	saluton	Γειά σου	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	γεια, είμαι ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	μου, σου	my, your	grupo	alternativoj	prononco
level	nomo	ένα όνομα	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	το όνομά μου, το όνομά σου	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	το όνομά μου είναι ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	το όνομά σου είναι ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(παρόν) κάνει, (παρελθόν) έκανε	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(παρόν) ήταν, ήταν (μέλλον) θα είναι	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	ένα όνομα, ένα (αντικειμενικό) όνομα	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	αγάπη μου	my love	grupo	alternativoj	prononco
level	vi fartas	κάνεις ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	πως	how	grupo	alternativoj	prononco
level	kiel vi fartas?	πώς είσαι?	how are you doing?	grupo	alternativoj	prononco
level	kio	τι	what	grupo	alternativoj	prononco
level	kio estas via nomo?	πως σε λένε?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	καλά, καλά	good, well	grupo	alternativoj	prononco
level	fartas bone	κάνει καλά	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	Είμαι καλά	I am doing well	grupo	alternativoj	prononco
level	kaj	και	and	grupo	alternativoj	prononco
level	bone, kaj vi?	καλα και εσυ?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	μέχρι ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(παρόν) βλέπει, (παρελθόν) είδε	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(παρελθόν) είδε, (παρελθόν) ξαναείδε	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	είδα ξανά, θα ξαναδώ	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	ξαναβλέπω, ξαναβλέπω (αντικειμενικός)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	τα λέμε!	see you again!	grupo	alternativoj	prononco
level	dankon	ευχαριστώ	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	ευχαριστώ και τα ξαναλέμε!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	να ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	σε σένα, σε μένα	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(παρόν) ευχαριστώ, (παρελθόν) ευχαρίστησε	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	Σας εκτιμώ	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	ναι όχι	yes, no	grupo	alternativoj	prononco
level	jes, dankon	ναι, σε ευχαριστώ	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	τρώει, θα φάει	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	δεν τρώω	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	όχι, δεν τρώω	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	όμορφα, όμορφα	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	αξίζει τον κόπο (τέλειωμα)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	αξιόλογο, αξίζει να ευχαριστήσω	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	ολόκληρο, ως σύνολο	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	όλα, (αντικειμενικά) όλα	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	καθόλου, καλώς ήρθες	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	εντελώς όχι	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	συγχωρώ, συγχωρώ	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	με συγχωρεί	a forgiving to me	grupo	alternativoj	prononco
