A.en-us content.tsv
Level	Esperanto	en-us	fr	Grupo	Alternativoj	Pronoco
level	mi, vi	I, you	moi, toi	grupo	alternativoj	prononco
level	estas, estis	(present) is, am, are (past) was, were	(présent) est, suis, sont (passé) était, étaient	grupo	alternativoj	prononco
level	mi estas ~	I am ~	je suis ~	grupo	alternativoj	prononco
level	vi estas ~	you are ~	tu es ~	grupo	alternativoj	prononco
level	saluton	hello	Bonjour	grupo	alternativoj	prononco
level	saluton, mi estas ~	hello, I am ~	bonjour, je suis ~	grupo	alternativoj	prononco
level	mia, via	my, your	mon, ton	grupo	alternativoj	prononco
level	nomo	a name	un nom	grupo	alternativoj	prononco
level	mia nomo, via nomo	my name, your name	mon nom, ton nom	grupo	alternativoj	prononco
level	mia nomo estas ~	my name is ~	je m'appelle ~	grupo	alternativoj	prononco
level	via nomo estas ~	your name is ~	ton nom est ~	grupo	alternativoj	prononco
level	fartas, fartis	(present) does, (past) did	(présent) fait, (passé) fait	grupo	alternativoj	prononco
level	estis, estos	(present) was, were (future) will be	(présent) était, étaient (futur) sera	grupo	alternativoj	prononco
level	nomo, nomon	a name, an (objective) name	un nom, un nom (objectif)	grupo	alternativoj	prononco
level	mia amo	my love	mon amour	grupo	alternativoj	prononco
level	vi fartas	you are doing ~	tu fais ~	grupo	alternativoj	prononco
level	kiel	how	comment	grupo	alternativoj	prononco
level	kiel vi fartas?	how are you doing?	comment allez-vous?	grupo	alternativoj	prononco
level	kio	what	quoi	grupo	alternativoj	prononco
level	kio estas via nomo?	what is your name?	quel est ton nom ?	grupo	alternativoj	prononco
level	bona, bone	good, well	bon, bien	grupo	alternativoj	prononco
level	fartas bone	is doing well	ça va bien	grupo	alternativoj	prononco
level	mi fartas bone	I am doing well	je vais bien	grupo	alternativoj	prononco
level	kaj	and	et	grupo	alternativoj	prononco
level	bone, kaj vi?	fine, and you?	bien et toi?	grupo	alternativoj	prononco
level	ĝis ~	until ~	jusqu'à ~	grupo	alternativoj	prononco
level	vidas, vidis	(present) sees, (past) saw	(présent) voit, (passé) a vu	grupo	alternativoj	prononco
level	vidis, revidis	(past) saw, (past) saw again	(passé) vu, (passé) revu	grupo	alternativoj	prononco
level	revidis, revidos	saw again, will see again	j'ai revu, je reverrai	grupo	alternativoj	prononco
level	revido, revidon	seeing-again, seeing-again (objective)	revoir, revoir (objectif)	grupo	alternativoj	prononco
level	ĝis revido!	see you again!	à la prochaine!	grupo	alternativoj	prononco
level	dankon	thank you	merci	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	thank you and see you again!	merci et à bientôt !	grupo	alternativoj	prononco
level	al ~	to ~	à ~	grupo	alternativoj	prononco
level	al vi, al mi	to you, to me	à toi, à moi	grupo	alternativoj	prononco
