B.en-us content.tsv
Level	Esperanto	en-us	fr	Grupo	Alternativoj	Pronoco
level	saluton!	hello!	Bonjour!	grupo	alternativoj	prononco
level	mi estas ~	I am ~	je suis ~	grupo	alternativoj	prononco
level	kiu vi estas?	who are you?	qui es-tu ?	grupo	alternativoj	prononco
level	mia nomo estas ~	my name is ~	je m'appelle ~	grupo	alternativoj	prononco
level	mi ĝojas	I am glad	Je suis heureux	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	I am glad, too	Je suis content aussi	grupo	alternativoj	prononco
level	ofte venas	often comes	vient souvent	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	to this dancing place	à ce lieu de danse	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	do you often come to this dancing place?	viens-tu souvent dans ce lieu de danse ?	grupo	alternativoj	prononco
level	ne, ĉu vi?	no, do you?	non, et toi ?	grupo	alternativoj	prononco
level	ankaŭ mi ne	mi neither	moi non plus	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ is an interesting name	~ est un nom intéressant	grupo	alternativoj	prononco
level	ĉu?	is it?	est-ce ?	grupo	alternativoj	prononco
level	ĉu ne?	isn't it?	n'est-ce pas ?	grupo	alternativoj	prononco
level	en kiu maniero?	in what way?	de quelle manière ?	grupo	alternativoj	prononco
level	rilatas al ~	is related to ~	est lié à ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	it is related to Esperanto.	c'est lié à l'espéranto.	grupo	alternativoj	prononco
level	kio?	what?	quoi ?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	I didn't hear well	je n'ai pas bien entendu	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ is too loud	~ est trop fort	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	the music is too loud	la musique est trop forte	grupo	alternativoj	prononco
level	mi diris, ke ~	I said that ~	J'ai dit que ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	I said that your name is related to Esperanto	J'ai dit que ton nom est lié à l'espéranto	grupo	alternativoj	prononco
level	ĉu vere?	really?	vraiment ?	grupo	alternativoj	prononco
level	novaĵo por mi	a news for me	une nouvelle pour moi	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	that's a news for me	c'est une nouvelle pour moi	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	did you hear about ~ ?	as-tu entendu parler de ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	did you hear about Esperanto?	Avez-vous entendu parler de l'espéranto ?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	I didn't know that ~	Je ne savais pas que ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	but I didn't know that my name is related to it	mais je ne savais pas que mon nom y était lié	grupo	alternativoj	prononco
level	fakte	in fact	En fait	grupo	alternativoj	prononco
level	kia estas ~ ?	how is ~ ?	quel est ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	how is the relation?	quel est le rapport ?	grupo	alternativoj	prononco
level	ho!	oh!	Oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	that's a long story	c'est une longue histoire	grupo	alternativoj	prononco
level	rakontos al vi	will tell you	je te raconterai (je vais te raconter)	grupo	alternativoj	prononco
level	se vi volas	if you want	si tu veux	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	I will tell you later, if you want	Je te raconterai plus tard, si tu veux	grupo	alternativoj	prononco
level	en ĉi tiu loko	in this place (in this location)	à cet endroit (à cet endroit)	grupo	alternativoj	prononco
level	tro da bruo	too much noise	trop de bruit	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	in this place, there's too much noise	dans cet endroit, il y a trop de bruit	grupo	alternativoj	prononco
level	jes, vi pravas	yes, you're right	Oui tu as raison	grupo	alternativoj	prononco
level	ĉu ni dancu?	shall we dance?	Devrions-nous danser ?	grupo	alternativoj	prononco
level	bona ideo!	good idea!	bonne idée!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	thank you for a pleasant evening	merci pour cette agréable soirée	grupo	alternativoj	prononco
level	dankon al vi	thank you (to you)	Merci à toi	grupo	alternativoj	prononco
level	estis vere bona	it was very good	c'était très bon	grupo	alternativoj	prononco
level	muziko plaĉas al ~	a music is pleasing to ~	une musique plaît à ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	the music was very pleasing to me	la musique m'a beaucoup plu	grupo	alternativoj	prononco
level	ankaŭ al mi	also to me	aussi pour moi	grupo	alternativoj	prononco
level	danci estis tre amuze	dancing is very funny	C'était très amusant de danser	grupo	alternativoj	prononco
level	danci kun vi	to dance with you	danser avec toi	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	it was very funny to dance with you	C'était très amusant de danser avec toi	grupo	alternativoj	prononco
level	jen mia nomkarto	here's my name card	voici ma carte de visite	grupo	alternativoj	prononco
level	se vi volas ĝin	if you want it	si vous le voulez	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	here's my card, if you want	voici ma carte, si tu veux	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	on it there's also ~	dessus il y a aussi ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	on it there's also an address	dessus il y a aussi une adresse	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	there's an address to a website	Il y a aussi une adresse vers un site Web	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	an address to a site with Espernato course	une adresse vers un site avec un cours Esperanto	grupo	alternativoj	prononco
level	dankon	thank you	merci	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	I'll send you an e-mail	je t'enverrai un e-mail	grupo	alternativoj	prononco
level	bone!	okay!	d'accord!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	see you again, and good night!	à bientôt et bonne nuit !	grupo	alternativoj	prononco
level	ĝis la!	see you!	à bientôt!	grupo	alternativoj	prononco
level	aperas en ~	appears in ~	apparaît dans ~	grupo	alternativoj	prononco
level	tujmesaĝilo	an instant messenger	une messagerie instantanée	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ appears in the instant messanger	~ apparaît dans la messagerie instantanée	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	are you that person?	es-tu cette personne ?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	that person, who had danced with me	cette personne qui avait dansé avec moi	grupo	alternativoj	prononco
level	sabata nokto	Saturday night	samedi soir	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	are you that person, who danced with me Saturday night?	es-tu cette personne qui a dansé avec moi samedi soir ?	grupo	alternativoj	prononco
level	jes, estas mi	yes it is me	Oui, c'est moi	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	I'm pleased that ~	Je suis content que ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	I'm pleased that you came to the site	Je suis heureux que vous soyez venu sur le site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	is it pleasing to you? (do you like it?)	est-ce que ça vous plaît ? (aimez-vous?)	grupo	alternativoj	prononco
level	jes ja	yes, yay	oui, ouais	grupo	alternativoj	prononco
level	ĝi estas tre bela	it is very beautiful	c'est très beau	grupo	alternativoj	prononco
level	ŝajnas interesa	seems interesting	ça semble intéressant	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	it's very beautiful and seems interesting	c'est très beau et ça semble intéressant	grupo	alternativoj	prononco
level	ankoraŭ ne ~	not yet ~	pas encore ~	grupo	alternativoj	prononco
level	ne estas tute preta	is not completely ready	n'est pas complètement prêt	grupo	alternativoj	prononco
level	ĝi ankoraŭ ne estas tute preta	it is not yet totally ready	ce n'est pas encore totalement prêt	grupo	alternativoj	prononco
level	sed baldaŭ estos	but soon it will be	mais bientôt ce sera le cas	grupo	alternativoj	prononco
level	mi komprenas	I understand (I see)	Je comprends (je vois)	grupo	alternativoj	prononco
level	sed jam estas multaj helpiloj	but already there're many help tools	mais il existe déjà de nombreux outils d'aide	grupo	alternativoj	prononco
level	vortaro	a dictionary	un dictionnaire	grupo	alternativoj	prononco
level	superrigardo	an overview	un aperçu	grupo	alternativoj	prononco
level	ekzerco	an excecise	une exercice	grupo	alternativoj	prononco
level	ekzemple vortaroj, superrigardo, tujmesaĝilo kaj ekzercoj	example words, overview, messanger and execerces	exemples de mots, aperçu, messagerie instantanée et exercices	grupo	alternativoj	prononco
level	superrigardo de la gramatiko	an overview of the grammar	un aperçu de la grammaire	grupo	alternativoj	prononco
level	tujmesaĝilo kaj diversaj ekzercoj	an instant messenger and various excercises	une messagerie instantanée et divers exercices	grupo	alternativoj	prononco
level	estas bona komenco	it is a good start	C'est un bon début	grupo	alternativoj	prononco
level	pardonon	pardon me I'm sorry	pardonne-moi, je suis désolé	grupo	alternativoj	prononco
level	mi devas paroli kun ~	I must speak with ~	Je dois parler avec ~	grupo	alternativoj	prononco
level	paroli kun alia persono	to speak with another person	parler avec une autre personne	grupo	alternativoj	prononco
