C.en-us content.tsv
Level	Esperanto	en-us	fr	Grupo	Alternativoj	Pronoco
level	doni	to give	donner	grupo	alternativoj	prononco
level	mi	I, me	moi, moi	grupo	alternativoj	prononco
level	vi	you	toi	grupo	alternativoj	prononco
level	havi	to have, to wear, to carry, to own	avoir, porter, porter, posséder	grupo	alternativoj	prononco
level	ŝi	she	elle	grupo	alternativoj	prononco
level	li	he	il	grupo	alternativoj	prononco
level	ili	they	ils	grupo	alternativoj	prononco
level	ĝi	it	il	grupo	alternativoj	prononco
level	oni	one, someone, somebody	un, quelqu'un, quelqu'un	grupo	alternativoj	prononco
level	ni	we, us	nous nous	grupo	alternativoj	prononco
level	si	oneself	soi-même	grupo	alternativoj	prononco
level	mem	by oneself	par soi-même	grupo	alternativoj	prononco
level	ĝis ~	upto ~, until ~	jusqu'à ~, jusqu'à ~	grupo	alternativoj	prononco
level	de ~	of ~	de ~	grupo	alternativoj	prononco
level	da ~	(much) of ~, (many) of ~	(beaucoup) de ~, (beaucoup) de ~	grupo	alternativoj	prononco
level	-aĵo	<suffix> thing, concrete manifestation	<suffix>chose, manifestation concrète	grupo	alternativoj	prononco
level	proksima	near, close to, soon, nearby	près, près de, bientôt, à proximité	grupo	alternativoj	prononco
level	-adi	<suffix> repetitive action, lasting action	<suffix>action répétitive, action durable	grupo	alternativoj	prononco
level	-as	<suffix> present tense	<suffix>présent	grupo	alternativoj	prononco
level	-is	<suffix> past tense	<suffix>passé	grupo	alternativoj	prononco
level	esti	to be	être	grupo	alternativoj	prononco
level	-os	<suffix> future tense	<suffix>le futur	grupo	alternativoj	prononco
level	antaŭ ~	<preposition> before ~, in front of ~	<prep>avant ~, devant ~	grupo	alternativoj	prononco
level	fari	to make, to do	faire, faire	grupo	alternativoj	prononco
level	ankaŭ ~	<preposition> also, too	<prep>aussi trop	grupo	alternativoj	prononco
level	post ~	after ~	après ~	grupo	alternativoj	prononco
level	mal-	<prefix> opposite	<prefix>opposé	grupo	alternativoj	prononco
level	-ul-	<suffix> a person of some trait	<suffix>une personne ayant un certain caractère	grupo	alternativoj	prononco
