C.eo content.tsv
Level	Esperanto	eo	en-us	Grupo	Alternativoj	Pronoco
level	doni	doni	to give	grupo	alternativoj	prononco
level	mi	mi	I, me	grupo	alternativoj	prononco
level	vi	vi	you	grupo	alternativoj	prononco
level	havi	havi	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	ŝi	she	grupo	alternativoj	prononco
level	li	li	he	grupo	alternativoj	prononco
level	ili	ili	they	grupo	alternativoj	prononco
level	ĝi	ĝi	it	grupo	alternativoj	prononco
level	oni	oni	one, someone, somebody	grupo	alternativoj	prononco
level	ni	ni	we, us	grupo	alternativoj	prononco
level	si	si	oneself	grupo	alternativoj	prononco
level	mem	mem	by oneself	grupo	alternativoj	prononco
level	ĝis ~	ĝis ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	de ~	of ~	grupo	alternativoj	prononco
level	da ~	da ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	-aĵo	<suffix> thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	proksima	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	-adi	<suffix> repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	-as	<suffix> present tense	grupo	alternativoj	prononco
level	-is	-is	<suffix> past tense	grupo	alternativoj	prononco
level	esti	esti	to be	grupo	alternativoj	prononco
level	-os	-os	<suffix> future tense	grupo	alternativoj	prononco
level	antaŭ ~	antaŭ ~	<preposition> before ~, in front of ~	grupo	alternativoj	prononco
level	fari	fari	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	ankaŭ ~	<preposition> also, too	grupo	alternativoj	prononco
level	post ~	post ~	after ~	grupo	alternativoj	prononco
level	mal-	mal-	<prefix> opposite	grupo	alternativoj	prononco
level	-ul-	-ul-	<suffix> a person of some trait	grupo	alternativoj	prononco
level	-in-	-in-	<suffix> female	grupo	alternativoj	prononco
level	-ant-	-ant-	<suffix> active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	-int-	<suffix> active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	-ont-	<suffix> active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	kaj (k.)	and	grupo	alternativoj	prononco
level	aŭ	aŭ	or	grupo	alternativoj	prononco
level	alta	alta	high, tall	grupo	alternativoj	prononco
level	jes	jes	yes	grupo	alternativoj	prononco
level	ne	ne	not, no	grupo	alternativoj	prononco
level	tiom	tiom	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	bona	good	grupo	alternativoj	prononco
level	kiom	kiom	how much, how many	grupo	alternativoj	prononco
