AGO	io, kion oni faras
BENZINO	hejtaĵo por irigi aŭtomobilon
CERTA	malhezitema
DANA	rilata al la lando Danujo
DATO	tago, en rilato al la tempo
EFEKTIVA	reala
FABELO	historio pri mirigaj okazaĵoj
FERIO	libertempo
FIDI	plenkredi pri iu all io
FROSTI 	esti tre malvarma
FROTI	preme movi ion sur io alia
GLASO	ujo, el kiu oni drinkas
GLITI	facile movigi sur grasa supraĵo
HEJTI	varmigi ĉambron aŭ loĝejon
JAKO	vestaĵo por la supra parto de la korpo
KONSIDERI	zorge atenti ion
KAPTI	ekteni
KOSTO	pago necesa por ricevi ion
LITO	aĵo, sur kiu oni dormas
MARMORO	bela blanka ŝtono
MATERIALO	Krudaĵo necesa por plenumi ion
MEDITI	pripensadi
METROPOLO	granda urbego
MODERNA	nuntempa
MODESTA	malfiera
NU	vorto uzata por atentigi pri tio, kio sekvos
ORDINARA	kutima
PAŬZO	mallonga hezito
PUTO	subterejo, el kiu oni levprenas kutime akvon
PROVIZI	havigi necesaĵojn
RAKONTI	diri historion
RANO	vivantaĵeto, kiu loĝas sambone teron kaj akvon
RIPOZI	resti nenion faranta, eble dormanta
RULI	ĉirkaŭmove antaŭenigi ion
SOBRA	malebria
SPECIALA	intencata por unu celo
SUPOZI	kredi ion vera
ŜULTRO	plej supra trunkoparto
ŜVEBI	resti senmove pendanta, kvazaŭ fluge
TERURO	timego
URĜI	plirapidigi
VOJAĜI	iri aŭ veturi por atingi lokon ne proksiman
BINDO	eksteraĵo de libro
ĈIFI	malglatigi
DIO	supernatura reganta estaĵo
DIVERSA	malsameca
ESENCO	la ĉefa, plej necesa parto de io
FALSA	malvera
FRAPI	bateti
GLATA	priskribas ion, sur kiu mano facile glitas
INSTRUI	lernigi
KADRO	tio, per kiu oni ĉirkaŭigas, ekzemple fotografaĵon
KLARA	malkonfuza
KLASO	aro de lernantoj, kiuj lernas kune
LITERO	alfabeta signo
LUDI	fari ion por nura plezuro
MATURA	plenkreskinta, plenpova
ONKLO	frato de la patro aŭ patrino
PARDONI	malsevere trakti iun
PLEKTI	regule interkunigi laŭ longe, ekzemple harojn
PROBLEM	malfacila demando
PSALMO	speciala religia kanto
RELIGIO	kredo pri supernaturaj aferoj
ROBO	longs virina vesto
SERIOZA	zorge atent(ind)a
SPEGULO	glata, brila aĵo, per kiu oni povas vidi sin
ŜLOSI	fermi, ekzemple pordon, per speciala ilo
ŜPARI	atente reteni, ekzemple monon
TRUO	malplenaĵo en io
VIZITADI	ĉeesti; regule aliradi
ZONO	io, kion oni metas ĉirkaŭ la korpomezon
AMASO	multnombra aro
APARATO	ilaro por plenumi ion
APARTENI	esti ies posedaĵo
AVERTI	antaŭsciigi kaj atentigi
BARAKTI	forte movi sin por liberigi de io
BASTONO	longa, maldika peco de ligno
BLOVI	ekmovi la aeron
BOLi	varmigi je 100 gradoj centigradaj; forte malkvietigi
BORDO	apudakva tero
BORI	fari truon en io
DEKLIVO	klinita supraĵo
DIREKTO	la ĝusta vojo de unu loko al alia
DISTANCO	longeco inter du lokoj
DRIVI	sekvi la iron de la akvo
ELEMENTO	unu el la fundamentaj eroj de tutaĵo
FENESTRO	truo, kiun oni povas trarigardi, en muro de konstruaĵo
FIKSI	senmovigi ion
FERDEKO	supra promenejo de ŝipo
FIŜO	estaĵo, kiu vivas en akvo
FRAKASI	disrompi, dispecetigi
FURIOZA	freneze kolera
GAJA	rideme feliĉa
GENUO	mezo de kruro
GESTO	mansigno
GIGANTO	grandegulo
GRUPO	aro
HAVENO	apudborda ejo por ŝipoj
INTERMITA	interrompiĝanta
JUĜI	konsideri por decidi pri
ĴETI	rapide formovi de si ion tra la aero en alian lokon
KADAVRO	korpo de mortinto
KATASTROFO	subita malfeliĉega okazaĵo
KLIFO	marborda altaĵo
KOMPATI	senti kortuŝon pri ies malfeliĉo
KONSCII	scii tre klare
KUZO	filo de onklo aŭ onklino
LARMO	akvero el la okuloj
LIGNO	materialo de arboj
LUKTI	korpe batali kontraŭ iu aŭ io
MAGNETO	io, kio povas altiri
MANIERO	tiel, kiel oni faras ion
