B.es content.tsv
Level	Esperanto	es	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	¡Hola!	hello!	grupo	alternativoj	prononco
level	mi estas ~	yo soy ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	¿quién eres?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	mi nombre es ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	Me alegro	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	También me alegro	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	viene a menudo	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	a este lugar de baile	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	¿Vienes a menudo a este lugar de baile?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	no, ¿y tú?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	yo tampoco	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ es un nombre interesante	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	¿Lo es?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	¿no es así?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	¿en qué manera?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	está relacionado con ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	está relacionado con el esperanto.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	¿qué?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	no escuché bien	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ es demasiado ruidoso	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	la música está muy alta	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	dije eso ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Dije que tu nombre está relacionado con el esperanto.	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	¿en realidad?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	una noticia para mi	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	eso es una noticia para mi	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	¿Has oído hablar de ~?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	¿Has oído hablar del esperanto?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	No lo sabía ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	pero no sabía que mi nombre está relacionado con eso	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	En realidad	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	¿Cómo está ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	¿cómo es la relación?	how is the relation?	grupo	alternativoj	prononco
level	ho!	¡Vaya!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	esa es una larga historia	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	Te contaré	will tell you	grupo	alternativoj	prononco
level	se vi volas	si quieres	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Te lo cuento luego si quieres	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	en este lugar (en este lugar)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	demasiado ruido	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	En este lugar hay demasiado ruido.	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	sí tienes razón	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	¿bailamos?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	¡buena idea!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	gracias por una velada agradable	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	Gracias a ti)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	fue muy bueno	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	una música es agradable para ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	la musica me agrado mucho	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	también a mi	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	bailar es muy divertido	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	bailar contigo	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	fue muy divertido bailar contigo	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	aquí está mi tarjeta de presentación	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	si lo quieres	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	aquí tienes mi tarjeta, si quieres	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	En él también hay ~	on it there's also ~	grupo	alternativoj	prononco
