C.es content.tsv
Level	Esperanto	es	en-us	Grupo	Alternativoj	Pronoco
level	doni	dar	to give	grupo	alternativoj	prononco
level	mi	Yo me	I, me	grupo	alternativoj	prononco
level	vi	tú	you	grupo	alternativoj	prononco
level	havi	tener, llevar, llevar, poseer	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	ella	she	grupo	alternativoj	prononco
level	li	él	he	grupo	alternativoj	prononco
level	ili	ellos	they	grupo	alternativoj	prononco
level	ĝi	él	it	grupo	alternativoj	prononco
level	oni	uno, alguien, alguien	one, someone, somebody	grupo	alternativoj	prononco
level	ni	Nosotros	we, us	grupo	alternativoj	prononco
level	si	uno mismo	oneself	grupo	alternativoj	prononco
level	mem	por uno mismo	by oneself	grupo	alternativoj	prononco
level	ĝis ~	hasta ~, hasta ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	de ~	of ~	grupo	alternativoj	prononco
level	da ~	(mucho) de ~, (muchos) de ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(sufijo) cosa, manifestación concreta	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	cerca, cerca de, pronto, cerca	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(sufijo) acción repetitiva, acción duradera	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(sufijo) tiempo presente	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(sufijo) tiempo pasado	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	ser	to be	grupo	alternativoj	prononco
level	-os	(sufijo) tiempo futuro	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(preposición) antes de ~, delante de ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	hacer, hacer	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(preposición) también	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	después ~	after ~	grupo	alternativoj	prononco
level	mal-	(prefijo) opuesto	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(sufijo) una persona de algún rasgo	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(sufijo) femenino	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(sufijo) presente activo, es ~ing, alguien que está ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(sufijo) pasado activo, estaba ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(sufijo) futuro activo, será ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	y	and	grupo	alternativoj	prononco
level	aŭ	o	or	grupo	alternativoj	prononco
level	alta	talla alta	high, tall	grupo	alternativoj	prononco
level	jes	Sí	yes	grupo	alternativoj	prononco
level	ne	no 'no	not, no	grupo	alternativoj	prononco
level	tiom	tanto, tal cantidad, esa cantidad	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	bien	good	grupo	alternativoj	prononco
level	kiom	cuánto cuántos	how much, how many	grupo	alternativoj	prononco
level	ofte	a menudo con frecuencia	often, frequently	grupo	alternativoj	prononco
level	iom	un poco, más bien, algo, algo	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	nuevo, novela	new, novel	grupo	alternativoj	prononco
level	-at-	(sufijo) participio presente pasivo	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(sufijo) participio pasado pasivo	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(sufijo) participio futuro pasivo	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	mucho, bastante, mucho	very, quite, very much	grupo	alternativoj	prononco
level	tro	demasiado, excesivamente, demasiado	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	sin embargo, sin embargo, pero, sin embargo	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	¡Oh! ¡Ho!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	eso ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	porque ~	because ~	grupo	alternativoj	prononco
level	ĉu	si ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(sufijo) lugar	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(sufijo) nombre abstracto de la calidad	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	ambos ~	both ~	grupo	alternativoj	prononco
level	tuj	inmediatamente, al instante, inmediatamente	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	como si ~	as if ~	grupo	alternativoj	prononco
level	kiam	cuando	when	grupo	alternativoj	prononco
level	silenti	estar en silencio, estar quieto	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	nunca, en ningún momento, nunca	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	por lo tanto asi	therefore, so	grupo	alternativoj	prononco
level	kial	por qué, para qué	why, what for	grupo	alternativoj	prononco
level	kvankam	aunque ~, mientras, aunque	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(preposición) en ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	más	more	grupo	alternativoj	prononco
level	plej	mayoría	most	grupo	alternativoj	prononco
level	diri	decir, contar	to say, to tell	grupo	alternativoj	prononco
level	ol ~	que ~	than ~	grupo	alternativoj	prononco
level	paroli	hablar, hablar	to speak, to talk	grupo	alternativoj	prononco
level	kia	qué tipo de, qué tipo de	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	tal, ese tipo de, tal	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	apenas, apenas, escasamente	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	mandar	to send	grupo	alternativoj	prononco
level	ĵus	justo (hace un momento), justo ahora	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(sufijo) imperativo	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	afuera ~	outside ~	grupo	alternativoj	prononco
level	ge-	(prefijo) ambos sexos, ambos géneros	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(sufijo) haría, debería, subjuntivo	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	pronto	soon	grupo	alternativoj	prononco
level	almenaŭ	al menos, al menos	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	(sufijo) contenedor; país	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	aprender	to learn	grupo	alternativoj	prononco
level	ek-	(prefijo) comienzo; comienzo repentino	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	si, siempre que	if, provided that	grupo	alternativoj	prononco
level	eĉ	incluso	even	grupo	alternativoj	prononco
level	amo	un amor	a love	grupo	alternativoj	prononco
level	jam	ya, tan pronto, a partir de ahora	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	¡Aquí! ¡Mira! Mirad	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	terminar, terminar, terminar	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	entonces, entonces, por lo tanto	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ nunca, (lo que) nunca, en absoluto, -lo que sea	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	fácil, fácil	easy, facile	grupo	alternativoj	prononco
level	re-	(prefijo) re-	(prefix)  re-	grupo	alternativoj	prononco
level	granda	grande, genial, grande	big, great, large	grupo	alternativoj	prononco
level	-ist-	(sufijo) profesional	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(preposición) debido a ~, debido a ~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(sufijo) líder, jefe, jefe, jefe	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	qué	what	grupo	alternativoj	prononco
level	manĝi	comer	to eat	grupo	alternativoj	prononco
level	nenio	nada, nada, nada	nothing, none, not any thing	grupo	alternativoj	prononco
