C.et content.tsv
Level	Esperanto	et	en-us	Grupo	Alternativoj	Pronoco
level	doni	andma	to give	grupo	alternativoj	prononco
level	mi	Mina, mina	I, me	grupo	alternativoj	prononco
level	vi	sina	you	grupo	alternativoj	prononco
level	havi	omama, kandma, kandma, omama	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	ta	she	grupo	alternativoj	prononco
level	li	ta	he	grupo	alternativoj	prononco
level	ili	nad	they	grupo	alternativoj	prononco
level	ĝi	seda	it	grupo	alternativoj	prononco
level	oni	üks, keegi, keegi	one, someone, somebody	grupo	alternativoj	prononco
level	ni	meie, meie	we, us	grupo	alternativoj	prononco
level	si	iseennast	oneself	grupo	alternativoj	prononco
level	mem	enda poolt	by oneself	grupo	alternativoj	prononco
level	ĝis ~	kuni ~, kuni ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	~-st	of ~	grupo	alternativoj	prononco
level	da ~	(palju) ~-st, (palju) ~-st	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(sufiks) asi, konkreetne ilming	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	lähedal, lähedal, varsti, lähedal	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(liide) korduv tegevus, kestev tegevus	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(liide) olevik	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(liide) minevik	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	olla	to be	grupo	alternativoj	prononco
level	-os	(liide) tulevik	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(eessõna) enne ~, ~ ees	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	teha, teha	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(eessõna) ka, ka	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	pärast ~	after ~	grupo	alternativoj	prononco
level	mal-	(eesliide) vastand	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(liide) mõne tunnusega isik	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(liide) naine	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(sufiks) aktiivne olevik, on ~ing, keegi, kes on ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(liide) aktiivne minevik, oli ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(sufiks) aktiivne tulevik, saab olema ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	ja	and	grupo	alternativoj	prononco
level	aŭ	või	or	grupo	alternativoj	prononco
level	alta	kõrge, pikk	high, tall	grupo	alternativoj	prononco
level	jes	jah	yes	grupo	alternativoj	prononco
level	ne	ei, ei	not, no	grupo	alternativoj	prononco
level	tiom	nii palju, selline summa, see summa	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	hea	good	grupo	alternativoj	prononco
level	kiom	kui palju, kui palju	how much, how many	grupo	alternativoj	prononco
level	ofte	sageli, sageli	often, frequently	grupo	alternativoj	prononco
level	iom	natuke, pigem, natuke, mõnevõrra	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	uus, uudne	new, novel	grupo	alternativoj	prononco
level	-at-	(sufiks) passiivne oleviku osalause	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(sufiks) passiivne minevik	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(sufiks) passiivne tuleviku osastav	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	väga, üsna, väga	very, quite, very much	grupo	alternativoj	prononco
level	tro	liiga, ülemäära, liiga palju	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	siiski, aga siiski, siiski	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	Oh! Hoo!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	et ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	sest ~	because ~	grupo	alternativoj	prononco
level	ĉu	kas ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(liide) koht	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(sufiks) kvaliteedi abstraktne nimetus	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	mõlemad ~	both ~	grupo	alternativoj	prononco
level	tuj	kohe, kohe, kohe	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	justkui ~	as if ~	grupo	alternativoj	prononco
level	kiam	millal	when	grupo	alternativoj	prononco
level	silenti	vait olema, vait olema	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	mitte kunagi, mitte kunagi, mitte kunagi	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	järelikult nii	therefore, so	grupo	alternativoj	prononco
level	kial	miks, milleks	why, what for	grupo	alternativoj	prononco
level	kvankam	kuigi ~, samas, kuigi	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(eessõna) juures ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	rohkem	more	grupo	alternativoj	prononco
level	plej	enamus	most	grupo	alternativoj	prononco
level	diri	öelda, öelda	to say, to tell	grupo	alternativoj	prononco
level	ol ~	kui ~	than ~	grupo	alternativoj	prononco
level	paroli	rääkima, rääkima	to speak, to talk	grupo	alternativoj	prononco
level	kia	missugune, missugune	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	selline, selline, selline	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	vaevu, vaevalt, vaevalt	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	saatma	to send	grupo	alternativoj	prononco
level	ĵus	just (hetk tagasi), just nüüd	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(liide) imperatiiv	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	väljaspool ~	outside ~	grupo	alternativoj	prononco
level	ge-	(eesliide) mõlemast soost, mõlemast soost	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(liide) oleks, peaks, subjunktiv	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	varsti	soon	grupo	alternativoj	prononco
level	almenaŭ	vähemalt, kui mitte midagi muud	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	(liide) konteiner; riik	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	õppima	to learn	grupo	alternativoj	prononco
level	ek-	(eesliide) algus; äkiline algus	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	kui, eeldusel, et	if, provided that	grupo	alternativoj	prononco
level	eĉ	isegi	even	grupo	alternativoj	prononco
level	amo	armastus	a love	grupo	alternativoj	prononco
level	jam	juba, nii varsti, praeguse seisuga	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	Siin! Näe! Vaata	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	lõpetama, lõpetama, lõpetama	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	nii, siis, järelikult	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~iganes, (mis)iganes, üldse, -iganes	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	lihtne, kerge	easy, facile	grupo	alternativoj	prononco
level	re-	(eesliide) uuesti	(prefix)  re-	grupo	alternativoj	prononco
level	granda	suur, suur, suur	big, great, large	grupo	alternativoj	prononco
level	-ist-	(liide) professionaalne	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(eessõna) ~ tõttu, ~ tõttu	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(liide) juht, ülemus, pea, pealik	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	mida	what	grupo	alternativoj	prononco
level	manĝi	sööma	to eat	grupo	alternativoj	prononco
level	nenio	mitte midagi, mitte midagi, mitte midagi	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	noored	young	grupo	alternativoj	prononco
level	ĉio	kõike	everything	grupo	alternativoj	prononco
level	riĉa	rikas, jõukas, heal järjel	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	see asi, see	that thing, that	grupo	alternativoj	prononco
level	konstrui	ehitama, ehitama	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(eesliide) pealik, juhtiv, pea	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(eessõna) ilma ~ta	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(eessõna) koos ~ga (koos)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(eessõna) välja arvatud ~, peale ~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	sõber	a friend	grupo	alternativoj	prononco
level	kies	kelle, kumma oma, millest	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(eessõna) ~ (meetod), ~ (tööriist) abil	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	~ vastu	against ~	grupo	alternativoj	prononco
level	el ~	~-st, ~-st välja	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	täna	today	grupo	alternativoj	prononco
level	hieraŭ	eile	yesterday	grupo	alternativoj	prononco
level	nur	ainult, lihtsalt, eranditult	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	abistama, abistama, abistama	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(määrsõna) kaugel, eemal	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	ega, ei kumbagi	nor, neither	grupo	alternativoj	prononco
level	malamo	vihkamine	a hate	grupo	alternativoj	prononco
level	preskaŭ	peaaegu, peaaegu	almost, nearly	grupo	alternativoj	prononco
level	tra ~	~ kaudu	through ~	grupo	alternativoj	prononco
level	super	üle, üle	over, above	grupo	alternativoj	prononco
level	trans ~	üle ~, üle ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	noh, siis, nüüd	well, well then, now	grupo	alternativoj	prononco
level	pri ~	umbes ~	about ~	grupo	alternativoj	prononco
level	por ~	~ jaoks, ~ jaoks	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	homme	tomorrow	grupo	alternativoj	prononco
level	nun	praegu, praegu	now, at present	grupo	alternativoj	prononco
level	laŭ ~	~ järgi, ~ mööda	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	kõik, kõik, kõik, kõik	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	kes, milline, milline	who, which, which one	grupo	alternativoj	prononco
level	tiu	see inimene, see ~, see üks, seal	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	keegi, keegi, mõni	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	mitte keegi, ei keegi ega ka mitte	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	kuni ~	to ~	grupo	alternativoj	prononco
level	-ebl-	(liide) ~võimeline	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	lootma	to hope	grupo	alternativoj	prononco
level	unu	üks	one	grupo	alternativoj	prononco
level	du	kaks	two	grupo	alternativoj	prononco
level	tri	kolm	three	grupo	alternativoj	prononco
level	kvar	neli	four	grupo	alternativoj	prononco
level	kvin	viis	five	grupo	alternativoj	prononco
level	ses	kuus	six	grupo	alternativoj	prononco
level	sep	seitse	seven	grupo	alternativoj	prononco
level	ok	kaheksa	eight	grupo	alternativoj	prononco
level	naŭ	üheksa	nine	grupo	alternativoj	prononco
level	dek	kümme	ten	grupo	alternativoj	prononco
level	cent	sada	a hundred	grupo	alternativoj	prononco
level	mil	tuhat	a thousand	grupo	alternativoj	prononco
level	-obl-	(sufiks) paljususe, -oble, -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(liide) ~th, murd	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	armastusest	of love	grupo	alternativoj	prononco
level	anstataŭ ~	~ asemel	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(liide) muutuma	(suffix)  become	grupo	alternativoj	prononco
level	voli	tahtma, tahtma, tahtma	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(liide) põhjus muutuma	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	järgima	to follow	grupo	alternativoj	prononco
level	ĝoje	hea meelega	gladly	grupo	alternativoj	prononco
