B.fa content.tsv
Level	Esperanto	fa	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	سلام!	hello!	grupo	alternativoj	prononco
level	mi estas ~	من هستم ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	شما کی هستید؟	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	نام من ~ است	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	من خوشحالم	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	من هم خوشحالم	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	اغلب می آید	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	به این مکان رقص	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	آیا اغلب به این مکان رقص می آیید؟	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	نه، شما؟	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	من نه	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ نام جالبی است	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	آیا آن است؟	is it?	grupo	alternativoj	prononco
level	ĉu ne?	اینطور نیست؟	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	از چه طریقی؟	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	مربوط به ~ است	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	مربوط به اسپرانتو است.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	چی؟	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	خوب نشنیدم	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ خیلی بلند است	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	صدای آهنگ خیلی بالا است	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	گفتم که ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	گفتم اسم شما مربوط به اسپرانتو است	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	واقعا؟	really?	grupo	alternativoj	prononco
level	novaĵo por mi	یک خبر برای من	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	این برای من یک خبر است	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	در مورد ~ شنیدی؟	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	در مورد اسپرانتو شنیدی؟	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	من که نمیدونستم ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	اما من نمی دانستم که نام من به آن مربوط است	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	در حقیقت	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	چطوره ~	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	رابطه چطوره	how is the relation?	grupo	alternativoj	prononco
level	ho!	اوه	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	این داستان طولانی است	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	به شما خواهد گفت	will tell you	grupo	alternativoj	prononco
level	se vi volas	اگر می خواهید	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	اگه خواستی بعدا بهت میگم	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	در این مکان (در این مکان)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	سر و صدا بیش از حد	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	در این مکان، سر و صدای زیادی وجود دارد	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	بله حق با شماست	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	میتونیم برقصیم؟	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	ایده خوبی است!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	با تشکر از شما برای یک شب خوب	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	متشکرم (از شما)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	خیلی خوب بود	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	یک موسیقی برای ~ خوشایند است	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	موسیقی برای من بسیار دلنشین بود	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	همچنین به من	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	رقصیدن خیلی خنده داره	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	تا با تو برقصم	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	رقصیدن با تو خیلی خنده دار بود	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	کارت اسم من اینجاست	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	اگر آن را بخواهی	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	اگر بخواهید این کارت من است	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	روی آن نیز ~ وجود دارد	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	روی آن نیز یک آدرس وجود دارد	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	یک آدرس برای یک وب سایت وجود دارد	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	آدرس یک سایت با دوره اسپرناتو	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	متشکرم	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	من به شما یک ایمیل می فرستم	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	باشه!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	دوباره می بینمت، و شب بخیر!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	به امید دیدار!	see you!	grupo	alternativoj	prononco
level	aperas en ~	در ~ ظاهر می شود	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	یک پیام رسان فوری	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ در پیام رسان فوری ظاهر می شود	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	آیا شما آن شخص هستید؟	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	اون کسی که با من رقصیده بود	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	شنبه شب	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	آیا شما آن کسی هستید که شنبه شب با من رقصید؟	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	بله من هستم	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	من خوشحالم که ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	خوشحالم که به سایت آمدید	I'm pleased that you came to the site	grupo	alternativoj	prononco
