B.fi content.tsv
Level	Esperanto	fi	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	Hei!	hello!	grupo	alternativoj	prononco
level	mi estas ~	Olen ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	kuka sinä olet?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	nimeni on ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	olen iloinen	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	Minäkin olen iloinen	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	usein tulee	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	tähän tanssipaikkaan	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	käytkö usein tässä tanssipaikassa?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	ei, vai mitä?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	en minäkään	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ on mielenkiintoinen nimi	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	onko se?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	eikö olekin?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	millä tavalla?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	liittyy ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	se liittyy esperantoon.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	mitä?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	En kuullut hyvin	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ on liian kovaääninen	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	musiikki on liian kovaa	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	Sanoin, että ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Sanoin, että nimesi liittyy esperantoon	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	Todella?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	uutinen minulle	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	se on minulle uutinen	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	kuulitko ~ ?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	oletko kuullut esperantosta?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	En tiennyt, että ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	mutta en tiennyt, että nimeni liittyy siihen	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	itse asiassa	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	miten on ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	miten on suhde?	how is the relation?	grupo	alternativoj	prononco
level	ho!	vai niin!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	se on pitkä tarina	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	kertoo sinulle	will tell you	grupo	alternativoj	prononco
level	se vi volas	jos haluat	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Kerron myöhemmin, jos haluat	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	tässä paikassa (tässä paikassa)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	liikaa melua	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	tässä paikassa on liikaa melua	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	kyllä olet oikeassa	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	Tanssitaanko?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	hyvä idea!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	kiitos mukavasta illasta	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	Kiitos sinulle)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	se oli erittäin hyvä	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	musiikki miellyttää ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	musiikki miellytti minua erittäin paljon	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	myös minulle	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	tanssiminen on erittäin hauskaa	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	tanssimaan kanssasi	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	oli tosi hauskaa tanssia kanssasi	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	tässä on nimikorttini	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	jos haluat sitä	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	tässä on korttini, jos haluat	here's my card, if you want	grupo	alternativoj	prononco
