C.fi content.tsv
Level	Esperanto	fi	en-us	Grupo	Alternativoj	Pronoco
level	doni	antaa	to give	grupo	alternativoj	prononco
level	mi	Minä, minä	I, me	grupo	alternativoj	prononco
level	vi	sinä	you	grupo	alternativoj	prononco
level	havi	omistaa, kantaa, kantaa, omistaa	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	hän	she	grupo	alternativoj	prononco
level	li	hän	he	grupo	alternativoj	prononco
level	ili	ne	they	grupo	alternativoj	prononco
level	ĝi	se	it	grupo	alternativoj	prononco
level	oni	yksi, joku, joku	one, someone, somebody	grupo	alternativoj	prononco
level	ni	me, me	we, us	grupo	alternativoj	prononco
level	si	itse	oneself	grupo	alternativoj	prononco
level	mem	itsekseen	by oneself	grupo	alternativoj	prononco
level	ĝis ~	~ asti ~ asti	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	~	of ~	grupo	alternativoj	prononco
level	da ~	(paljon) ~:sta, (monet) ~:sta	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(pääte) asia, konkreettinen ilmentymä	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	lähellä, lähellä, pian, lähellä	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(pääte) toistuva toiminta, kestävä toiminta	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(pääte) nykyinen aika	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(pääte) mennyt aika	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	olla	to be	grupo	alternativoj	prononco
level	-os	(pääte) tulevaisuus	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(prepositio) ennen ~, ennen ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	tehdä, tehdä	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(prepositio) myös	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	~ jälkeen	after ~	grupo	alternativoj	prononco
level	mal-	(etuliite) vastapäätä	(prefix)  opposite	grupo	alternativoj	prononco
