B.fr content.tsv
Level	Esperanto	fr	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	Bonjour!	hello!	grupo	alternativoj	prononco
level	mi estas ~	je suis ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	qui es-tu ?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	je m'appelle ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	Je suis heureux	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	Je suis content aussi	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	vient souvent	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	à ce lieu de danse	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	viens-tu souvent dans ce lieu de danse ?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	non, et toi ?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	moi non plus	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ est un nom intéressant	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	est-ce ?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	n'est-ce pas ?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	de quelle manière ?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	est lié à ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	c'est lié à l'espéranto.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	quoi ?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	je n'ai pas bien entendu	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ est trop fort	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	la musique est trop forte	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	J'ai dit que ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	J'ai dit que ton nom est lié à l'espéranto	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	vraiment ?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	une nouvelle pour moi	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	c'est une nouvelle pour moi	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	as-tu entendu parler de ~ ?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	Avez-vous entendu parler de l'espéranto ?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	Je ne savais pas que ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	mais je ne savais pas que mon nom y était lié	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	En fait	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	quel est ~ ?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	quel est le rapport ?	how is the relation?	grupo	alternativoj	prononco
level	ho!	Oh!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	c'est une longue histoire	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	je te raconterai (je vais te raconter)	will tell you	grupo	alternativoj	prononco
level	se vi volas	si tu veux	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Je te raconterai plus tard, si tu veux	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	à cet endroit (à cet endroit)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	trop de bruit	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	dans cet endroit, il y a trop de bruit	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	Oui tu as raison	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	Devrions-nous danser ?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	bonne idée!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	merci pour cette agréable soirée	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	Merci à toi	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	c'était très bon	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	une musique plaît à ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	la musique m'a beaucoup plu	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	aussi pour moi	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	C'était très amusant de danser	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	danser avec toi	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	C'était très amusant de danser avec toi	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	voici ma carte de visite	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	si vous le voulez	if you want it	grupo	alternativoj	prononco
