B.hu content.tsv
Level	Esperanto	hu	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	Helló!	hello!	grupo	alternativoj	prononco
level	mi estas ~	~ vagyok	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	Ki vagy te?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	a nevem ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	örülök	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	én is örülök	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	gyakran jön	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	erre a táncos helyre	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	gyakran jössz erre a táncos helyre?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	nem, ugye?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	én sem	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	A ~ érdekes név	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	ez?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	nem igaz?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	milyen módon?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	~hoz kapcsolódik	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	az eszperantóhoz kapcsolódik.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	mit?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	Nem hallottam jól	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ túl hangos	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	túl hangos a zene	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	Azt mondtam, hogy ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Azt mondtam, hogy a neved az eszperantóhoz kapcsolódik	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	igazán?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	egy hír számomra	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	ez nekem hír	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	hallottál ~ról?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	hallottál az eszperantóról?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	Nem tudtam, hogy ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	de nem tudtam, hogy a nevem kapcsolódik hozzá	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	valójában	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	hogy van ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	milyen a kapcsolat?	how is the relation?	grupo	alternativoj	prononco
level	ho!	ó!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	ez egy hosszú történet	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	megmondja	will tell you	grupo	alternativoj	prononco
level	se vi volas	ha akarod	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Később elmondom, ha akarod	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	ezen a helyen (ezen a helyen)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	túl sok zaj	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	ezen a helyen túl nagy a zaj	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	Igen, igazad van	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	táncolunk?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	jó ötlet!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	köszönöm a kellemes estét	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	köszönöm neked)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	nagyon jó volt	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	egy zene kellemes ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	a zene nagyon tetszett nekem	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	nekem is	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	a tánc nagyon vicces	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	táncolni veled	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	nagyon vicces volt veled táncolni	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	itt a névjegykártyám	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	ha akarod	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	itt a kártyám, ha akarod	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	rajta van a ~ is	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	cím is van rajta	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	van egy webhely címe	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	egy Espernato tanfolyamot tartalmazó webhely címe	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	köszönöm	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	Küldök egy e-mailt	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	oké!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	viszontlátásra, és jó éjszakát!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	találkozunk!	see you!	grupo	alternativoj	prononco
level	aperas en ~	~ban jelenik meg	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	azonnali üzenetküldő	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ jelenik meg az azonnali üzenetküldőben	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	te vagy az a személy?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	az a személy, aki táncolt velem	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	Szombat este	Saturday night	grupo	alternativoj	prononco
