B.it content.tsv
Level	Esperanto	it	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	Ciao!	hello!	grupo	alternativoj	prononco
level	mi estas ~	Sono ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	chi sei?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	il mio nome è ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	Sono contento	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	Anch'io sono felice	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	viene spesso	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	in questo luogo di ballo	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	vieni spesso in questo posto dove ballare?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	no, vero?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	neanche io	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ è un nome interessante	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	è?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	non è vero?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	in quale modo?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	è correlato a ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	è legato all'esperanto.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	Che cosa?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	Non ho sentito bene	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ è troppo rumoroso	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	la musica è troppo alta	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	L'ho detto ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Ho detto che il tuo nome è legato all'esperanto	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	Veramente?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	una novità per me	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	questa è una novità per me	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	hai sentito parlare di ~?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	hai sentito parlare dell'esperanto?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	Non lo sapevo ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	ma non sapevo che il mio nome fosse legato ad esso	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	Infatti	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	come sta ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	com'è il rapporto?	how is the relation?	grupo	alternativoj	prononco
level	ho!	OH!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	è una lunga storia	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	te lo dirò	will tell you	grupo	alternativoj	prononco
level	se vi volas	se vuoi	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Te lo dirò più tardi, se vuoi	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	in questo posto (in questa posizione)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	troppo rumore	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	in questo posto c'è troppo rumore	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	sì hai ragione	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	Balliamo?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	buona idea!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	grazie per la piacevole serata	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	grazie a te)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	era molto buono	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	una musica piace a ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	la musica mi è piaciuta molto	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	anche a me	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	ballare è molto divertente	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	per ballare con te	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	è stato molto divertente ballare con te	it was very funny to dance with you	grupo	alternativoj	prononco
level	jen mia nomkarto	ecco il mio biglietto da visita	here's my name card	grupo	alternativoj	prononco
level	se vi volas ĝin	se lo vuoi	if you want it	grupo	alternativoj	prononco
level	jen mia karto, se vi volas	ecco la mia carta, se vuoi	here's my card, if you want	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ ~	su di esso c'è anche ~	on it there's also ~	grupo	alternativoj	prononco
level	sur ĝi estas ankaŭ adreso	sopra c'è anche un indirizzo	on it there's also an address	grupo	alternativoj	prononco
level	estas ankaŭ adreso al paĝaro	c'è un indirizzo di un sito web	there's an address to a website	grupo	alternativoj	prononco
level	adreso al paĝaro kun Esperanto-kurso	un indirizzo ad un sito con il corso Espernato	an address to a site with Espernato course	grupo	alternativoj	prononco
level	dankon	Grazie	thank you	grupo	alternativoj	prononco
level	mi retpoŝtos al vi	Ti manderò una e-mail	I'll send you an e-mail	grupo	alternativoj	prononco
level	bone!	Va bene!	okay!	grupo	alternativoj	prononco
level	ĝis kaj bonan nokton!	ci vediamo ancora e buona notte!	see you again, and good night!	grupo	alternativoj	prononco
level	ĝis la!	ci vediamo!	see you!	grupo	alternativoj	prononco
level	aperas en ~	appare in ~	appears in ~	grupo	alternativoj	prononco
level	tujmesaĝilo	un messaggero istantaneo	an instant messenger	grupo	alternativoj	prononco
level	~ aperas en la tujmesaĝilo	~ appare nella messaggistica istantanea	~ appears in the instant messanger	grupo	alternativoj	prononco
level	ĉu vi estas tiu?	sei quella persona?	are you that person?	grupo	alternativoj	prononco
level	tiu, kiu dancis kun mi	quella persona, che aveva ballato con me	that person, who had danced with me	grupo	alternativoj	prononco
level	sabata nokto	sabato sera	Saturday night	grupo	alternativoj	prononco
level	ĉu vi estas tiu, kiu dancis kun mi sabatnokte?	sei quella persona che ha ballato con me sabato sera?	are you that person, who danced with me Saturday night?	grupo	alternativoj	prononco
level	jes, estas mi	si sono io	yes it is me	grupo	alternativoj	prononco
level	mi ĝojas, ke ~	Mi fa piacere che ~	I'm pleased that ~	grupo	alternativoj	prononco
level	mi ĝojas, ke vi venis al la paĝaro	Sono felice che tu sia arrivato sul sito	I'm pleased that you came to the site	grupo	alternativoj	prononco
level	ĉu ĝi plaĉas al vi?	ti fa piacere? (ti piace?)	is it pleasing to you? (do you like it?)	grupo	alternativoj	prononco
level	jes ja	sì, sì	yes, yay	grupo	alternativoj	prononco
level	ĝi estas tre bela	è molto bello	it is very beautiful	grupo	alternativoj	prononco
level	ŝajnas interesa	Sembra interessante	seems interesting	grupo	alternativoj	prononco
level	ĝi estas tre bela kaj ŝajnas interesa	è molto bello e sembra interessante	it's very beautiful and seems interesting	grupo	alternativoj	prononco
level	ankoraŭ ne ~	non ancora ~	not yet ~	grupo	alternativoj	prononco
level	ne estas tute preta	non è completamente pronto	is not completely ready	grupo	alternativoj	prononco
