C.it content.tsv
Level	Esperanto	it	en-us	Grupo	Alternativoj	Pronoco
level	doni	dare	to give	grupo	alternativoj	prononco
level	mi	Io, io	I, me	grupo	alternativoj	prononco
level	vi	Voi	you	grupo	alternativoj	prononco
level	havi	avere, indossare, portare, possedere	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	Lei	she	grupo	alternativoj	prononco
level	li	Lui	he	grupo	alternativoj	prononco
level	ili	Essi	they	grupo	alternativoj	prononco
level	ĝi	Esso	it	grupo	alternativoj	prononco
level	oni	uno, qualcuno, qualcuno	one, someone, somebody	grupo	alternativoj	prononco
level	ni	noi, noi	we, us	grupo	alternativoj	prononco
level	si	se stessi	oneself	grupo	alternativoj	prononco
level	mem	Da sé	by oneself	grupo	alternativoj	prononco
level	ĝis ~	fino a ~, fino a ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	di ~	of ~	grupo	alternativoj	prononco
level	da ~	(molto) di ~, (molti) di ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(suffisso) cosa, manifestazione concreta	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	vicino, vicino, presto, vicino	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(suffisso) azione ripetitiva, azione duratura	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(suffisso) tempo presente	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(suffisso) passato	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	essere	to be	grupo	alternativoj	prononco
level	-os	(suffisso) futuro	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(preposizione) prima di ~, davanti a ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	fare, fare	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(preposizione) anche	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	dopo ~	after ~	grupo	alternativoj	prononco
level	mal-	(prefisso) opposto	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(suffisso) una persona con qualche caratteristica	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(suffisso) femminile	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(suffisso) presente attivo, sta ~ing, qualcuno che sta ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(suffisso) passato attivo, stava ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(suffisso) futuro attivo, sarà ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	E	and	grupo	alternativoj	prononco
level	aŭ	O	or	grupo	alternativoj	prononco
level	alta	alto alto	high, tall	grupo	alternativoj	prononco
level	jes	SÌ	yes	grupo	alternativoj	prononco
level	ne	non NO	not, no	grupo	alternativoj	prononco
level	tiom	così tanto, tale importo, tale importo	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	Bene	good	grupo	alternativoj	prononco
level	kiom	quanto Quanti	how much, how many	grupo	alternativoj	prononco
level	ofte	spesso, frequentemente	often, frequently	grupo	alternativoj	prononco
level	iom	un po', piuttosto, un po', un po'	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	nuovo, romanzo	new, novel	grupo	alternativoj	prononco
level	-at-	(suffisso) participio presente passivo	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(suffisso) participio passato passivo	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(suffisso) participio futuro passivo	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	molto, abbastanza, moltissimo	very, quite, very much	grupo	alternativoj	prononco
level	tro	troppo, eccessivamente, troppo	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	tuttavia, tuttavia, ma, tuttavia	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	OH! Oh!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	quello ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	perché ~	because ~	grupo	alternativoj	prononco
level	ĉu	se ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(suffisso) luogo	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(suffisso) nome astratto di qualità	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	entrambi ~	both ~	grupo	alternativoj	prononco
level	tuj	immediatamente, all'istante, subito	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	come se ~	as if ~	grupo	alternativoj	prononco
level	kiam	Quando	when	grupo	alternativoj	prononco
level	silenti	tacere, tacere	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	mai, in nessun momento, mai	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	quindi, così	therefore, so	grupo	alternativoj	prononco
level	kial	perché, per cosa	why, what for	grupo	alternativoj	prononco
level	kvankam	sebbene ~, mentre, però	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(preposizione) a ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	Di più	more	grupo	alternativoj	prononco
level	plej	maggior parte	most	grupo	alternativoj	prononco
level	diri	dire, dire	to say, to tell	grupo	alternativoj	prononco
level	ol ~	di ~	than ~	grupo	alternativoj	prononco
level	paroli	parlare, parlare	to speak, to talk	grupo	alternativoj	prononco
level	kia	che tipo, che tipo	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	tale, quel tipo di, tale	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	a malapena, difficilmente, appena	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	inviare	to send	grupo	alternativoj	prononco
level	ĵus	proprio (un attimo fa), proprio adesso	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(suffisso) imperativo	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	fuori ~	outside ~	grupo	alternativoj	prononco
level	ge-	(prefisso) entrambi i sessi, entrambi i generi	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(suffisso) sarebbe, dovrebbe, congiuntivo	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	Presto	soon	grupo	alternativoj	prononco
level	almenaŭ	almeno, se non altro	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	(suffisso) contenitore; Paese	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	per imparare	to learn	grupo	alternativoj	prononco
level	ek-	(prefisso) inizio; inizio improvviso	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	se, a condizione che	if, provided that	grupo	alternativoj	prononco
level	eĉ	Anche	even	grupo	alternativoj	prononco
level	amo	un amore	a love	grupo	alternativoj	prononco
level	jam	già, così presto, da adesso	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	Qui! Ecco! Ecco	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	finire, terminare, terminare	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	quindi, quindi, quindi	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ mai, (qualunque cosa) mai, affatto, quindi	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	facile, facile	easy, facile	grupo	alternativoj	prononco
level	re-	(prefisso) ri-	(prefix)  re-	grupo	alternativoj	prononco
level	granda	grande, grande, grande	big, great, large	grupo	alternativoj	prononco
level	-ist-	(suffisso) professionale	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(preposizione) a causa di ~, a causa di ~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(suffisso) capo, capo, capo	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	Che cosa	what	grupo	alternativoj	prononco
level	manĝi	mangiare	to eat	grupo	alternativoj	prononco
level	nenio	niente, nessuno, niente	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	giovane	young	grupo	alternativoj	prononco
level	ĉio	qualunque cosa	everything	grupo	alternativoj	prononco
level	riĉa	ricco, benestante, benestante	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	quella cosa, quello	that thing, that	grupo	alternativoj	prononco
level	konstrui	costruire, costruire	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(prefisso) capo, principale, principale	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(preposizione) senza ~	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(preposizione) con ~ (insieme)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(preposizione) tranne ~, inoltre ~	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	un amico	a friend	grupo	alternativoj	prononco
level	kies	di chi, quale, di quale	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(preposizione) con ~ (un metodo), con ~ (uno strumento)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	contro ~	against ~	grupo	alternativoj	prononco
level	el ~	da ~, da ~	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	Oggi	today	grupo	alternativoj	prononco
level	hieraŭ	Ieri	yesterday	grupo	alternativoj	prononco
level	nur	solo, proprio, esclusivamente	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	aiutare, aiutare, assistere	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(avverbio) lontano, lontano	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	né, né	nor, neither	grupo	alternativoj	prononco
level	malamo	un odio	a hate	grupo	alternativoj	prononco
level	preskaŭ	quasi, quasi	almost, nearly	grupo	alternativoj	prononco
level	tra ~	attraverso ~	through ~	grupo	alternativoj	prononco
level	super	ancora più su	over, above	grupo	alternativoj	prononco
level	trans ~	sopra ~, attraverso ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	bene, bene allora, adesso	well, well then, now	grupo	alternativoj	prononco
level	pri ~	circa ~	about ~	grupo	alternativoj	prononco
level	por ~	per ~, in ordine per ~	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	Domani	tomorrow	grupo	alternativoj	prononco
level	nun	adesso, attualmente	now, at present	grupo	alternativoj	prononco
level	laŭ ~	secondo ~, lungo ~	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	ciascuno, ogni, tutti, tutti	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	chi, quale, quale	who, which, which one	grupo	alternativoj	prononco
level	tiu	quella persona, quello ~, quello laggiù	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	qualcuno, qualcuno, alcuni	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	nessuno, nessuno, nemmeno	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	a ~	to ~	grupo	alternativoj	prononco
level	-ebl-	(suffisso) ~abile	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	sperare	to hope	grupo	alternativoj	prononco
level	unu	uno	one	grupo	alternativoj	prononco
level	du	due	two	grupo	alternativoj	prononco
level	tri	tre	three	grupo	alternativoj	prononco
