A.ja-jp content.tsv
Level	Esperanto	ja-jp	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	私、あなた	I, you	grupo	alternativoj	prononco
level	estas, estis	(現在) ~である、(過去) ~だった	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	私は～である	I am ~	grupo	alternativoj	prononco
level	vi estas ~	あなたは～である	you are ~	grupo	alternativoj	prononco
level	saluton	こんにちは、こんにちは	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	こんにちは、私は～です	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	私の、あなたの	my, your	grupo	alternativoj	prononco
level	nomo	名前	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	私の名前、あなたの名前	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	私の名前は～です	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	あなたの名前は～です	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(現在）過ごしている、（過去）過ごしていた	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(過去)だった、(未来)だろう	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	名前、名前を	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	私の愛	my love	grupo	alternativoj	prononco
level	vi fartas	あなたは過ごします	you are doing ~	grupo	alternativoj	prononco
level	kiel	どのように	how	grupo	alternativoj	prononco
level	kiel vi fartas?	あなたはどうですか？	how are you doing?	grupo	alternativoj	prononco
level	kio	何	what	grupo	alternativoj	prononco
level	kio estas via nomo?	あなたの名前は何ですか？	what is your name?	grupo	alternativoj	prononco
level	bona, bone	良い (形容詞), よく (副詞)	good, well	grupo	alternativoj	prononco
level	fartas bone	うまくやっている (やっている)	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	私は元気です	I am doing well	grupo	alternativoj	prononco
level	kaj	そして（〜と、〜と）	and	grupo	alternativoj	prononco
level	bone, kaj vi?	いいですよ、あなたは？	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	~ まで	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(現在)見る, (過去)見た	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	見た, もう一度見た	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	(過去)もう一度見た, (未来)もう一度見るだろう	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	もう一度、もう一度見る	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	また見るまで (さようなら)!	see you again!	grupo	alternativoj	prononco
level	dankon	ありがとうございました	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	ありがとうございました、そしてまた見るまで（さようなら）!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	~ に	to ~	grupo	alternativoj	prononco
level	al vi, al mi	あなたに、私に	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(現在)感謝する、(過去)感謝した	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	私はあなたに感謝します	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	はい、いいえ	yes, no	grupo	alternativoj	prononco
level	jes, dankon	はい、ありがとうございます	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	(現在) 食べる, (未来) 食べるだろう	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	私は食べません	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	いいえ、私は食べません	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	美しい, 美しく	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	(母) ~する価値がある	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	有り難い, 有難いことに	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	全体の、全体として	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	全部、全部を	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	どういたしまして	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	まったくない	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	~を許す、許す	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	私に許しを	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	ごめんなさい	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	ごめんなさい、お願いします	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	おはようございます	a good morning	grupo	alternativoj	prononco
level	bonan matenon	おはようございます、こんにちは	good morning	grupo	alternativoj	prononco
