C.ja-jp content.tsv
Level	Esperanto	ja-jp	en-us	Grupo	Alternativoj	Pronoco
level	doni	与える	to give	grupo	alternativoj	prononco
level	mi	私	I, me	grupo	alternativoj	prononco
level	vi	あなた、あなた	you	grupo	alternativoj	prononco
level	havi	持っている、所有する	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	彼女	she	grupo	alternativoj	prononco
level	li	彼	he	grupo	alternativoj	prononco
level	ili	彼ら、それら	they	grupo	alternativoj	prononco
level	ĝi	それ	it	grupo	alternativoj	prononco
level	oni	誰か、ある人	one, someone, somebody	grupo	alternativoj	prononco
level	ni	私たち	we, us	grupo	alternativoj	prononco
level	si	自分、自分	oneself	grupo	alternativoj	prononco
level	mem	自分で、自身、みずから、一人で	by oneself	grupo	alternativoj	prononco
level	ĝis ~	〜まで（時間的、空間的）＜前置詞＞	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	〜の、〜から、〜のため	of ~	grupo	alternativoj	prononco
level	da ~	数、量を表す＜前置詞＞	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	＜前置詞＞関係する物	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	近い	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	繰り返し行為<接尾辞>	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	動詞現在形語尾	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	動詞過去形語尾	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	〜である、〜がある、存在する	to be	grupo	alternativoj	prononco
level	-os	動詞未来形語尾	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	～前の、	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	〜をする、〜を作る	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	~も	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	＜前置詞＞〜の後、〜の次に	after ~	grupo	alternativoj	prononco
level	mal-	<接頭辞>反対を表す	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	<接尾辞>人を表す	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	<接頭辞>女性を表す	(suffix)  female	grupo	alternativoj	prononco
