H - kurso						
Level	Esperanto	Japanese	English	Grupo	Alternativoj	Prononco
Saluton	Mi estas besto.	私は動物です。	I am an animal.	Saluton		
Saluton	Mi loĝas en Afriko kaj Hindio.	私はアフリカとインドに住んでいます。	I live in Africa and India.	Saluton		
Saluton	Mi havas longan nazon kaj grandajn orelojn.	私は長い鼻と大きな耳を持っています。	I have a long nose and big ears.	Saluton		
Saluton	Miaj okuloj estas malgrandaj.	私の目は小さいです。	My eyes are small.	Saluton		
Saluton	Kiu mi estas?	私は誰？	Who am I?	Saluton		
Saluton	Mi loĝas en Ĉinio.	私は中国に住んでいます。	I live in China.	Saluton		
Saluton	Mi loĝas ankaŭ en zoologia ĝardeno.	私も動物園に住んでいます。	I also live in a zoo.	Saluton		
Saluton	Mi estas populara en zoologia ĝardeno.	動物園では人気者なんです。	I’m popular in the zoo.	Saluton		
Saluton	Mi ŝatas etbambuon.	私は小さな竹が好きです。	I like little bamboo.	Saluton		
Saluton	Mi estas blanka kaj nigra.	私は白と黒です。	I am white and black.	Saluton		
Saluton	Mi povas flugi tre rapide.	とても速く飛ぶことができます。	I can fly very fast.	Saluton		
Saluton	Per flugiloj mi povas flugi.	翼があれば飛べる。	With wings I can fly.	Saluton		
Saluton	Sed mi ne estas birdo!	でも、私は鳥ではありません！	But I am not a bird!	Saluton		
Saluton	Mi povas flugi al Novjorko, Moskvo, Varsovio, Parizo, Londono...	ニューヨーク、モスクワ、ワルシャワ、パリ、ロンドンへ飛ぶことができます…	I can fly to New York, Moscow, Warsaw, Paris, London…	Saluton		
Saluton	Mi povas kuri rapide.	私は速く走ることができます。	I can run fast.	Saluton		
Saluton	Miaj dentoj estas akraj.	私の歯は鋭いです。	My teeth are sharp.	Saluton		
Saluton	Mi estas forta.	私は強いです。	I am strong.	Saluton		
Saluton	Mi estas reĝo de bestoj.	私は動物の王です。	I am king of animals.	Saluton		
Saluton	Mi havas 4 piedojn.	足は4本あります。	I have 4 feet.	Saluton		
Saluton	Sed mi ne estas besto.	しかし、私は動物ではありません。	But I am not an animal.	Saluton		
Saluton	Mi trinkas benzinon.	私はガソリンを飲みます。	I drink petrol.	Saluton		
Saluton	Mi estas tre granda.	私はとても大きいです。	I am very big.	Saluton		
Saluton	Mi estas blanka.	私は白いです。	I am white.	Saluton		
Saluton	Mi estas globa.	私は球体です。	I am global.	Saluton		
Saluton	Mia patrino estas kokino.	私の母は鶏です。	My mother is a hen.	Saluton		
Saluton	Mi estas en la mezo de Linio Jamanote.	山手線の真ん中にいます。	I’m in the middle of the Yamanote Line.	Saluton		
Saluton	Mi povas kuri tre rapide.	私はとても速く走ることができます。	I can run very fast.	Saluton		
Saluton	Mi povas iri pli rapide ol jeto, ol spacoŝipo.	私はジェット機よりも宇宙船よりも速く移動できます。	I can go faster than a jet, than a spaceship.	Saluton		
Saluton	Mi povas kuri plej rapide.	私は一番速く走れます。	I can run the fastest.	Saluton		
Saluton	Mi povas iri al la luno en ĉirkaŭ 1.3 sekundoj.	約1.3秒で月に行けます。	I can go to the moon in about 1.3 seconds.	Saluton		
Saluton	Mi estas bela, granda kaj konusa.	私は美しく、大きく、円錐形です。	I am beautiful, big and conical.	Saluton		
Saluton	Vi povas vidi min de Tokio en bela tago.	天気の良い日には東京からも見えますよ。	You can see me from Tokyo on a nice day.	Saluton		
Saluton	Kelkfoje mi havas neĝon sur mia kapo.	頭の上に雪が積もることもあります。	Sometimes I have snow on my head.	Saluton		
Saluton	Mi estas tre bela.	私は非常に美しいです。	I am very beautiful.	Saluton		
Saluton	Oni amas mian ĉarman kaj enigman rideton.	人々は私の魅力的で謎めいた笑顔が大好きです。	People love my charming and enigmatic smile.	Saluton		
