B.ko-kr content.tsv
Level	Esperanto	ko-kr	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	안녕하세요	hello!	grupo	alternativoj	prononco
level	mi estas ~	나는 ~ 입니다	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	당신은 누구입니까?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	내 이름은 ~입니다	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	나는 기쁩니다	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	나도 기쁩니다	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	자주 옵니다	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	이 춤추는 곳으로	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	당신은 이 춤추는 곳에 자주 옵니까?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	아뇨, 당신은?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	나도 아닙니다	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~는 흥미로운 이름입니다	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	그래요?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	그렇지 않은가요?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	어떤 식으로요?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	~에 관계가 있다	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	그것은 에스페란토와 관계가 있습니다	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	뭐라고요?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	나는 잘 듣지 못했습니다	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~는 너무 시끄럽다	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	그 음악이 너무 시끄러워요	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	나는 ~이라고 얘기했습니다	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	나는 당신 이름이 에스페란토와 관계가 있다고 말했습니다	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	진짜로?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	나를 위한 뉴스 (나에게는 새로운 소식)	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	그것은 나에게 새로운 소식이군요	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	~에 대해서 들어 봤나요?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	에스페란토에 대해서 들어봤나요?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	나는 ~이라는 것을 몰랐다	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	그러나 내 이름이 그것과 관계가 있다는 것은 몰랐습니다	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	실제로	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	~가 어떠한가? (어떤 상태인가?)	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	그 관계가 어떠한 것인가?	how is the relation?	grupo	alternativoj	prononco
level	ho!	흠! 호!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	그것은 긴 이야기입니다	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	당신에게 이야기해 줄 것이다	will tell you	grupo	alternativoj	prononco
level	se vi volas	당신이 원한다면	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	당신이 원한다면, 나중에 얘기해 주겠습니다	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	여기에 (여기서는)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	너무 많은 소음	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	여기는 소음이 너무 많아요	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	예, 당신이 맞아요	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	우리 춤출까요?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	좋은 생각입니다	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	유쾌한 저녁시간이어서 감사합니다	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	당신에게 감사드립니다	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	정말 좋았습니다	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	음악이 ~의 마음에 든다	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	그 음악이 매우 내 마음에 들었습니다	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	또한 나에게도	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	춤추는 것은 매우 재미있었다	dancing is very funny	grupo	alternativoj	prononco
