A.lt content.tsv
Level	Esperanto	lt	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	Aš, tu	I, you	grupo	alternativoj	prononco
level	estas, estis	(dabartis) yra, esu, yra (praeitis) buvo, buvo	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	Aš esu ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	tu esi ~	you are ~	grupo	alternativoj	prononco
level	saluton	Sveiki	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	labas, aš ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	Mano tavo	my, your	grupo	alternativoj	prononco
level	nomo	vardas	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	mano vardas, tavo vardas	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	mano vardas ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	tavo vardas ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(dabartis) daro, (praeitis) padarė	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(dabartis) buvo, buvo (ateitis) bus	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	vardas, (objektyvus) vardas	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	Mano meilė	my love	grupo	alternativoj	prononco
level	vi fartas	tu darai ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	kaip	how	grupo	alternativoj	prononco
level	kiel vi fartas?	kaip tau sekasi?	how are you doing?	grupo	alternativoj	prononco
level	kio	ką	what	grupo	alternativoj	prononco
level	kio estas via nomo?	koks tavo vardas?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	gerai, gerai	good, well	grupo	alternativoj	prononco
level	fartas bone	sekasi gerai	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	man gerai sekasi	I am doing well	grupo	alternativoj	prononco
level	kaj	ir	and	grupo	alternativoj	prononco
level	bone, kaj vi?	gerai, o tu?	fine, and you?	grupo	alternativoj	prononco
