B.lt content.tsv
Level	Esperanto	lt	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	Sveiki!	hello!	grupo	alternativoj	prononco
level	mi estas ~	Aš esu ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	kas tu esi?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	mano vardas ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	dziaugiuosi	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	as irgi dziaugiuosi	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	dažnai ateina	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	į šią šokių vietą	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	ar dažnai ateini į šią šokių aikštelę?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	ne, ar tu?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	aš irgi ne	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ įdomus vardas	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	ar tai?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	ar ne?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	kokiu būdu?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	yra susijęs su ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	ji susijusi su esperanto kalba.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	ką?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	Nelabai girdėjau	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ yra per garsus	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	muzika per garsi	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	Aš sakiau, kad ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Sakiau, kad tavo vardas susijęs su esperanto kalba	I said that your name is related to Esperanto	grupo	alternativoj	prononco
