C.lt content.tsv
Level	Esperanto	lt	en-us	Grupo	Alternativoj	Pronoco
level	doni	duoti	to give	grupo	alternativoj	prononco
level	mi	Aš, aš	I, me	grupo	alternativoj	prononco
level	vi	tu	you	grupo	alternativoj	prononco
level	havi	turėti, nešioti, nešioti, turėti	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	ji	she	grupo	alternativoj	prononco
level	li	jis	he	grupo	alternativoj	prononco
level	ili	jie	they	grupo	alternativoj	prononco
level	ĝi	tai	it	grupo	alternativoj	prononco
level	oni	vienas, kažkas, kažkas	one, someone, somebody	grupo	alternativoj	prononco
level	ni	mes, mes	we, us	grupo	alternativoj	prononco
level	si	save patį	oneself	grupo	alternativoj	prononco
level	mem	pats	by oneself	grupo	alternativoj	prononco
level	ĝis ~	iki ~, iki ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	iš ~	of ~	grupo	alternativoj	prononco
level	da ~	(daug) iš ~, (daug) iš ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(priesaga) daiktas, konkretus pasireiškimas	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	šalia, netoli, greitai, šalia	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(priesaga) pasikartojantis veiksmas, trunkantis veiksmas	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(priesaga) esamasis laikas	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(priesaga) būtasis laikas	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	būti	to be	grupo	alternativoj	prononco
level	-os	(priesaga) būsimasis laikas	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(prielinksnis) prieš ~, prieš ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	daryti, daryti	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(prielinksnis) taip pat	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	po ~	after ~	grupo	alternativoj	prononco
level	mal-	(priešdėlis) priešingai	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(priesaga) kokio nors bruožo asmuo	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(priesaga) moteriška	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(priesaga) aktyvi dabartis, yra ~ing, kažkas, kas yra ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(priesaga) aktyvi praeitis, buvo ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(priesaga) aktyvi ateitis, bus ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	ir	and	grupo	alternativoj	prononco
level	aŭ	arba	or	grupo	alternativoj	prononco
level	alta	aukštas, aukštas	high, tall	grupo	alternativoj	prononco
level	jes	taip	yes	grupo	alternativoj	prononco
level	ne	ne, ne	not, no	grupo	alternativoj	prononco
level	tiom	tiek, tokia suma, tokia suma	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	Gerai	good	grupo	alternativoj	prononco
level	kiom	kiek	how much, how many	grupo	alternativoj	prononco
level	ofte	dažnai, dažnai	often, frequently	grupo	alternativoj	prononco
level	iom	šiek tiek, greičiau, šiek tiek, šiek tiek	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	naujas, romanas	new, novel	grupo	alternativoj	prononco
level	-at-	(priesaga) pasyvusis esamasis dalyvis	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(priesaga) pasyvusis būtasis laikas	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(priesaga) pasyvusis būsimasis dalyvis	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	labai, gana, labai	very, quite, very much	grupo	alternativoj	prononco
