A.mn content.tsv
Level	Esperanto	mn	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	Би, чи	I, you	grupo	alternativoj	prononco
level	estas, estis	(одоогийн) байна, байна, байна (өнгөрсөн) байсан, байсан	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	Би ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	чи ~	you are ~	grupo	alternativoj	prononco
level	saluton	Сайн уу	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	сайн уу, би ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	миний, чиний	my, your	grupo	alternativoj	prononco
level	nomo	нэр	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	миний нэр, чиний нэр	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	намайг ~ гэдэг	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	Таны нэр ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(одоогийн) хийдэг, (өнгөрсөн) хийсэн	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(одоогийн) байсан, байсан (ирээдүй) байх болно	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	нэр, (зорилго) нэр	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	миний хайр	my love	grupo	alternativoj	prononco
level	vi fartas	чи хийж байна ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	Хэрхэн	how	grupo	alternativoj	prononco
level	kiel vi fartas?	юу байна да?	how are you doing?	grupo	alternativoj	prononco
level	kio	юу	what	grupo	alternativoj	prononco
level	kio estas via nomo?	Таны нэр хэн бэ?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	сайн, сайн	good, well	grupo	alternativoj	prononco
level	fartas bone	сайн явж байна	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	Би сайн байна	I am doing well	grupo	alternativoj	prononco
level	kaj	болон	and	grupo	alternativoj	prononco
level	bone, kaj vi?	сайн, харин чи?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	~ хүртэл	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(одоо) хардаг, (өнгөрсөн) харсан	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(өнгөрсөн) харсан, (өнгөрсөн) дахин харсан	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	дахин харсан, дахин харах болно	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	дахин харах, дахин харах (зорилго)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	дараа уулзая!	see you again!	grupo	alternativoj	prononco
level	dankon	баярлалаа	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	баярлалаа, дахин уулзъя!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	тулд ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	чамд, надад	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(одоо) баярлалаа, (өнгөрсөн) баярлалаа	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	Би чамд талархаж байна	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	тийм Үгүй	yes, no	grupo	alternativoj	prononco
level	jes, dankon	тиймээ, баярлалаа	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	иддэг, идэх болно	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	Би иддэггүй	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	Үгүй ээ, би иддэггүй	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	үзэсгэлэнтэй, сайхан	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	үнэ цэнэтэй (төгсгөл)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	үнэлж баршгүй, талархах нь зүйтэй	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	бүхэлд нь, бүхэлд нь	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	бүгд, (объектив) бүгд	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	огтхон ч биш, та тавтай морил	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	огт үгүй	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	уучлах, уучлах	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	надад өршөөл	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	Намайг уучлаарай! (өршөөгөөрэй)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Уучлаарай, гуйя	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	өглөөний мэнд	a good morning	grupo	alternativoj	prononco
level	bonan matenon	өглөөний мэнд	good morning	grupo	alternativoj	prononco
level	bonan nokton	сайн шөнө	good night	grupo	alternativoj	prononco
level	bonan sonĝon	сайхан зүүд зүүдлээрэй	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	Та бүхэндээ сайхан аялаарай	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	Сайхан өдөр!	good day!	grupo	alternativoj	prononco
level	ĉu ~	энэ ~?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	чи сайн байна уу? (юу байна?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	тиимээ, би зүгээр	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	ердөөсөө ч биш	no, not at all	grupo	alternativoj	prononco
level	tre, tro	маш, хэт их	very, too much	grupo	alternativoj	prononco
level	granda, grande	том, ихэвчлэн	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	маш том, хэтэрхий том	very big, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	чи маш сайн ажиллаж байна	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	тийм ч сайн биш	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	сурах, суралцах	to learn, a learning	grupo	alternativoj	prononco
