B.mn content.tsv
Level	Esperanto	mn	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	Сайн уу!	hello!	grupo	alternativoj	prononco
level	mi estas ~	Би ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	чи хэн бэ?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	намайг ~ гэдэг	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	би баяртай байна	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	Би ч гэсэн баяртай байна	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	ихэвчлэн ирдэг	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	энэ бүжиглэх газар руу	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	чи энэ бүжгийн газар байнга ирдэг үү?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	үгүй, тийм үү?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	би ч үгүй	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ бол сонирхолтой нэр	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	тийм үү?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	тийм биш гэж үү?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	ямар замаар вэ?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	~-тай холбоотой	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	Энэ нь эсперанто хэлтэй холбоотой.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	юу?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	Би сайн сонссонгүй	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ хэтэрхий чанга байна	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	хөгжим хэтэрхий чанга байна	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	Би тэгж хэлсэн ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Таны нэр эсперанто хэлтэй холбоотой гэж би хэлсэн	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	үнэхээр?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	миний хувьд мэдээ	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	энэ бол миний хувьд мэдээ	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	~-ийн талаар сонссон уу?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	эсперантогийн талаар сонссон уу?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	Би үүнийг мэдсэнгүй ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	гэхдээ миний нэр түүнтэй холбоотой гэдгийг мэдээгүй	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	үнэндээ	in fact	grupo	alternativoj	prononco
