C.mn content.tsv
Level	Esperanto	mn	en-us	Grupo	Alternativoj	Pronoco
level	doni	өгөх	to give	grupo	alternativoj	prononco
level	mi	би, би	I, me	grupo	alternativoj	prononco
level	vi	Та	you	grupo	alternativoj	prononco
level	havi	байх, өмсөх, авч явах, эзэмших	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	тэр	she	grupo	alternativoj	prononco
level	li	тэр	he	grupo	alternativoj	prononco
level	ili	тэд	they	grupo	alternativoj	prononco
level	ĝi	тэр	it	grupo	alternativoj	prononco
level	oni	нэг, хэн нэгэн, хэн нэгэн	one, someone, somebody	grupo	alternativoj	prononco
level	ni	бид, бид	we, us	grupo	alternativoj	prononco
level	si	өөрөө	oneself	grupo	alternativoj	prononco
level	mem	өөрөө	by oneself	grupo	alternativoj	prononco
level	ĝis ~	хүртэл ~ хүртэл, ~ хүртэл	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	-ийн ~	of ~	grupo	alternativoj	prononco
level	da ~	(их) нь ~, (олон) нь ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(suffix) зүйл, тодорхой илрэл	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	ойролцоо, ойр, ойрын, ойрын	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(suffix) давтагдах үйлдэл, удаан үргэлжлэх үйлдэл	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(suffix) Одоо цаг	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(suffix) өнгөрсөн цаг	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	байх	to be	grupo	alternativoj	prononco
level	-os	(suffix) ирээдүйн цаг	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(preposition) өмнө ~, урд ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	хийх, хийх	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(preposition) бас бас	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	дараа ~	after ~	grupo	alternativoj	prononco
level	mal-	(prefix) эсрэг	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(suffix) ямар нэгэн шинж чанартай хүн	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(suffix) эмэгтэй	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(suffix) идэвхтэй одоогийн, is ~ing, хэн нэгэн нь ~ болж байна	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(suffix) идэвхтэй өнгөрсөн, was ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(suffix) идэвхтэй ирээдүй, will be ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	болон	and	grupo	alternativoj	prononco
level	aŭ	эсвэл	or	grupo	alternativoj	prononco
level	alta	өндөр, өндөр	high, tall	grupo	alternativoj	prononco
level	jes	тиймээ	yes	grupo	alternativoj	prononco
level	ne	үгүй, үгүй	not, no	grupo	alternativoj	prononco
level	tiom	тийм их, ийм хэмжээний, тэр хэмжээгээр	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	сайн	good	grupo	alternativoj	prononco
level	kiom	хэр хичнээн их	how much, how many	grupo	alternativoj	prononco
level	ofte	байнга, байнга	often, frequently	grupo	alternativoj	prononco
level	iom	бага зэрэг, харин зарим нь, зарим талаараа	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	шинэ, роман	new, novel	grupo	alternativoj	prononco
level	-at-	(suffix) идэвхгүй одоогийн үе	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(suffix) идэвхгүй өнгөрсөн үе	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(suffix) идэвхгүй ирээдүйн гишүүн	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	маш, маш, маш их	very, quite, very much	grupo	alternativoj	prononco
level	tro	хэтэрхий, хэтэрхий, хэт их	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	Гэсэн хэдий ч, Гэсэн хэдий ч, гэхдээ, Гэсэн хэдий ч	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	Өө! Хо!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	тэр ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	Учир нь ~	because ~	grupo	alternativoj	prononco
level	ĉu	эсэх ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(suffix) газар	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(suffix) чанарын хийсвэр нэр	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	хоёулаа ~	both ~	grupo	alternativoj	prononco
level	tuj	тэр даруй, тэр даруй, тэр даруй	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	~ шиг	as if ~	grupo	alternativoj	prononco
level	kiam	хэзээ	when	grupo	alternativoj	prononco
level	silenti	чимээгүй байх, чимээгүй байх	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	хэзээ ч, хэзээ ч, хэзээ ч	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	тиймээс, тийм	therefore, so	grupo	alternativoj	prononco
level	kial	яагаад, юуны төлөө	why, what for	grupo	alternativoj	prononco
level	kvankam	хэдий ч ~, байхад, гэхдээ	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(preposition) ~ дээр	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	илүү	more	grupo	alternativoj	prononco
level	plej	ихэнх нь	most	grupo	alternativoj	prononco
level	diri	хэлэх, хэлэх	to say, to tell	grupo	alternativoj	prononco
level	ol ~	~аас илүү	than ~	grupo	alternativoj	prononco
level	paroli	ярих, ярих	to speak, to talk	grupo	alternativoj	prononco
level	kia	ямар төрлийн, ямар төрлийн	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	ийм, тийм, ийм, тийм	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	арай ядан, бараг, бараг л	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	илгээх	to send	grupo	alternativoj	prononco
level	ĵus	дөнгөж сая (хоромын өмнө), яг одоо	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(suffix) зайлшгүй	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	гадна ~	outside ~	grupo	alternativoj	prononco
level	ge-	(prefix) аль аль нь хүйс, аль аль нь	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(suffix) байх, байх, туслах	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	удахгүй	soon	grupo	alternativoj	prononco
level	almenaŭ	наад зах нь, өөр зүйл байхгүй бол	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	(suffix) сав; улс	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	сурах	to learn	grupo	alternativoj	prononco
level	ek-	(prefix) эхлэл; гэнэтийн эхлэл	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	хэрэв тийм бол	if, provided that	grupo	alternativoj	prononco
level	eĉ	бүр	even	grupo	alternativoj	prononco
level	amo	хайр	a love	grupo	alternativoj	prononco
level	jam	аль хэдийн, маш удахгүй, одоохондоо	already, so soon, as of now	grupo	alternativoj	prononco
level	jen	Энд! Хараач! Хараач	Here! Lo! Behold	grupo	alternativoj	prononco
level	fini	дуусгах, дуусгах, дуусгах	to end, to finish, to terminate	grupo	alternativoj	prononco
level	do	тиймээс, тэгвэл, тиймээс	so, then, therefore	grupo	alternativoj	prononco
level	ajn	~ хэзээ ч, (ямар ч) хэзээ ч, огтхон ч, - хэзээ ч	~ever, (what)ever, at all, -soever	grupo	alternativoj	prononco
level	facila	хялбар, хялбар	easy, facile	grupo	alternativoj	prononco
level	re-	(prefix) дахин	(prefix)  re-	grupo	alternativoj	prononco
level	granda	том, агуу, том	big, great, large	grupo	alternativoj	prononco
level	-ist-	(suffix) мэргэжлийн	(suffix)  professional	grupo	alternativoj	prononco
level	pro ~	(preposition) учир нь ~, учир нь ~	(preposition)  because of ~, due to ~	grupo	alternativoj	prononco
level	-estr-	(suffix) удирдагч, дарга, дарга, дарга	(suffix)  leader, boss, head, chief	grupo	alternativoj	prononco
level	kio	юу	what	grupo	alternativoj	prononco
level	manĝi	идэх	to eat	grupo	alternativoj	prononco
level	nenio	юу ч биш, юу ч биш, юу ч биш	nothing, none, not any thing	grupo	alternativoj	prononco
level	juna	залуу	young	grupo	alternativoj	prononco
level	ĉio	бүх зүйл	everything	grupo	alternativoj	prononco
level	riĉa	баян, чинээлэг, чинээлэг	rich, wealthy, well-off	grupo	alternativoj	prononco
level	tio	тэр зүйл, тэр	that thing, that	grupo	alternativoj	prononco
level	konstrui	барих, барих	to build, to construct	grupo	alternativoj	prononco
level	ĉef-	(prefix) дарга, тэргүүлэх, гол	(prefix)  chief, leading, main	grupo	alternativoj	prononco
level	sen ~	(preposition) ~гүйгээр	(preposition)  without ~	grupo	alternativoj	prononco
level	kun ~	(preposition) ~-тай (хамтдаа)	(preposition)  with ~ (together)	grupo	alternativoj	prononco
level	krom ~	(preposition) ~-аас бусад, ~-аас гадна	(preposition)  except ~, besides ~	grupo	alternativoj	prononco
level	amiko	найз	a friend	grupo	alternativoj	prononco
level	kies	хэнийх, аль нь, аль нь	whose, which one's, of which	grupo	alternativoj	prononco
level	per ~	(preposition) ~-аар (арга), ~-аар (хэрэгсэл)	(preposition)  by ~ (a method), with ~ (a tool)	grupo	alternativoj	prononco
level	kontraŭ ~	эсрэг ~	against ~	grupo	alternativoj	prononco
level	el ~	~-аас, ~-аас	out of ~, from ~	grupo	alternativoj	prononco
level	hodiaŭ	өнөөдөр	today	grupo	alternativoj	prononco
level	hieraŭ	өчигдөр	yesterday	grupo	alternativoj	prononco
level	nur	зөвхөн, зөвхөн, зөвхөн	only, just, exclusively	grupo	alternativoj	prononco
level	helpi	туслах, туслах, туслах	to help, to aid, to assist	grupo	alternativoj	prononco
level	for	(adverb) хол, хол	(adverb)  far, away	grupo	alternativoj	prononco
level	nek	аль нь ч биш	nor, neither	grupo	alternativoj	prononco
level	malamo	үзэн ядалт	a hate	grupo	alternativoj	prononco
level	preskaŭ	бараг, бараг	almost, nearly	grupo	alternativoj	prononco
level	tra ~	~ дамжуулан	through ~	grupo	alternativoj	prononco
level	super	дээгүүр, дээгүүр	over, above	grupo	alternativoj	prononco
level	trans ~	гаруй ~, хөндлөн ~	over ~, accross ~	grupo	alternativoj	prononco
level	nu	за, тэгвэл, одоо	well, well then, now	grupo	alternativoj	prononco
level	pri ~	~ тухай	about ~	grupo	alternativoj	prononco
level	por ~	~-ийн төлөө, ~-ын төлөө	for ~, in order for ~	grupo	alternativoj	prononco
level	morgaŭ	маргааш	tomorrow	grupo	alternativoj	prononco
level	nun	одоо, одоо	now, at present	grupo	alternativoj	prononco
level	laŭ ~	дагуу ~ дагуу, ~ дагуу	according to ~, along ~	grupo	alternativoj	prononco
level	ĉiu	бүр, бүр, хүн бүр, бүгд	each, every, everybody, all the	grupo	alternativoj	prononco
level	kiu	хэн, аль, аль нь	who, which, which one	grupo	alternativoj	prononco
level	tiu	тэр хүн, тэр ~, тэр нэг, наана	that person, that ~, that one, yonder	grupo	alternativoj	prononco
level	iu	хэн нэгэн, хэн нэгэн, зарим нь	someone, somebody, some	grupo	alternativoj	prononco
level	neniu	хэн ч, хэн ч, хэн ч биш	nobody, no one, neither	grupo	alternativoj	prononco
level	al ~	тулд ~	to ~	grupo	alternativoj	prononco
level	-ebl-	(suffix) ~ боломжтой	(suffix)  ~able	grupo	alternativoj	prononco
level	esperi	найдах	to hope	grupo	alternativoj	prononco
level	unu	нэг	one	grupo	alternativoj	prononco
level	du	хоёр	two	grupo	alternativoj	prononco
level	tri	гурав	three	grupo	alternativoj	prononco
level	kvar	дөрөв	four	grupo	alternativoj	prononco
level	kvin	тав	five	grupo	alternativoj	prononco
level	ses	зургаа	six	grupo	alternativoj	prononco
level	sep	Долоо	seven	grupo	alternativoj	prononco
level	ok	найм	eight	grupo	alternativoj	prononco
level	naŭ	есөн	nine	grupo	alternativoj	prononco
level	dek	арав	ten	grupo	alternativoj	prononco
level	cent	нэг зуун	a hundred	grupo	alternativoj	prononco
level	mil	мянга	a thousand	grupo	alternativoj	prononco
level	-obl-	(suffix) олон талт байдлын хувьд, -oble, -fold	(suffix)  for multiplicity, -oble, -fold	grupo	alternativoj	prononco
level	-on-	(suffix) ~th, бутархай	(suffix)  ~th, fraction	grupo	alternativoj	prononco
level	ama	Хайрын	of love	grupo	alternativoj	prononco
level	anstataŭ ~	~-ын оронд	instead of ~	grupo	alternativoj	prononco
level	-iĝ-	(suffix) болох	(suffix)  become	grupo	alternativoj	prononco
level	voli	хүсэх, хүсэх, бэлэн байх	to want, to will, to be willing to	grupo	alternativoj	prononco
level	-ig-	(suffix) болоход хүргэх	(suffix)  cause to become	grupo	alternativoj	prononco
level	sekvi	дагах	to follow	grupo	alternativoj	prononco
level	ĝoje	баяртайгаар	gladly	grupo	alternativoj	prononco
