B.mr content.tsv
Level	Esperanto	mr	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	नमस्कार!	hello!	grupo	alternativoj	prononco
level	mi estas ~	मी ~ आहे	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	तू कोण आहेस?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	माझे नाव ~ आहे	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	मला आनंद झाला	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	मलाही आनंद झाला	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	अनेकदा येतो	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	या नृत्याच्या ठिकाणी	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	तुम्ही या नृत्याच्या ठिकाणी वारंवार येता का?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	नाही, तुम्ही का?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	मीही नाही	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ हे एक मनोरंजक नाव आहे	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	खरचं?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	नाही का?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	कुठल्या पद्धतीने?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	~ शी संबंधित आहे	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	ते एस्पेरांतोशी संबंधित आहे.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	काय?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	मला नीट ऐकू आले नाही	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ खूप जोरात आहे	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	संगीत खूप जोरात आहे	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	मी म्हणालो की ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	मी म्हणालो की तुमचे नाव एस्पेरांतोशी संबंधित आहे	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	खरोखर?	really?	grupo	alternativoj	prononco
