B.my content.tsv
Level	Esperanto	my	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	မင်္ဂလာပါ!	hello!	grupo	alternativoj	prononco
level	mi estas ~	ငါ ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	သင်ဘယ်သူလဲ?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	ငါ့နာမည်က ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	ကျွန်တော်ဝမ်းသာပါတယ်	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	ကျွန်တော်လည်း ဝမ်းသာပါတယ်။	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	လာတတ်တယ်။	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	ဒီကခုန်တဲ့နေရာကို	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	ဒီကခုန်တဲ့နေရာကို မကြာခဏရောက်ဖူးလား။	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	မဟုတ်ဘူး မဟုတ်လား။	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	ငါလည်းမဟုတ်ဘူး။	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ စိတ်ဝင်စားစရာကောင်းတဲ့ နာမည်တစ်ခုပါ။	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	ဟုတ်လား?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	မဟုတ်လား	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	ဘယ်လိုနည်းနဲ့?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	~ နှင့် သက်ဆိုင်သည်။	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	Esperanto နှင့်ဆက်စပ်သည်။	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	ဘာလဲ?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	ကျွန်တော် ကောင်းကောင်း မကြားမိဘူး။	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ အသံကျယ်လွန်းသည်	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	သီချင်းက အရမ်းကျယ်တယ်။	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	ငါပြောတာ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	မင်းနာမည်က Esperanto နဲ့ သက်ဆိုင်တယ်လို့ ငါပြောခဲ့တယ်။	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	တကယ်လား?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	ငါ့အတွက် သတင်းတစ်ခု	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	ဒါ ငါ့အတွက် သတင်းပဲ။	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	~ မင်းအကြောင်း ကြားဖူးလား။	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	Esperanto အကြောင်း ကြားဖူးပါသလား။	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	ငါမသိဘူး~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	ဒါပေမယ့် ငါ့နာမည်က အဲဒါနဲ့ သက်ဆိုင်တယ်ဆိုတာ ငါမသိခဲ့ဘူး။	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	တကယ်တော့	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	ဘယ်လိုလဲ ~	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	ဆက်ဆံရေးက ဘယ်လိုလဲ။	how is the relation?	grupo	alternativoj	prononco
level	ho!	အိုး!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	အဲဒါက ဇာတ်လမ်းရှည်ကြီးပါ။	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	ပြောပြလိမ့်မယ်။	will tell you	grupo	alternativoj	prononco
level	se vi volas	သင်လုပ်ချင်တယ်ဆိုရင်	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	လိုချင်ရင် နောက်မှပြောပြမယ်။	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	ဤနေရာ (ဤနေရာ၌)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	အလွန်ဆူညံသံ	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	ဒီနေရာ မှာ ဆူညံသံတွေ အရမ်းများနေတယ်။	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	ဟုတ်တယ်၊ မင်းမှန်တယ်။	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	ငါတို့ကခုန်ရမလား	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	အကြံဥာဏ်ကောင်း!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	သာယာသောညနေခင်းအတွက် ကျေးဇူးတင်ပါသည်။	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	ကျေးဇူးတင်ပါတယ် (သင်)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	အရမ်းကောင်းပါတယ်။	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	တေးဂီတသည် နှစ်သက်ဖွယ်ကောင်းသည်။	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	သီချင်းက ကျွန်မကို အရမ်းသဘောကျတယ်။	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	ငါ့အတွက်	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	Dancing က အရမ်းရယ်ရတယ်။	dancing is very funny	grupo	alternativoj	prononco
level	danci kun vi	သင်နှင့်အတူကခုန်ဖို့	to dance with you	grupo	alternativoj	prononco
level	estis tre amuze danci kun vi	မင်းနဲ့အတူ ကခုန်ရတာ အရမ်းရယ်စရာကောင်းတယ်။	it was very funny to dance with you	grupo	alternativoj	prononco
