C.no content.tsv
Level	Esperanto	no	en-us	Grupo	Alternativoj	Pronoco
level	doni	å gi	to give	grupo	alternativoj	prononco
level	mi	Jeg meg	I, me	grupo	alternativoj	prononco
level	vi	du	you	grupo	alternativoj	prononco
level	havi	å ha, å ha på seg, å bære, å eie	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	hun	she	grupo	alternativoj	prononco
level	li	han	he	grupo	alternativoj	prononco
level	ili	de	they	grupo	alternativoj	prononco
level	ĝi	den	it	grupo	alternativoj	prononco
level	oni	en, noen, noen	one, someone, somebody	grupo	alternativoj	prononco
level	ni	vi oss	we, us	grupo	alternativoj	prononco
level	si	seg selv	oneself	grupo	alternativoj	prononco
level	mem	på egenhånd	by oneself	grupo	alternativoj	prononco
level	ĝis ~	opp til ~, til ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	av ~	of ~	grupo	alternativoj	prononco
level	da ~	(mye) av ~, (mange) av ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(suffiks) ting, konkret manifestasjon	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	nær, nær, snart, nær	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(suffiks) repeterende handling, varig handling	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(suffiks) presens	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(suffiks) preteritum	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	å være	to be	grupo	alternativoj	prononco
level	-os	(suffiks) fremtidig tid	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(preposisjon) foran ~, foran ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	å lage, å gjøre	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(preposisjon) også	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	etter ~	after ~	grupo	alternativoj	prononco
level	mal-	(prefiks) motsatt	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(suffiks) en person med en eller annen egenskap	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(suffiks) kvinne	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(suffiks) aktiv tilstede, er ~ing, noen som er ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(suffiks) aktiv fortid, var ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
