A.pt content.tsv
Level	Esperanto	pt	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	Eu você	I, you	grupo	alternativoj	prononco
level	estas, estis	(presente) é, sou, são (passado) foi, foram	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	eu sou ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	você é ~	you are ~	grupo	alternativoj	prononco
level	saluton	olá	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	olá, eu sou ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	meu, seu	my, your	grupo	alternativoj	prononco
level	nomo	um nome	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	meu nome, seu nome	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	meu nome é ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	seu nome é ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(presente) faz, (passado) fez	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(presente) foi, onde (futuro) será	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	um nome, um nome (objetivo)	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	meu amor	my love	grupo	alternativoj	prononco
level	vi fartas	você está fazendo ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	como	how	grupo	alternativoj	prononco
level	kiel vi fartas?	como vai?	how are you doing?	grupo	alternativoj	prononco
level	kio	o que	what	grupo	alternativoj	prononco
level	kio estas via nomo?	qual o seu nome?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	bom assim	good, well	grupo	alternativoj	prononco
level	fartas bone	está indo bem	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	Estou indo bem	I am doing well	grupo	alternativoj	prononco
level	kaj	e	and	grupo	alternativoj	prononco
level	bone, kaj vi?	bem e você?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	até ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(presente) vê, (passado) viu	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(passado) viu, (passado) viu novamente	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	vi de novo, verei de novo	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	vendo de novo, vendo de novo (objetivo)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	Ver você de novo!	see you again!	grupo	alternativoj	prononco
level	dankon	obrigado	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	obrigado e até mais!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	para ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	para você, para mim	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(presente) obrigado, (passado) agradecido	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	eu agradeço a você	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	sim não	yes, no	grupo	alternativoj	prononco
level	jes, dankon	sim, acho que você	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	come, vai comer	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	eu não como	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	não, eu não como	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	lindo, lindamente	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	vale a pena (finalizando)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	apreciável, vale a pena agradecer	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	todo, como um todo	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	todos, (objetivo) todos	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	de jeito nenhum, de nada	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	totalmente não	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	perdoar, um perdão	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	um perdão para mim	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	Desculpe! (perdoe-me)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Desculpe-me por favor	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	um bom dia	a good morning	grupo	alternativoj	prononco
level	bonan matenon	bom dia	good morning	grupo	alternativoj	prononco
level	bonan nokton	boa noite	good night	grupo	alternativoj	prononco
level	bonan sonĝon	doce Sonho	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(faça) uma boa viagem, até você	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	bom dia!	good day!	grupo	alternativoj	prononco
level	ĉu ~	é ~?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	você está indo bem? (como vai você?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	sim, estou bem	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	não, de jeito nenhum	no, not at all	grupo	alternativoj	prononco
level	tre, tro	muito, demais	very, too much	grupo	alternativoj	prononco
level	granda, grande	grande, em grande parte	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	Muito bom, muito grande	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	Você está indo muito bem	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	não muito bem	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	aprender, um aprendizado	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	está olhando, um espectador	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	está aprendendo, um aluno (uma pessoa que aprende)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	is -ing, uma pessoa que está fazendo	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	um estudante, uma pessoa que aprendeu	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Eu sou um estudante.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ é meu amigo	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	ele Ela	he, she	grupo	alternativoj	prononco
level	sidi, sidas	sentar, sentar	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	está sentado, estava sentado, estará sentado	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	ele está sentado e ela está aprendendo	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	um quarto	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	aprende em uma sala	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	um estudante e um esportista	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	esporte e um esportista	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	um esportista está esportivo	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	ele é um estudante	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	ele é estudante e esportista	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	ele agora está sentado	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	e agora está aprendendo	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	está sentado e está aprendendo	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	agora em um quarto	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	está em uma mesa	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	um papel e papéis	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	uma mesa e mesas	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	um livro e livros	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	os papéis e livros	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	está em uma mesa.	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	está escrevendo em uma escrivaninha	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	os livros são ~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	na mesa	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	um livro didático e os livros didáticos	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	na mesa há ~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	um pai e uma mãe	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	o pai e a mãe	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	a mãe do meu amigo	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	no quarto	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	não está na sala	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	eles agora estão trabalhando	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	o pai dele é trabalhador	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	ele trabalha em um hotel	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	a mãe ensina	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	ela é uma professora	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	ela é mãe?	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	não, ela é hoteleira	no, she is an hotelier	grupo	alternativoj	prononco
