B.pt content.tsv
Level	Esperanto	pt	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	olá!	hello!	grupo	alternativoj	prononco
level	mi estas ~	eu sou ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	quem é você?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	meu nome é ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	Estou feliz	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	Estou feliz também	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	muitas vezes vem	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	para este lugar de dança	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	você costuma vir a este lugar de dança?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	não, e você?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	eu também não	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ é um nome interessante	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	é isso?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	não é?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	de que maneira?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	está relacionado a ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	está relacionado ao Esperanto.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	o que?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	não ouvi bem	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ está muito alto	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	a música está muito alta	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	Eu disse isso ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Eu disse que seu nome tem relação com Esperanto	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	realmente?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	uma novidade para mim	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	isso é uma novidade para mim	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	você ouviu falar de ~ ?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	você ouviu falar do Esperanto?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	Eu não sabia disso ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	mas eu não sabia que meu nome está relacionado a isso	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	na verdade	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	como está ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	como é a relação?	how is the relation?	grupo	alternativoj	prononco
level	ho!	oh!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	isso é uma longa história	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	vou te contar	will tell you	grupo	alternativoj	prononco
level	se vi volas	se você quiser	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Eu te conto mais tarde, se você quiser	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	neste lugar (neste local)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	muito barulho	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	neste lugar há muito barulho	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	sim, você está certo	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	vamos dançar?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	Boa ideia!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	obrigado por uma noite agradável	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	obrigado (para você)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	foi muito bom	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	uma música é agradável para ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	a música me agradou muito	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	também para mim	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	dançar é muito engraçado	dancing is very funny	grupo	alternativoj	prononco
