A.ro content.tsv
Level	Esperanto	ro	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	Eu tu	I, you	grupo	alternativoj	prononco
level	estas, estis	(prezent) este, sunt, sunt (trecut) a fost, am fost	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	eu sunt ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	esti ~	you are ~	grupo	alternativoj	prononco
level	saluton	Buna ziua	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	salut, sunt ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	al meu, al tău	my, your	grupo	alternativoj	prononco
level	nomo	un nume	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	numele meu, numele tău	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	numele meu este ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	numele tău este ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(prezent) face, (trecut) a făcut	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(prezent) a fost, au fost (viitor) vor fi	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	un nume, un nume (obiectiv).	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	dragul meu	my love	grupo	alternativoj	prononco
level	vi fartas	faci ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	Cum	how	grupo	alternativoj	prononco
level	kiel vi fartas?	ce mai faci?	how are you doing?	grupo	alternativoj	prononco
level	kio	ce	what	grupo	alternativoj	prononco
level	kio estas via nomo?	Cum te numești?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	bine bine	good, well	grupo	alternativoj	prononco
level	fartas bone	merge bine	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	imi merge bine	I am doing well	grupo	alternativoj	prononco
level	kaj	și	and	grupo	alternativoj	prononco
level	bone, kaj vi?	bine și tu?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	până la ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(prezent) vede, (trecut) a văzut	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(trecut) a văzut, (trecut) a văzut din nou	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	am văzut din nou, voi vedea din nou	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	revăzând din nou, revăzând-o (obiectiv)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	ne mai vedem!	see you again!	grupo	alternativoj	prononco
level	dankon	mulțumesc	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	multumesc si ne revedem!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	la ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	pentru tine, pentru mine	to you, to me	grupo	alternativoj	prononco
