B.sv content.tsv
Level	Esperanto	sv	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	Hallå!	hello!	grupo	alternativoj	prononco
level	mi estas ~	jag är ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	vem är du?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	mitt namn är ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	jag är glad	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	Jag är också glad	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	kommer ofta	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	till denna dansplats	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	kommer du ofta till det här dansstället?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	Nej gör du?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	inte jag heller	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ är ett intressant namn	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	är det?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	är det inte?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	på vilket sätt?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	är relaterad till ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	det är släkt med esperanto.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	Vad?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	Jag hörde inte bra	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ är för högt	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	musiken är för hög	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	Jag sa att ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Jag sa att ditt namn är relaterat till esperanto	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	verkligen?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	en nyhet för mig	a news for me	grupo	alternativoj	prononco
