A.sw content.tsv
Level	Esperanto	sw	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	Mimi wewe	I, you	grupo	alternativoj	prononco
level	estas, estis	(ya sasa) ni, niko, ni (yaliyopita) yalikuwa, yalikuwa	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	I am ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	wewe ni ~	you are ~	grupo	alternativoj	prononco
level	saluton	habari	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	habari, I am ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	yangu, yako	my, your	grupo	alternativoj	prononco
level	nomo	jina	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	jina langu, jina lako	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	jina langu ni ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	jina lako ni ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(sasa) inafanya, (iliyopita) ilifanya	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(iliyopo) ilikuwa, ilikuwa (ya baadaye) itakuwa	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	jina, jina (lengo).	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	mpenzi wangu	my love	grupo	alternativoj	prononco
level	vi fartas	you are doing ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	vipi	how	grupo	alternativoj	prononco
level	kiel vi fartas?	unaendeleaje?	how are you doing?	grupo	alternativoj	prononco
level	kio	nini	what	grupo	alternativoj	prononco
level	kio estas via nomo?	jina lako nani?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	vizuri, vizuri	good, well	grupo	alternativoj	prononco
level	fartas bone	inafanya vizuri	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	Ninaendelea vizuri	I am doing well	grupo	alternativoj	prononco
level	kaj	na	and	grupo	alternativoj	prononco
level	bone, kaj vi?	salama na wewe?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	mpaka ~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(sasa) anaona, (zamani) kuona	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(past) kuona, (zamani) kuona tena	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	kuona tena, nitaona tena	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	kuona-tena, kuona-tena (lengo)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	tuonane tena!	see you again!	grupo	alternativoj	prononco
level	dankon	Asante	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	asante na kukuona tena!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	kwa ~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	kwako, kwangu	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(sasa) asante, (zamani) alishukuru	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	Ninashukuru kwako	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	ndio la	yes, no	grupo	alternativoj	prononco
level	jes, dankon	ndio, asante	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	atakula, atakula	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	Mimi si kula	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	hapana, mimi si kula	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	mrembo, mrembo	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	thamani (mwisho)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	ya kuthaminiwa, inafaa kushukuru	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	nzima, kwa ujumla	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	wote, (lengo) wote	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	hata kidogo, unakaribishwa	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	hapana kabisa	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	kusamehe, kusamehe	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	kunisamehe	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	Samahani! (samahani)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Samahani, tafadhali	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	asubuhi njema	a good morning	grupo	alternativoj	prononco
level	bonan matenon	Habari za asubuhi	good morning	grupo	alternativoj	prononco
level	bonan nokton	usiku mwema	good night	grupo	alternativoj	prononco
level	bonan sonĝon	ndoto njema	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	(kuwa) safari njema, kwako	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	siku njema!	good day!	grupo	alternativoj	prononco
level	ĉu ~	ni ~?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	unaendelea vizuri? (habari yako?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	ndio, niko sawa	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	hapana, hata kidogo	no, not at all	grupo	alternativoj	prononco
level	tre, tro	sana, sana	very, too much	grupo	alternativoj	prononco
level	granda, grande	kubwa, kwa kiasi kikubwa	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	Nzuri sana, kubwa sana	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	unaendelea vizuri sana	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	si vyema sana	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	kujifunza, kujifunza	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	anatazama, mtazamaji	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	ni kujifunza, mwanafunzi (mtu anayejifunza)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	ni -ni, mtu anayefanya	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	mwanafunzi, mtu ambaye amejifunza	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Mimi ni mwanafunzi.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ ni rafiki yangu	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	yeye, yeye	he, she	grupo	alternativoj	prononco
level	sidi, sidas	kukaa, kukaa	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	ameketi, alikuwa ameketi, atakuwa ameketi	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	amekaa na yeye anajifunza	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	chumba	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	anajifunza chumbani	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	mwanafunzi na mwanaspoti	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	mwanamichezo na mwanaspoti	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	mwanaspoti ni mwanamichezo	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	Yeye ni mwanafunzi	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	yeye ni mwanafunzi na mwanaspoti	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	sasa ameketi	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	na sasa anajifunza	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	amekaa na anajifunza	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	sasa katika chumba	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	iko kwenye meza	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	karatasi na karatasi	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	meza na meza	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	kitabu na vitabu	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	karatasi na vitabu	the papers and books	grupo	alternativoj	prononco
