B.sw content.tsv
Level	Esperanto	sw	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	habari!	hello!	grupo	alternativoj	prononco
level	mi estas ~	I am ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	wewe ni nani?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	jina langu ni ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	nimefurahi	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	Nimefurahi pia	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	mara nyingi huja	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	mahali hapa pa kucheza	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	mara nyingi huja mahali hapa pa kucheza dansi?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	hapana, je!	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	mi wala	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ ni jina la kuvutia	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	ni?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	sivyo?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	kwa njia gani?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	inahusiana na ~	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	inahusiana na Kiesperanto.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	nini?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	Sikusikia vizuri	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ ni sauti kubwa sana	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	muziki ni mkubwa sana	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	Nilisema kwamba ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Nilisema kwamba jina lako linahusiana na Kiesperanto	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	kweli?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	habari kwangu	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	hiyo ni habari kwangu	that's a news for me	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri ~?	ulisikia kuhusu ~ ?	did you hear about ~ ?	grupo	alternativoj	prononco
level	ĉu vi aŭdis pri Esperanto?	ulisikia kuhusu Kiesperanto?	did you hear about Esperanto?	grupo	alternativoj	prononco
level	mi ne sciis, ke ~	Sikujua kwamba ~	I didn't know that ~	grupo	alternativoj	prononco
level	sed mi ne sciis ke mia nomo rilatas al ĝi	lakini sikujua kuwa jina langu linahusiana nayo	but I didn't know that my name is related to it	grupo	alternativoj	prononco
level	fakte	kwa kweli	in fact	grupo	alternativoj	prononco
level	kia estas ~ ?	vipi ~?	how is ~ ?	grupo	alternativoj	prononco
level	kia estas la rilato?	uhusiano ukoje?	how is the relation?	grupo	alternativoj	prononco
level	ho!	oh!	oh!	grupo	alternativoj	prononco
level	tio estas longa rakonto	hiyo ni hadithi ndefu	that's a long story	grupo	alternativoj	prononco
level	rakontos al vi	nitakuambia	will tell you	grupo	alternativoj	prononco
level	se vi volas	ukitaka	if you want	grupo	alternativoj	prononco
level	mi rakontos al vi poste, se vi volas	Nitakuambia baadaye, ikiwa unataka	I will tell you later, if you want	grupo	alternativoj	prononco
level	en ĉi tiu loko	mahali hapa (mahali hapa)	in this place (in this location)	grupo	alternativoj	prononco
level	tro da bruo	kelele nyingi	too much noise	grupo	alternativoj	prononco
level	en ĉi tiu loko estas tro da bruo	mahali hapa, kuna kelele nyingi sana	in this place, there's too much noise	grupo	alternativoj	prononco
level	jes, vi pravas	ndio, uko sawa	yes, you're right	grupo	alternativoj	prononco
level	ĉu ni dancu?	tutacheza?	shall we dance?	grupo	alternativoj	prononco
level	bona ideo!	wazo nzuri!	good idea!	grupo	alternativoj	prononco
level	dankon por agrabla vespero	asante kwa jioni njema	thank you for a pleasant evening	grupo	alternativoj	prononco
level	dankon al vi	asante (kwako)	thank you (to you)	grupo	alternativoj	prononco
level	estis vere bona	Ilikuwa nzuri sana	it was very good	grupo	alternativoj	prononco
level	muziko plaĉas al ~	a music is pleasing to ~	a music is pleasing to ~	grupo	alternativoj	prononco
level	la muziko ege plaĉis al mi	muziki ulinipendeza sana	the music was very pleasing to me	grupo	alternativoj	prononco
level	ankaŭ al mi	pia kwangu	also to me	grupo	alternativoj	prononco
level	danci estis tre amuze	kucheza ni kuchekesha sana	dancing is very funny	grupo	alternativoj	prononco
