C.sw content.tsv
Level	Esperanto	sw	en-us	Grupo	Alternativoj	Pronoco
level	doni	kutoa	to give	grupo	alternativoj	prononco
level	mi	Mimi, mimi	I, me	grupo	alternativoj	prononco
level	vi	wewe	you	grupo	alternativoj	prononco
level	havi	kuwa na, kuvaa, kubeba, kumiliki	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	yeye	she	grupo	alternativoj	prononco
level	li	yeye	he	grupo	alternativoj	prononco
level	ili	wao	they	grupo	alternativoj	prononco
level	ĝi	ni	it	grupo	alternativoj	prononco
level	oni	mtu, mtu, mtu	one, someone, somebody	grupo	alternativoj	prononco
level	ni	sisi, sisi	we, us	grupo	alternativoj	prononco
level	si	mwenyewe	oneself	grupo	alternativoj	prononco
level	mem	peke yake	by oneself	grupo	alternativoj	prononco
level	ĝis ~	upto ~, mpaka ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	ya ~	of ~	grupo	alternativoj	prononco
level	da ~	(mengi) of ~, (nyingi) of ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(suffix) kitu, udhihirisho thabiti	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	karibu, karibu, hivi karibuni, karibu	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(suffix) kitendo cha kurudiarudia, kitendo cha kudumu	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(kiambishi) wakati uliopo	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(kiambishi) wakati uliopita	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	kuwa	to be	grupo	alternativoj	prononco
level	-os	(kiambishi) wakati ujao	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(preposition) kabla ~, mbele ya ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	kufanya, kufanya	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(kihusishi) pia, pia	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	after ~	after ~	grupo	alternativoj	prononco
level	mal-	(kiambishi awali) kinyume	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(kiambishi) mtu wa hulka fulani	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(kiambishi) kike	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(kiambishi) amilifu sasa, is ~ing, mtu aliye ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(suffix) amilifu zamani, was ~ing	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(suffix) amilifu siku zijazo, will be ~ing	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	na	and	grupo	alternativoj	prononco
level	aŭ	au	or	grupo	alternativoj	prononco
level	alta	juu, mrefu	high, tall	grupo	alternativoj	prononco
level	jes	ndio	yes	grupo	alternativoj	prononco
level	ne	si, hapana	not, no	grupo	alternativoj	prononco
level	tiom	kiasi hicho, kiasi hicho, kiasi hicho	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	nzuri	good	grupo	alternativoj	prononco
level	kiom	ngapi, ngapi	how much, how many	grupo	alternativoj	prononco
level	ofte	mara nyingi, mara kwa mara	often, frequently	grupo	alternativoj	prononco
level	iom	kidogo, badala yake, baadhi, kiasi	a little, rather, some, somewhat	grupo	alternativoj	prononco
level	nova	mpya, riwaya	new, novel	grupo	alternativoj	prononco
level	-at-	(kiambishi) kiambishi kiima tu	(suffix)  passive present participle	grupo	alternativoj	prononco
level	-it-	(kiambishi tamati) kitenzi tendeshi cha wakati uliopita	(suffix)  passive past participle	grupo	alternativoj	prononco
level	-ot-	(kiambishi) kitenzi kishirikishi cha wakati ujao	(suffix)  passive future participle	grupo	alternativoj	prononco
level	tre	sana, sana, sana	very, quite, very much	grupo	alternativoj	prononco
level	tro	pia, kupita kiasi, kupita kiasi	too, excessively, too much	grupo	alternativoj	prononco
level	tamen	hata hivyo, hata hivyo, lakini, hata hivyo	however, nonetheless, but, nevertheless	grupo	alternativoj	prononco
level	ho!	Lo! Ho!	Oh! Ho!	grupo	alternativoj	prononco
level	ke ~	hiyo ~	that ~	grupo	alternativoj	prononco
level	ĉar ~	kwa sababu ~	because ~	grupo	alternativoj	prononco
level	ĉu	iwe ~	whether ~	grupo	alternativoj	prononco
level	-ej-	(kiambishi) mahali	(suffix)  place	grupo	alternativoj	prononco
level	-ec-	(kiambishi) jina dhahania la ubora	(suffix)  abstract name of quality	grupo	alternativoj	prononco
level	ambaŭ ~	zote mbili ~	both ~	grupo	alternativoj	prononco
level	tuj	mara moja, papo hapo, papo hapo	immediately, instantly, right away	grupo	alternativoj	prononco
level	kvazaŭ ~	as if ~	as if ~	grupo	alternativoj	prononco
level	kiam	lini	when	grupo	alternativoj	prononco
level	silenti	kuwa kimya, kuwa kimya	to be silent, to be quiet	grupo	alternativoj	prononco
level	neniam	kamwe, hakuna wakati, si milele	never, at no time, not ever	grupo	alternativoj	prononco
level	tial	kwa hiyo, hivyo	therefore, so	grupo	alternativoj	prononco
level	kial	kwa nini, kwa nini	why, what for	grupo	alternativoj	prononco
level	kvankam	Ingawa ~, while, ingawa	although ~, while, though	grupo	alternativoj	prononco
level	ĉe ~	(preposition) at ~	(preposition)  at ~	grupo	alternativoj	prononco
level	pli	zaidi	more	grupo	alternativoj	prononco
level	plej	wengi	most	grupo	alternativoj	prononco
level	diri	kusema, kusema	to say, to tell	grupo	alternativoj	prononco
level	ol ~	kuliko ~	than ~	grupo	alternativoj	prononco
level	paroli	kuongea, kuongea	to speak, to talk	grupo	alternativoj	prononco
level	kia	aina gani, aina gani	what kind of, what sort of	grupo	alternativoj	prononco
level	tia	vile, vile vile, vile	such, that kind of, such a	grupo	alternativoj	prononco
level	apenaŭ	vigumu, vigumu, kwa uangalifu	barely, hardly, scarecely	grupo	alternativoj	prononco
level	sendi	kutuma	to send	grupo	alternativoj	prononco
level	ĵus	tu (muda mfupi uliopita), sasa hivi	just (a moment ago), just now	grupo	alternativoj	prononco
level	-u	(kiambishi) cha lazima	(suffix)  imperative	grupo	alternativoj	prononco
level	ekster ~	nje ~	outside ~	grupo	alternativoj	prononco
level	ge-	(kiambishi awali) jinsia zote mbili, jinsia zote mbili	(prefix)  both sex, both gender	grupo	alternativoj	prononco
level	-us	(kiambishi tamati) kingeweza, kinapaswa, kiimamizi	(suffix)  would, should, subjunctive	grupo	alternativoj	prononco
level	baldaŭ	hivi karibuni	soon	grupo	alternativoj	prononco
level	almenaŭ	angalau, ikiwa hakuna kitu kingine	at least, if nothing else	grupo	alternativoj	prononco
level	dis-	dis-	dis-	grupo	alternativoj	prononco
level	-uj-	(kiambishi) chombo; nchi	(suffix)  container; country	grupo	alternativoj	prononco
level	lerni	kujifunza	to learn	grupo	alternativoj	prononco
level	ek-	(kiambishi awali) mwanzo; kuanza ghafla	(prefix)  beginning; sudden start	grupo	alternativoj	prononco
level	se	kama, mradi tu	if, provided that	grupo	alternativoj	prononco
level	eĉ	hata	even	grupo	alternativoj	prononco
level	amo	upendo	a love	grupo	alternativoj	prononco
level	jam	tayari, hivi karibuni, kama ilivyo sasa	already, so soon, as of now	grupo	alternativoj	prononco
