A.ta content.tsv
Level	Esperanto	ta	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	நான் நீ	I, you	grupo	alternativoj	prononco
level	estas, estis	(தற்போது) is, am, are (past) was, were	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	நான் ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	நீங்கள் ~	you are ~	grupo	alternativoj	prononco
level	saluton	வணக்கம்	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	வணக்கம், நான் ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	என், உங்கள்	my, your	grupo	alternativoj	prononco
level	nomo	ஒரு பெயர்	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	என் பெயர், உங்கள் பெயர்	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	என் பெயர் ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	உங்கள் பெயர் ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(தற்போது) செய்கிறது, (கடந்த காலம்) செய்தது	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(தற்போது) இருந்தது, இருந்தது (எதிர்காலம்) இருக்கும்	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	ஒரு பெயர், ஒரு (புறநிலை) பெயர்	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	என் காதல்	my love	grupo	alternativoj	prononco
level	vi fartas	நீங்கள் செய்கிறீர்கள் ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	எப்படி	how	grupo	alternativoj	prononco
level	kiel vi fartas?	நீங்கள் எப்படி இருக்கிறீர்கள்?	how are you doing?	grupo	alternativoj	prononco
level	kio	என்ன	what	grupo	alternativoj	prononco
level	kio estas via nomo?	உங்கள் பெயர் என்ன?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	நல்லது சிறந்தது	good, well	grupo	alternativoj	prononco
level	fartas bone	நன்றாக இருக்கிறது	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	நான் நன்றாக இருக்கிறேன்	I am doing well	grupo	alternativoj	prononco
level	kaj	மற்றும்	and	grupo	alternativoj	prononco
level	bone, kaj vi?	நல்லது, மற்றும் நீங்கள்?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	~ வரை	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(தற்போது) பார்க்கிறது, (கடந்த) பார்த்தேன்	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(கடந்த) பார்த்தேன், (கடந்த) மீண்டும் பார்த்தேன்	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	மீண்டும் பார்த்தேன், மீண்டும் பார்ப்பேன்	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	மீண்டும் பார்ப்பது, மீண்டும் பார்ப்பது (நோக்கம்)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	மீண்டும் சந்திப்போம்!	see you again!	grupo	alternativoj	prononco
level	dankon	நன்றி	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	நன்றி மீண்டும் சந்திப்போம்!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	உனக்கு, எனக்கு	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(தற்போது) நன்றி, (கடந்த) நன்றி	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	நான் உங்களை பாராட்டுகிறேன்	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	ஆ ம் இல்லை	yes, no	grupo	alternativoj	prononco
level	jes, dankon	ஆம், நன்றி	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	சாப்பிடுகிறார், சாப்பிடுவார்	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	நான் சாப்பிடுவதில்லை	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	இல்லை, நான் சாப்பிடுவதில்லை	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	அழகான, அழகாக	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	பயனுள்ளது (முடிவு)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	பாராட்டத்தக்கது, நன்றி சொல்லத் தக்கது	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	முழு, மொத்தமாக	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	அனைத்தும், (நோக்கம்) அனைத்தும்	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	இல்லை, நீங்கள் வரவேற்கப்படுகிறீர்கள்	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	முற்றிலும் இல்லை	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	மன்னிக்க, மன்னிக்க	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	எனக்கு ஒரு மன்னிப்பு	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	என்னை மன்னிக்கவும்! (என்னை மன்னிக்கவும்)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	மன்னிக்கவும், தயவுசெய்து	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	ஒரு காலை வணக்கம்	a good morning	grupo	alternativoj	prononco
level	bonan matenon	காலை வணக்கம்	good morning	grupo	alternativoj	prononco
level	bonan nokton	இனிய இரவு	good night	grupo	alternativoj	prononco
level	bonan sonĝon	இனிமையான கனவு	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	உங்களுக்கு ஒரு நல்ல பயணம்	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	நல்ல நாள்!	good day!	grupo	alternativoj	prononco
level	ĉu ~	அது ~?	is it ~ ?	grupo	alternativoj	prononco
