C.th content.tsv
Level	Esperanto	th	en-us	Grupo	Alternativoj	Pronoco
level	doni	ที่จะให้	to give	grupo	alternativoj	prononco
level	mi	ฉัน ฉัน	I, me	grupo	alternativoj	prononco
level	vi	คุณ	you	grupo	alternativoj	prononco
level	havi	มี, สวมใส่, พกพา, เป็นเจ้าของ	to have, to wear, to carry, to own	grupo	alternativoj	prononco
level	ŝi	เธอ	she	grupo	alternativoj	prononco
level	li	เขา	he	grupo	alternativoj	prononco
level	ili	พวกเขา	they	grupo	alternativoj	prononco
level	ĝi	มัน	it	grupo	alternativoj	prononco
level	oni	หนึ่ง บางคน บางคน	one, someone, somebody	grupo	alternativoj	prononco
level	ni	พวกเรา พวกเรา	we, us	grupo	alternativoj	prononco
level	si	ตัวเอง	oneself	grupo	alternativoj	prononco
level	mem	ด้วยตัวเอง	by oneself	grupo	alternativoj	prononco
level	ĝis ~	มากถึง ~, จนกระทั่ง ~	upto ~, until ~	grupo	alternativoj	prononco
level	de ~	ของ ~	of ~	grupo	alternativoj	prononco
level	da ~	(มาก) ของ ~, (มาก) ของ ~	(much) of ~, (many) of ~	grupo	alternativoj	prononco
level	-aĵo	(suffix) สิ่งของ, การสำแดงอย่างเป็นรูปธรรม	(suffix)  thing, concrete manifestation	grupo	alternativoj	prononco
level	proksima	ใกล้.ใกล้.ใกล้.ใกล้	near, close to, soon, nearby	grupo	alternativoj	prononco
level	-adi	(suffix) การกระทำซ้ำๆ การกระทำที่ยั่งยืน	(suffix)  repetitive action, lasting action	grupo	alternativoj	prononco
level	-as	(suffix) ปัจจุบันกาล	(suffix)  present tense	grupo	alternativoj	prononco
level	-is	(suffix) อดีตกาล	(suffix)  past tense	grupo	alternativoj	prononco
level	esti	เป็น	to be	grupo	alternativoj	prononco
level	-os	(suffix) อนาคตที่ตึงเครียด	(suffix)  future tense	grupo	alternativoj	prononco
level	antaŭ ~	(preposition) ก่อน ~, ข้างหน้า ~	(preposition)  before ~, in front of ~	grupo	alternativoj	prononco
level	fari	ทำ ทำ	to make, to do	grupo	alternativoj	prononco
level	ankaŭ ~	(preposition) เช่นกัน	(preposition)  also, too	grupo	alternativoj	prononco
level	post ~	หลังจาก ~	after ~	grupo	alternativoj	prononco
level	mal-	(prefix) ตรงข้าม	(prefix)  opposite	grupo	alternativoj	prononco
level	-ul-	(suffix) บุคคลที่มีลักษณะบางอย่าง	(suffix)  a person of some trait	grupo	alternativoj	prononco
level	-in-	(suffix) หญิง	(suffix)  female	grupo	alternativoj	prononco
level	-ant-	(suffix) ปัจจุบันที่กระตือรือร้น กำลัง ~ing ใครบางคนที่กำลัง ~ing	(suffix)  active present, is ~ing, someone who is ~ing	grupo	alternativoj	prononco
level	-int-	(suffix) อดีตที่ใช้งานอยู่กำลัง ~ ไอเอ็นจี	(suffix)  active past, was ~ing	grupo	alternativoj	prononco
level	-ont-	(suffix) อนาคตที่กระตือรือร้นจะเป็น ~ ไอเอ็นจี	(suffix)  active future, will be ~ing	grupo	alternativoj	prononco
level	kaj (k.)	และ	and	grupo	alternativoj	prononco
level	aŭ	หรือ	or	grupo	alternativoj	prononco
level	alta	สูงสูง	high, tall	grupo	alternativoj	prononco
level	jes	ใช่	yes	grupo	alternativoj	prononco
level	ne	ไม่ ไม่	not, no	grupo	alternativoj	prononco
level	tiom	มากนั้น, จำนวนนั้น, จำนวนนั้น	that much, such amount, that amount	grupo	alternativoj	prononco
level	bona	ดี	good	grupo	alternativoj	prononco
level	kiom	เท่าไหร่, เท่าไหร่	how much, how many	grupo	alternativoj	prononco
