A.tr content.tsv
Level	Esperanto	tr	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	Ben sen	I, you	grupo	alternativoj	prononco
level	estas, estis	(şimdiki) öyle, öyleyim, öyle (geçmiş) öyleydi, öyleydi	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	ben ~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	sen ~	you are ~	grupo	alternativoj	prononco
level	saluton	Merhaba	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	merhaba ben ~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	benim senin	my, your	grupo	alternativoj	prononco
level	nomo	bir isim	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	benim adım, senin adın	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	benim adım ~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	senin adın ~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	(şimdiki) yapar, (geçmiş) yaptı	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	(şimdiki) idi, idi (gelecek) olacak	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	bir isim, (nesnel) bir isim	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	Aşkım	my love	grupo	alternativoj	prononco
level	vi fartas	yapıyorsun ~	you are doing ~	grupo	alternativoj	prononco
level	kiel	Nasıl	how	grupo	alternativoj	prononco
level	kiel vi fartas?	Nasılsın?	how are you doing?	grupo	alternativoj	prononco
level	kio	Ne	what	grupo	alternativoj	prononco
level	kio estas via nomo?	Adın ne?	what is your name?	grupo	alternativoj	prononco
level	bona, bone	Çok iyi	good, well	grupo	alternativoj	prononco
level	fartas bone	iyi gidiyor	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	iyiyim	I am doing well	grupo	alternativoj	prononco
level	kaj	Ve	and	grupo	alternativoj	prononco
level	bone, kaj vi?	İyiyim sen?	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	~'a kadar	until ~	grupo	alternativoj	prononco
level	vidas, vidis	(şimdiki) görüyor, (geçmişte) gördü	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	(geçmiş) gördüm, (geçmiş) tekrar gördüm	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	tekrar gördüm, tekrar göreceğim	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	tekrar görmek, tekrar görmek (objektif)	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	tekrar görüşürüz!	see you again!	grupo	alternativoj	prononco
level	dankon	Teşekkürler	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	teşekkür ederim ve tekrar görüşürüz!	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	~'e	to ~	grupo	alternativoj	prononco
level	al vi, al mi	sana, bana	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	(şimdiki) teşekkür ederim, (geçmişte) teşekkür ettim	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	sana minnettarım	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	Evet Hayır	yes, no	grupo	alternativoj	prononco
level	jes, dankon	evet teşekkür ederim	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	yer, yiyecek	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	yemem	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	hayır yemem	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	güzel, güzel	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	değerli (bitiş)	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	takdire şayan, teşekkür etmeye değer	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	bütün olarak, bir bütün olarak	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	hepsi, (objektif) hepsi	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	hiç de değil, rica ederim	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	kesinlikle hayır	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	bağışlamak, bağışlayan	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	bana bağışlayıcı	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	Üzgünüm! (Afedersiniz)	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	Üzgünüm lütfen	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	günaydın	a good morning	grupo	alternativoj	prononco
level	bonan matenon	Günaydın	good morning	grupo	alternativoj	prononco
level	bonan nokton	iyi geceler	good night	grupo	alternativoj	prononco
level	bonan sonĝon	tatlı rüya	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	sana iyi yolculuklar	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	İyi günler!	good day!	grupo	alternativoj	prononco
level	ĉu ~	~ mı?	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	İyi misin? (Nasılsın?)	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	Evet iyiyim	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	Hayır, hiç de değil	no, not at all	grupo	alternativoj	prononco
level	tre, tro	çok, çok fazla	very, too much	grupo	alternativoj	prononco
level	granda, grande	büyük, büyük ölçüde	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	çok büyük, çok büyük	very big, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	çok iyi gidiyorsun	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	çok iyi değil	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	öğrenmek, öğrenme	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	bakıyor, bir seyirci	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	öğreniyor, öğrenci (öğrenen kişi)	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	is -ing, yapan kişi	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	öğrenci, öğrenmiş kişi	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	Ben bir öğrenciyim.	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	~ benim arkadaşım	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	o, o	he, she	grupo	alternativoj	prononco
level	sidi, sidas	oturmak, oturur	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	oturuyor, oturuyordu, oturacak	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	o oturuyor ve o öğreniyor	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	bir oda	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	bir odada öğrenir	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	bir öğrenci ve bir sporcu	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	spor ve sporcu	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	bir sporcu spor yapıyor	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	o bir öğrenci	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	o bir öğrenci ve sporcu	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	o şimdi oturuyor	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	ve şimdi öğreniyor	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	oturuyor ve öğreniyor	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	şimdi bir odada	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	bir masanın üstünde	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	bir kağıt ve kağıtlar	a paper and papers	grupo	alternativoj	prononco
