B.tr content.tsv
Level	Esperanto	tr	en-us	Grupo	Alternativoj	Pronoco
level	saluton!	Merhaba!	hello!	grupo	alternativoj	prononco
level	mi estas ~	ben ~	I am ~	grupo	alternativoj	prononco
level	kiu vi estas?	Sen kimsin?	who are you?	grupo	alternativoj	prononco
level	mia nomo estas ~	benim adım ~	my name is ~	grupo	alternativoj	prononco
level	mi ĝojas	Memnunum	I am glad	grupo	alternativoj	prononco
level	ankaŭ mi ĝojas	Ben de memnunum	I am glad, too	grupo	alternativoj	prononco
level	ofte venas	sık sık gelir	often comes	grupo	alternativoj	prononco
level	al tiu ĉi dancejo	bu dans yerine	to this dancing place	grupo	alternativoj	prononco
level	ĉu vi ofte venas al tiu ĉi dancejo?	Bu dans yerine sık sık gelir misin?	do you often come to this dancing place?	grupo	alternativoj	prononco
level	ne, ĉu vi?	hayır, öyle mi?	no, do you?	grupo	alternativoj	prononco
level	ankaŭ mi ne	ben de	mi neither	grupo	alternativoj	prononco
level	~ estas interesa nomo	~ ilginç bir isim	~ is an interesting name	grupo	alternativoj	prononco
level	ĉu?	bu mu?	is it?	grupo	alternativoj	prononco
level	ĉu ne?	değil mi?	isn't it?	grupo	alternativoj	prononco
level	en kiu maniero?	ne şekilde?	in what way?	grupo	alternativoj	prononco
level	rilatas al ~	~ ile ilgilidir	is related to ~	grupo	alternativoj	prononco
level	ĝi rilatas al Esperanto	Esperanto ile ilgilidir.	it is related to Esperanto.	grupo	alternativoj	prononco
level	kio?	Ne?	what?	grupo	alternativoj	prononco
level	mi ne aŭdis bone	pek iyi duyamadım	I didn't hear well	grupo	alternativoj	prononco
level	~ estas tro laŭta	~ çok gürültülü	~ is too loud	grupo	alternativoj	prononco
level	la muziko estas tro laŭta	müziğin sesi çok yüksek	the music is too loud	grupo	alternativoj	prononco
level	mi diris, ke ~	öyle dedim ~	I said that ~	grupo	alternativoj	prononco
level	mi diris ke via nomo rilatas al Esperanto	Adının Esperanto ile ilgili olduğunu söyledim	I said that your name is related to Esperanto	grupo	alternativoj	prononco
level	ĉu vere?	Gerçekten mi?	really?	grupo	alternativoj	prononco
level	novaĵo por mi	benim için bir haber	a news for me	grupo	alternativoj	prononco
level	tio estas novaĵo por mi	bu benim için bir haber	that's a news for me	grupo	alternativoj	prononco
