A.zh-cn content.tsv
Level	Esperanto	zh-cn	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	我，你	I, you	grupo	alternativoj	prononco
level	estas, estis	(现在) 是 (过去) 是	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	我是~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	你是~	you are ~	grupo	alternativoj	prononco
level	saluton	你好	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	你好，我是~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	我的，你的	my, your	grupo	alternativoj	prononco
level	nomo	一个名字	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	我的名字，你的名字	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	我的名字是~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	你的名字是~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	（现在）做，（过去）做	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	（现在）曾经、曾经（未来）将会	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	一个名字，一个（客观的）名字	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	亲爱的	my love	grupo	alternativoj	prononco
level	vi fartas	你在做~	you are doing ~	grupo	alternativoj	prononco
level	kiel	如何	how	grupo	alternativoj	prononco
level	kiel vi fartas?	你好吗？	how are you doing?	grupo	alternativoj	prononco
level	kio	什么	what	grupo	alternativoj	prononco
level	kio estas via nomo?	你叫什么名字？	what is your name?	grupo	alternativoj	prononco
level	bona, bone	不错嘛	good, well	grupo	alternativoj	prononco
level	fartas bone	做得很好	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	我做得不错	I am doing well	grupo	alternativoj	prononco
level	kaj	和	and	grupo	alternativoj	prononco
level	bone, kaj vi?	很好，你呢？	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	直到~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	（现在）看到，（过去）看到	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	（过去）看见，（过去）又看见	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	再次看到，将会再次看到	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	再看，再看（客观）	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	再见！	see you again!	grupo	alternativoj	prononco
level	dankon	谢谢	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	谢谢您，再见！	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	到~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	对你，对我	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	（现在）感谢，（过去）感谢	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	我很感激你	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	是的，不是	yes, no	grupo	alternativoj	prononco
level	jes, dankon	是的，谢谢你	yes, thaink you	grupo	alternativoj	prononco
level	manĝas, manĝos	吃，会吃	eats, will eat	grupo	alternativoj	prononco
level	mi ne manĝas	我不吃东西	I don't eat	grupo	alternativoj	prononco
level	ne, mi ne manĝas	不，我不吃	no, I don't eat	grupo	alternativoj	prononco
level	bela, bele	美丽的，美丽的	beautiful, beautifully	grupo	alternativoj	prononco
level	-inda	值得（完结）	worthwhile (ending)	grupo	alternativoj	prononco
level	dankinda, dankinde	值得赞赏的，值得感谢的	appreciatable, worthwhile to thank	grupo	alternativoj	prononco
level	tuta, tute	整体，整体	whole, as a whole	grupo	alternativoj	prononco
level	tuto, tuton	所有，（客观）所有	all, (objective) all	grupo	alternativoj	prononco
level	nedankinde	完全不，不客气	not at all, you're welcome	grupo	alternativoj	prononco
level	tute ne	完全没有	totally no	grupo	alternativoj	prononco
level	pardoni ~, pardono	宽恕，宽恕	to forgive, a forgiving	grupo	alternativoj	prononco
level	pardonon al mi	对我的宽恕	a forgiving to me	grupo	alternativoj	prononco
level	pardonon	对不起！ （对不起）	I'm sorry! (pardon me)	grupo	alternativoj	prononco
level	pardonon, mi petas	对不起，请	I'm sorry, please	grupo	alternativoj	prononco
level	bona mateno	早上好	a good morning	grupo	alternativoj	prononco
level	bonan matenon	早上好	good morning	grupo	alternativoj	prononco
level	bonan nokton	晚安	good night	grupo	alternativoj	prononco
level	bonan sonĝon	甜蜜的梦	sweet dream	grupo	alternativoj	prononco
level	bonan vojaĝon, al vi	祝你旅途愉快	(have) a good trip, to you	grupo	alternativoj	prononco
level	bonan tagon	再会！	good day!	grupo	alternativoj	prononco
level	ĉu ~	是吗~？	is it ~ ?	grupo	alternativoj	prononco
level	ĉu vi fartas bone?	你怎么样？ （你好吗？）	are you doing well? (how are you?)	grupo	alternativoj	prononco
level	jes, mi fartas bone	是的，我没事	yes, I'm fine	grupo	alternativoj	prononco
level	ne, tute ne	一点都不	no, not at all	grupo	alternativoj	prononco
level	tre, tro	非常、太多	very, too much	grupo	alternativoj	prononco
level	granda, grande	大的，很大程度上	big, largely	grupo	alternativoj	prononco
level	tre bona, tro granda	很好，太大了	very good, too big	grupo	alternativoj	prononco
level	vi tre bone fartas	你做得很好	you are doing very well	grupo	alternativoj	prononco
level	ne tre bone	不是很好	not very well	grupo	alternativoj	prononco
level	lerni ~, lerno	学习，学习	to learn, a learning	grupo	alternativoj	prononco
level	vidanta, vidanto	正在看，一个旁观者	is looking, a spectator	grupo	alternativoj	prononco
level	lernanta, lernanto	正在学习，一个学生（一个学习的人）	is learning, a student (a learning person)	grupo	alternativoj	prononco
level	-anta, -anto	is -ing，正在做的人	is -ing, a person who is doing	grupo	alternativoj	prononco
level	lernanto, lerninto	一个学生，一个有学问的人	a student, a person who has learned	grupo	alternativoj	prononco
level	mi estas lernanto	我是一名学生。	I am a student.	grupo	alternativoj	prononco
level	~ estas mia amiko	〜是我的朋友	~ is my friend	grupo	alternativoj	prononco
level	li, ŝi	他她	he, she	grupo	alternativoj	prononco
level	sidi, sidas	坐，坐	to sit, sits	grupo	alternativoj	prononco
level	sidanta, sidinta, sidonta	正在坐，正在坐，将坐	is sitting, was sitting, will be sitting	grupo	alternativoj	prononco
level	li sidas kaj ŝi lernas	他坐着，她在学习	he is sitting and she is learning	grupo	alternativoj	prononco
level	ĉambro	一个房间	a room	grupo	alternativoj	prononco
level	lernas en ĉambro	在房间里学习	learns in a room	grupo	alternativoj	prononco
level	lernanto kaj sportisto	一名学生和一名运动员	a student and a sportsman	grupo	alternativoj	prononco
level	sporto kaj sportisto	运动和运动员	sport and a sportsman	grupo	alternativoj	prononco
level	sportisto nun sportas	运动员正在运动	a sportsman is sporting	grupo	alternativoj	prononco
level	li estas lernanto	他是学生	he is a student	grupo	alternativoj	prononco
level	estas lernanto kaj sportisto	他是一名学生和运动员	he is a student and a sportman	grupo	alternativoj	prononco
level	li nun sidas	他现在坐着	he is now sitting	grupo	alternativoj	prononco
level	kaj nun lernas	现在正在学习	and is now learning	grupo	alternativoj	prononco
level	sidas kaj lernas	正在坐着学习	is sitting and is learning	grupo	alternativoj	prononco
level	nun en ĉambro	现在在一个房间里	now in a room	grupo	alternativoj	prononco
level	estas sur tablo	在桌子上	is on a table	grupo	alternativoj	prononco
level	papero kaj paperoj	一张纸和几张纸	a paper and papers	grupo	alternativoj	prononco
level	tablo kaj tabloj	一张桌子和几张桌子	a table and tables	grupo	alternativoj	prononco
level	libro kaj libroj	一本书和书	a book and books	grupo	alternativoj	prononco
level	la paperoj kaj libroj	论文和书籍	the papers and books	grupo	alternativoj	prononco
level	ĝi estas sur tablo	它在桌子上。	it is on a table.	grupo	alternativoj	prononco
level	skribas sur la skribotablo	正在写字台上写字	is writing on a writing table	grupo	alternativoj	prononco
level	la libroj estas ~	书是~	the books are ~	grupo	alternativoj	prononco
level	sur la tablo	在桌子上	on the table	grupo	alternativoj	prononco
level	lernolibro kaj la lernolibroj	一本教科书和教科书	a textbook and the textbooks	grupo	alternativoj	prononco
level	sur la tablo estas ~	桌子上有~	on the table there is ~	grupo	alternativoj	prononco
level	patro kaj patrino	一位父亲和一位母亲	a father and a mother	grupo	alternativoj	prononco
level	la patro kaj la patrino	父亲和母亲	the father and the mother	grupo	alternativoj	prononco
level	la patrino de mia amiko	我朋友的母亲	the mother of my friend	grupo	alternativoj	prononco
level	en la ĉambro	在房间里	in the room	grupo	alternativoj	prononco
level	ne estas en la ĉambro	不在房间里	is not in the room	grupo	alternativoj	prononco
level	ili nun laboras	他们现在正在工作	they are now working	grupo	alternativoj	prononco
level	lia patro estas laboristo	他的父亲是一名工人	his father is a worker	grupo	alternativoj	prononco
level	li laboras en hotelo	他在一家酒店工作	he works in a hotel	grupo	alternativoj	prononco
level	la patrino instruas	母亲教导	the mother teaches	grupo	alternativoj	prononco
level	ŝi estas instruistino	她是一名教师	she is a teacher	grupo	alternativoj	prononco
level	ĉu ŝi estas patrino?	她是母亲吗？	is she a mother?	grupo	alternativoj	prononco
level	ne, ŝi estas hotelisto	不，她是一名酒店老板	no, she is an hotelier	grupo	alternativoj	prononco
level	ne, mi ne laboras	不，我不工作	no, I don't work	grupo	alternativoj	prononco
level	kio estas ŝia nomo?	她叫什么名字？	what is her name?	grupo	alternativoj	prononco
level	kiu nun respondas?	现在谁在回答？	who is now answering?	grupo	alternativoj	prononco
level	la lingvo de ilia patrino	他们母亲的语言	the language of their mother	grupo	alternativoj	prononco
level	ĉu via nomo estas ~ ?	你叫什么名字~？	is your name ~ ?	grupo	alternativoj	prononco
level	ni sidas kaj respondas	我们坐着回答	we are sitting and answering	grupo	alternativoj	prononco
level	ŝia labora seĝo	她的工作椅	her working chair	grupo	alternativoj	prononco
level	ĝia nomo ne estas ~	它的名字不是~	its name is not ~	grupo	alternativoj	prononco
level	ŝia lingvo estas ilia lingvo	她的语言就是他们的语言	her language is their language	grupo	alternativoj	prononco
level	nia patro kaj patrino	我们的父亲和母亲	our father and mother	grupo	alternativoj	prononco
level	via lernanto, viaj lernantoj	你的学生，你的学生	your student, your students	grupo	alternativoj	prononco
level	ĉu ili estas viaj lernantoj?	他们是你的学生吗？	are they your students?	grupo	alternativoj	prononco
level	ĉu vi estas lernanto?	你是学生吗？	are you a student?	grupo	alternativoj	prononco
level	ĉu vi estas en la ĉambro?	你在房间里吗？	are you in the room?	grupo	alternativoj	prononco
level	mi ne estas ~	我不是~	I'm not ~	grupo	alternativoj	prononco
level	esperantisto kaj esperantistino	一名世界语学家和一名女性世界语学家	an Esperantist and a female Esperantist	grupo	alternativoj	prononco
level	enskribis por la hotelĉambro	办理入住酒店房间	checked in for the hotel room	grupo	alternativoj	prononco
level	lingvisto kaj laboristino	一名语言学家和一名女工	a linguist and a female worker	grupo	alternativoj	prononco
level	lia amikino estas ~	他的女朋友是~	his girl friend is ~	grupo	alternativoj	prononco
level	lernantoj kaj sportistoj	学生和运动员	students and sportsmen	grupo	alternativoj	prononco
level	mia familia nomo estas ~	我的家族名字是~	my familia name is ~	grupo	alternativoj	prononco
level	kiu estas ŝi?	她是谁？她是谁？	who is she? which is she?	grupo	alternativoj	prononco
level	estas via amikino	是你的女朋友吗	is your girl friend	grupo	alternativoj	prononco
level	ĉu via amiko estas ~ ?	是你的朋友吗~？	is your friend ~ ?	grupo	alternativoj	prononco
level	skribas nun en la ĉambro	现在正在房间里写字	is writing now in the room	grupo	alternativoj	prononco
level	ĉu la amiko de via patro ~ ?	是你爸爸的朋友吗~？	is the friend of you father ~ ?	grupo	alternativoj	prononco
level	laboras en hotelo	在酒店工作	works in a hotel	grupo	alternativoj	prononco
level	kio estas sur la tablo?	桌子上有什么？	what is on the table?	grupo	alternativoj	prononco
level	sur la tablo en nia ĉambro	在我们房间的桌子上	on the table in our room	grupo	alternativoj	prononco
level	ĉu la lernolibro de Esperanto ~ ?	是世界语教科书~？	is the Esperanto textbook ~ ?	grupo	alternativoj	prononco
level	estas sur via tablo	在你的桌子上	is on your table	grupo	alternativoj	prononco
level	havas amikinon	有一个朋友	has a friend	grupo	alternativoj	prononco
level	ŝia nomo estas ~	她的名字是~	her name is ~	grupo	alternativoj	prononco
level	juna kaj bela	年轻漂亮	young and beautiful	grupo	alternativoj	prononco
level	estas juna kaj bela	年轻又美丽	is young and beautiful	grupo	alternativoj	prononco
