A.zh-tw content.tsv
Level	Esperanto	zh-tw	en-us	Grupo	Alternativoj	Pronoco
level	mi, vi	我，你	I, you	grupo	alternativoj	prononco
level	estas, estis	(現在) 是(過去) 是	(present) is, am, are (past) was, were	grupo	alternativoj	prononco
level	mi estas ~	我是~	I am ~	grupo	alternativoj	prononco
level	vi estas ~	你是~	you are ~	grupo	alternativoj	prononco
level	saluton	你好	hello	grupo	alternativoj	prononco
level	saluton, mi estas ~	你好，我是~	hello, I am ~	grupo	alternativoj	prononco
level	mia, via	我的，你的	my, your	grupo	alternativoj	prononco
level	nomo	一個名字	a name	grupo	alternativoj	prononco
level	mia nomo, via nomo	我的名字，你的名字	my name, your name	grupo	alternativoj	prononco
level	mia nomo estas ~	我的名字是~	my name is ~	grupo	alternativoj	prononco
level	via nomo estas ~	你的名字是~	your name is ~	grupo	alternativoj	prononco
level	fartas, fartis	（現在）做，（過去）做	(present) does, (past) did	grupo	alternativoj	prononco
level	estis, estos	（現在）曾經、曾經（未來）將會	(present) was, were (future) will be	grupo	alternativoj	prononco
level	nomo, nomon	一個名字，一個（客觀的）名字	a name, an (objective) name	grupo	alternativoj	prononco
level	mia amo	親愛的	my love	grupo	alternativoj	prononco
level	vi fartas	你在做~	you are doing ~	grupo	alternativoj	prononco
level	kiel	如何	how	grupo	alternativoj	prononco
level	kiel vi fartas?	你好嗎？	how are you doing?	grupo	alternativoj	prononco
level	kio	什麼	what	grupo	alternativoj	prononco
level	kio estas via nomo?	你叫什麼名字？	what is your name?	grupo	alternativoj	prononco
level	bona, bone	不錯嘛	good, well	grupo	alternativoj	prononco
level	fartas bone	做得很好	is doing well	grupo	alternativoj	prononco
level	mi fartas bone	我做得不錯	I am doing well	grupo	alternativoj	prononco
level	kaj	和	and	grupo	alternativoj	prononco
level	bone, kaj vi?	很好，你呢？	fine, and you?	grupo	alternativoj	prononco
level	ĝis ~	直到~	until ~	grupo	alternativoj	prononco
level	vidas, vidis	（現在）看到，（過去）看到	(present) sees, (past) saw	grupo	alternativoj	prononco
level	vidis, revidis	（過去）看見，（過去）又看見	(past) saw, (past) saw again	grupo	alternativoj	prononco
level	revidis, revidos	再次看到，將會再次看到	saw again, will see again	grupo	alternativoj	prononco
level	revido, revidon	再看，再看（客觀）	seeing-again, seeing-again (objective)	grupo	alternativoj	prononco
level	ĝis revido!	再見！	see you again!	grupo	alternativoj	prononco
level	dankon	謝謝	thank you	grupo	alternativoj	prononco
level	dankon kaj ĝis revido!	謝謝您，再見！	thank you and see you again!	grupo	alternativoj	prononco
level	al ~	到~	to ~	grupo	alternativoj	prononco
level	al vi, al mi	對你，對我	to you, to me	grupo	alternativoj	prononco
level	dankas, dankis	（現在）感謝，（過去）感謝	(present) thanks, (past) thanked	grupo	alternativoj	prononco
level	mi dankas al vi	我很感激你	I appreciate to you	grupo	alternativoj	prononco
level	jes, ne	是的，不是	yes, no	grupo	alternativoj	prononco
