level	saluton!	Здравейте!	hello!	grupo	0    	0000-00-00 00:00:00
level	mi estas ~	аз съм ~	I am ~	grupo	0    	0000-00-00 00:00:00
level	kiu vi estas?	кой си ти?	who are you?	grupo	0    	0000-00-00 00:00:00
level	mia nomo estas ~	моето име е ~	my name is ~	grupo	0    	0000-00-00 00:00:00
level	mi ĝojas	радвам се	I am glad	grupo	0    	0000-00-00 00:00:00
level	ankaŭ mi ĝojas	И аз се радвам	I am glad, too	grupo	0    	0000-00-00 00:00:00
level	ofte venas	често идва	often comes	grupo	0    	0000-00-00 00:00:00
level	al tiu ĉi dancejo	на това място за танци	to this dancing place	grupo	0    	0000-00-00 00:00:00
level	ĉu vi ofte venas al tiu ĉi dancejo?	идваш ли често на това място за танци?	do you often come to this dancing place?	grupo	0    	0000-00-00 00:00:00
level	ne, ĉu vi?	не, а ти?	no, do you?	grupo	0    	0000-00-00 00:00:00
level	ankaŭ mi ne	нито аз	mi neither	grupo	0    	0000-00-00 00:00:00
level	~ estas interesa nomo	~ е интересно име	~ is an interesting name	grupo	0    	0000-00-00 00:00:00
level	ĉu?	Така ли?	is it?	grupo	0    	0000-00-00 00:00:00
level	ĉu ne?	не е ли	isn't it?	grupo	0    	0000-00-00 00:00:00
level	en kiu maniero?	по какъв начин?	in what way?	grupo	0    	0000-00-00 00:00:00
level	rilatas al ~	е свързано с ~	is related to ~	grupo	0    	0000-00-00 00:00:00
level	ĝi rilatas al Esperanto	то е свързано с есперанто.	it is related to Esperanto.	grupo	0    	0000-00-00 00:00:00
level	kio?	Какво?	what?	grupo	0    	0000-00-00 00:00:00
level	mi ne aŭdis bone	Не чух добре	I didn't hear well	grupo	0    	0000-00-00 00:00:00
level	~ estas tro laŭta	~ е твърде силен	~ is too loud	grupo	0    	0000-00-00 00:00:00
level	la muziko estas tro laŭta	музиката е твърде силна	the music is too loud	grupo	0    	0000-00-00 00:00:00
level	mi diris, ke ~	Казах това ~	I said that ~	grupo	0    	0000-00-00 00:00:00
level	mi diris ke via nomo rilatas al Esperanto	Казах, че името ви е свързано с есперанто	I said that your name is related to Esperanto	grupo	0    	0000-00-00 00:00:00
level	ĉu vere?	наистина ли?	really?	grupo	0    	0000-00-00 00:00:00
level	novaĵo por mi	една новина за мен	a news for me	grupo	0    	0000-00-00 00:00:00
level	tio estas novaĵo por mi	това е новина за мен	that's a news for me	grupo	0    	0000-00-00 00:00:00
level	ĉu vi aŭdis pri ~?	чухте ли за ~?	did you hear about ~ ?	grupo	0    	0000-00-00 00:00:00
level	ĉu vi aŭdis pri Esperanto?	чувал ли си за есперанто?	did you hear about Esperanto?	grupo	0    	0000-00-00 00:00:00
level	mi ne sciis, ke ~	Не знаех това ~	I didn't know that ~	grupo	0    	0000-00-00 00:00:00
level	sed mi ne sciis ke mia nomo rilatas al ĝi	но не знаех, че името ми е свързано с това	but I didn't know that my name is related to it	grupo	0    	0000-00-00 00:00:00
level	fakte	всъщност	in fact	grupo	0    	0000-00-00 00:00:00
level	kia estas ~ ?	как е ~?	how is ~ ?	grupo	0    	0000-00-00 00:00:00
level	kia estas la rilato?	каква е връзката?	how is the relation?	grupo	0    	0000-00-00 00:00:00
level	ho!	о!	oh!	grupo	0    	0000-00-00 00:00:00
level	tio estas longa rakonto	това е дълга история	that's a long story	grupo	0    	0000-00-00 00:00:00
level	rakontos al vi	ще ви кажа	will tell you	grupo	0    	0000-00-00 00:00:00
level	se vi volas	ако искаш	if you want	grupo	0    	0000-00-00 00:00:00
level	mi rakontos al vi poste, se vi volas	Ще ти кажа по-късно, ако искаш	I will tell you later, if you want	grupo	0    	0000-00-00 00:00:00
level	en ĉi tiu loko	на това място (на това място)	in this place (in this location)	grupo	0    	0000-00-00 00:00:00
level	tro da bruo	прекалено много шум	too much noise	grupo	0    	0000-00-00 00:00:00
level	en ĉi tiu loko estas tro da bruo	на това място има твърде много шум	in this place, there's too much noise	grupo	0    	0000-00-00 00:00:00
level	jes, vi pravas	Да ти си прав	yes, you're right	grupo	0    	0000-00-00 00:00:00
level	ĉu ni dancu?	ще танцуваме ли?	shall we dance?	grupo	0    	0000-00-00 00:00:00
level	bona ideo!	добра идея!	good idea!	grupo	0    	0000-00-00 00:00:00
level	dankon por agrabla vespero	благодаря за приятната вечер	thank you for a pleasant evening	grupo	0    	0000-00-00 00:00:00
level	dankon al vi	благодаря ти (на теб)	thank you (to you)	grupo	0    	0000-00-00 00:00:00
level	estis vere bona	беше много добро	it was very good	grupo	0    	0000-00-00 00:00:00
level	muziko plaĉas al ~	музиката е приятна за ~	a music is pleasing to ~	grupo	0    	0000-00-00 00:00:00
level	la muziko ege plaĉis al mi	музиката много ми хареса	the music was very pleasing to me	grupo	0    	0000-00-00 00:00:00
level	ankaŭ al mi	също и на мен	also to me	grupo	0    	0000-00-00 00:00:00
level	danci estis tre amuze	танците са много забавни	dancing is very funny	grupo	0    	0000-00-00 00:00:00
level	danci kun vi	да танцувам с теб	to dance with you	grupo	0    	0000-00-00 00:00:00
