Saluton	mi, vi	私、あなた	I, you	Saluton	2    	2023-08-27 17:15:18
Saluton	estas, estis	（現在）~だ、（過去）~だった	(present) am, (past) was	Saluton	3    	2023-08-27 21:55:40
Saluton	mi estas ~	私は~だ	I am ~	Saluton	3    	2023-08-27 21:56:36
Saluton	vi estas ~	あなたは~だ	you are ~	Saluton	3    	2023-08-27 21:56:38
Saluton	saluton	こんにちは	hello	Saluton	3    	2023-08-27 21:56:47
Saluton	saluton, mi estas ~	こんにちは、私は~です	hello, I am ~	Saluton	2    	2023-08-27 17:16:55
Saluton	mia, via	私の、あなたの	my, your	Saluton	1    	2023-08-27 16:55:50
Saluton	nomo	名前	a name	Saluton	1    	2023-08-27 16:55:54
Saluton	mia nomo, via nomo	私の名前、あなたの名前	my name, your name	Saluton	1    	2023-08-27 16:56:02
Saluton	mia nomo estas ~	私の名前は~です	my name is ~	Saluton	2    	2023-08-27 17:16:00
Saluton	via nomo estas ~	あなたのなまえは~です	your name is ~	Saluton	2    	2023-08-27 17:16:21
Saluton	fartas, fartis	(現在)過ごす, (過去)過ごした	(present) does, (past) did	Saluton	1    	2023-08-27 16:56:42
Saluton	estis, estos	(過去)だった, (未来)だろう	(present) was, (future) will be	Saluton	1    	2023-08-27 16:56:49
Saluton	nomo, nomon	名前、名前を	a name, an (objective) name	Saluton	1    	2023-08-27 16:56:54
Saluton	mia amo	私の愛	my love	Saluton	1    	2023-08-27 16:57:01
Saluton	vi fartas	あなたは過ごす	you are doing ~	Saluton	1    	2023-08-27 16:57:11
Saluton	kiel	どういうふうに	how	Saluton	0    	0000-00-00 00:00:00
Saluton	kiel vi fartas?	あなたはどう過ごしていますか？	how are you doing?	Saluton	0    	0000-00-00 00:00:00
Saluton	kio	何だ	what	Saluton	0    	0000-00-00 00:00:00
Saluton	kio estas via nomo?	あなたのなまえはなんですか？	what is your name?	Saluton	0    	0000-00-00 00:00:00
Saluton	bona, bone	いい（形容詞）、よく（副詞）	good, well	Saluton	0    	0000-00-00 00:00:00
Saluton	fartas bone	元気だ（過ごしている）	is doing well	Saluton	0    	0000-00-00 00:00:00
Saluton	mi fartas bone	私は元気です	I am doing well	Saluton	0    	0000-00-00 00:00:00
Saluton	kaj	そして(~わ、~と)	and	Saluton	0    	0000-00-00 00:00:00
Saluton	bone, kaj vi?	いいですよ、あなたは？	fine, and you?	Saluton	0    	0000-00-00 00:00:00
Saluton	ĝis ~	~ まで	until ~	Saluton	0    	0000-00-00 00:00:00
Saluton	vidas, vidis	(現在)見る、見た	(present) sees, (past) saw	Saluton	0    	0000-00-00 00:00:00
Saluton	vidis, revidis	見た、もう一度見た	(past) saw, (past) saw again	Saluton	0    	0000-00-00 00:00:00
Saluton	revidis, revidos	（過去）もう一度見た、（未来）もう一度見るつもりだ	saw again, will see again	Saluton	0    	0000-00-00 00:00:00
Saluton	revido, revidon	再放送、再放送を	seeing-again, seeing-again (objective)	Saluton	0    	0000-00-00 00:00:00
Saluton	ĝis revido!	また会える日まで(さようなら)！	see you again!	Saluton	0    	0000-00-00 00:00:00
Saluton	dankon	ありがとうございます。	thank you	Saluton	0    	0000-00-00 00:00:00
Saluton	dankon kaj ĝis revido!	ありがとうございます。 そしてまた会える日まで(さようなら)！	thank you and see you again!	Saluton	0    	0000-00-00 00:00:00
Saluton	al ~	~ エーゲ	to ~	Saluton	0    	0000-00-00 00:00:00
Saluton	al vi, al mi	あなたへ、私へ	to you, to me	Saluton	0    	0000-00-00 00:00:00
Saluton	dankas, dankis	(現在)ありがとう、(過去)感謝した	(present) thanks, (past) thanked	Saluton	0    	0000-00-00 00:00:00
Saluton	mi dankas al vi	私はあなたに感謝します	I appreciate to you	Saluton	0    	0000-00-00 00:00:00
Saluton	jes, ne	はい, いいえ	yes, no	Saluton	0    	0000-00-00 00:00:00
Saluton	jes, dankon	はい、ありがとうございます	yes, thaink you	Saluton	0    	0000-00-00 00:00:00
Saluton	manĝas, manĝos	(現在) 食べる、(未来) 食べる	eats, will eat	Saluton	0    	0000-00-00 00:00:00
Saluton	mi ne manĝas	私は食べません	I don't eat	Saluton	0    	0000-00-00 00:00:00
Saluton	ne, mi ne manĝas	いいえ、私は食べません	no, I don't eat	Saluton	0    	0000-00-00 00:00:00
Saluton	bela, bele	美しい、美しく	beautiful, beautifully	Saluton	0    	0000-00-00 00:00:00
Saluton	-inda	（語尾）~だけの価値がある	worthwhile (ending)	Saluton	0    	0000-00-00 00:00:00
Saluton	dankinda, dankinde	ありがたいことに、ありがたくも	appreciatable, worthwhile to thank	Saluton	0    	0000-00-00 00:00:00
Saluton	tuta, tute	全体の、全体的に	whole, as a whole	Saluton	0    	0000-00-00 00:00:00
Saluton	tuto, tuton	全部、全部を	all, (objective) all	Saluton	0    	0000-00-00 00:00:00
Saluton	nedankinde	どういたしまして。	not at all, you're welcome	Saluton	0    	0000-00-00 00:00:00
Saluton	tute ne	全く違う	totally no	Saluton	0    	0000-00-00 00:00:00
Saluton	pardoni ~, pardono	~を許す、許す	to forgive, a forgiving	Saluton	0    	0000-00-00 00:00:00
Bonan nokton	pardonon al mi	私に許しを	a forgiving to me	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	pardonon	すみません。	I'm sorry! (pardon me)	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	pardonon, mi petas	すみません、お願いします	I'm sorry, please	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	bona mateno	おはようございます	a good morning	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	bonan matenon	朝の挨拶、こんにちは	good morning	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	bonan nokton	(夜の挨拶) おやすみなさい	good night	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	bonan sonĝon	お休みなさい	sweet dream	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	bonan vojaĝon, al vi	いい旅になりますように、あなたへ（お祈りします）	(have) a good trip, to you	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	bonan tagon	昼の挨拶、こんにちは	good day!	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	ĉu ~	~ですか？	is it ~ ?	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	ĉu vi fartas bone?	あなたは元気ですか？	are you doing well? (how are you?)	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	jes, mi fartas bone	はい、私は元気です	yes, I'm fine	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	ne, tute ne	いいえ、全然違います	no, not at all	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	tre, tro	とても、とても	very, too much	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	granda, grande	大きな、大きく	big, largely	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	tre bona, tro granda	とてもいい、とても大きな	very big, too big	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	vi tre bone fartas	あなたはとても元気です	you are doing very well	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	ne tre bone	あまりよくはないように	not very well	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	lerni ~, lerno	~を学ぶ、学ぶ	to learn, a learning	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	vidanta, vidanto	（現在進行）見ている、見ている人	is looking, a spectator	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	lernanta, lernanto	習っている、習っている人（学生）	is learning, a student (a learning person)	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	-anta, -anto	（現在進行）~している、~している人	is -ing, a person who is doing	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	lernanto, lerninto	習っている人（学生）、習った人	a student, a person who has learned	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	mi estas lernanto	私は学生だ	I am a student.	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	~ estas mia amiko	~は私の友達だ	~ is my friend	Bonan nokton	1    	2023-08-27 16:57:56
Bonan nokton	li, ŝi	その男, その女	he, she	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	sidi, sidas	すわる、すわっている	to sit, sits	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	sidanta, sidinta, sidonta	座っている、座っている、座る予定の	is sitting, was sitting, will be sitting	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	li sidas kaj ŝi lernas	彼は座っていて、彼女は学んでいる	he is sitting and she is learning	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	ĉambro	部屋	a room	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	lernas en ĉambro	部屋の中で学ぶ	learns in a room	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	lernanto kaj sportisto	学ぶ人と運動選手	a student and a sportsman	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	sporto kaj sportisto	スポーツと運動選手	sport and a sportsman	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	sportisto nun sportas	運動選手は今運動をしている	a sportsman is sporting	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	li estas lernanto	彼は学ぶ人だ	he is a student	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	estas lernanto kaj sportisto	学ぶ人でスポーツマンだ	he is a student and a sportman	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	li nun sidas	彼は今座っている	he is now sitting	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	kaj nun lernas	そして今学んでいる	and is now learning	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	sidas kaj lernas	座って学んでいる	is sitting and is learning	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	nun en ĉambro	今部屋の中で	now in a room	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	estas sur tablo	テーブルの上にある	is on a table	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	papero kaj paperoj	紙と紙	a paper and papers	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	tablo kaj tabloj	テーブルとテーブル	a table and tables	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	libro kaj libroj	本と本	a book and books	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	la paperoj kaj libroj	それらの紙	the papers and books	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	ĝi estas sur tablo	それがテーブルの上にある	it is on a table.	Bonan nokton	0    	0000-00-00 00:00:00
Bonan nokton	skribas sur la skribotablo	その机の上で使う	is writing on a writing table	Bonan nokton	0    	0000-00-00 00:00:00
