level	mi, vi	Jeg du	I, you	grupo	0    	0000-00-00 00:00:00
level	estas, estis	(nåtid) er, er, er (fortid) var, var	(present) is, am, are (past) was, were	grupo	0    	0000-00-00 00:00:00
level	mi estas ~	jeg er ~	I am ~	grupo	0    	0000-00-00 00:00:00
level	vi estas ~	du er ~	you are ~	grupo	0    	0000-00-00 00:00:00
level	saluton	Hallo	hello	grupo	0    	0000-00-00 00:00:00
level	saluton, mi estas ~	hei, jeg er ~	hello, I am ~	grupo	0    	0000-00-00 00:00:00
level	mia, via	min din	my, your	grupo	0    	0000-00-00 00:00:00
level	nomo	et navn	a name	grupo	0    	0000-00-00 00:00:00
level	mia nomo, via nomo	mitt navn, ditt navn	my name, your name	grupo	0    	0000-00-00 00:00:00
level	mia nomo estas ~	jeg heter ~	my name is ~	grupo	0    	0000-00-00 00:00:00
level	via nomo estas ~	navnet ditt er ~	your name is ~	grupo	0    	0000-00-00 00:00:00
level	fartas, fartis	(nåtid) gjør, (fortid) gjorde	(present) does, (past) did	grupo	0    	0000-00-00 00:00:00
level	estis, estos	(nåværende) var, var (fremtiden) vil være	(present) was, were (future) will be	grupo	0    	0000-00-00 00:00:00
level	nomo, nomon	et navn, et (objektivt) navn	a name, an (objective) name	grupo	0    	0000-00-00 00:00:00
level	mia amo	min kjærlighet	my love	grupo	0    	0000-00-00 00:00:00
level	vi fartas	du gjør ~	you are doing ~	grupo	0    	0000-00-00 00:00:00
level	kiel	hvordan	how	grupo	0    	0000-00-00 00:00:00
level	kiel vi fartas?	hvordan går det?	how are you doing?	grupo	0    	0000-00-00 00:00:00
level	kio	hva	what	grupo	0    	0000-00-00 00:00:00
level	kio estas via nomo?	hva heter du?	what is your name?	grupo	0    	0000-00-00 00:00:00
level	bona, bone	bra, vel	good, well	grupo	0    	0000-00-00 00:00:00
level	fartas bone	har det bra	is doing well	grupo	0    	0000-00-00 00:00:00
level	mi fartas bone	Jeg har det bra	I am doing well	grupo	0    	0000-00-00 00:00:00
level	kaj	og	and	grupo	0    	0000-00-00 00:00:00
level	bone, kaj vi?	bra og du?	fine, and you?	grupo	0    	0000-00-00 00:00:00
level	ĝis ~	til ~	until ~	grupo	0    	0000-00-00 00:00:00
level	vidas, vidis	(nåtid) ser, (fortid) så	(present) sees, (past) saw	grupo	0    	0000-00-00 00:00:00
