level	saluton!	привет!	hello!	grupo	0    	0000-00-00 00:00:00
level	mi estas ~	я ~	I am ~	grupo	0    	0000-00-00 00:00:00
level	kiu vi estas?	кто ты?	who are you?	grupo	0    	0000-00-00 00:00:00
level	mia nomo estas ~	меня зовут ~	my name is ~	grupo	0    	0000-00-00 00:00:00
level	mi ĝojas	Я рад	I am glad	grupo	0    	0000-00-00 00:00:00
level	ankaŭ mi ĝojas	я тоже рад	I am glad, too	grupo	0    	0000-00-00 00:00:00
level	ofte venas	часто приходит	often comes	grupo	0    	0000-00-00 00:00:00
level	al tiu ĉi dancejo	в это танцевальное место	to this dancing place	grupo	0    	0000-00-00 00:00:00
level	ĉu vi ofte venas al tiu ĉi dancejo?	ты часто приходишь в это танцевальное место?	do you often come to this dancing place?	grupo	0    	0000-00-00 00:00:00
level	ne, ĉu vi?	нет, а ты?	no, do you?	grupo	0    	0000-00-00 00:00:00
level	ankaŭ mi ne	ми тоже	mi neither	grupo	0    	0000-00-00 00:00:00
level	~ estas interesa nomo	~ интересное имя	~ is an interesting name	grupo	0    	0000-00-00 00:00:00
level	ĉu?	это?	is it?	grupo	0    	0000-00-00 00:00:00
level	ĉu ne?	не так ли?	isn't it?	grupo	0    	0000-00-00 00:00:00
level	en kiu maniero?	в каком смысле?	in what way?	grupo	0    	0000-00-00 00:00:00
level	rilatas al ~	связано с ~	is related to ~	grupo	0    	0000-00-00 00:00:00
level	ĝi rilatas al Esperanto	это связано с эсперанто.	it is related to Esperanto.	grupo	0    	0000-00-00 00:00:00
level	kio?	что?	what?	grupo	0    	0000-00-00 00:00:00
level	mi ne aŭdis bone	Я плохо слышал	I didn't hear well	grupo	0    	0000-00-00 00:00:00
level	~ estas tro laŭta	~ слишком громко	~ is too loud	grupo	0    	0000-00-00 00:00:00
level	la muziko estas tro laŭta	музыка слишком громкая	the music is too loud	grupo	0    	0000-00-00 00:00:00
level	mi diris, ke ~	Я сказал это ~	I said that ~	grupo	0    	0000-00-00 00:00:00
level	mi diris ke via nomo rilatas al Esperanto	Я сказал, что твое имя связано с эсперанто.	I said that your name is related to Esperanto	grupo	0    	0000-00-00 00:00:00
level	ĉu vere?	Действительно?	really?	grupo	0    	0000-00-00 00:00:00
level	novaĵo por mi	новость для меня	a news for me	grupo	0    	0000-00-00 00:00:00
level	tio estas novaĵo por mi	это новость для меня	that's a news for me	grupo	0    	0000-00-00 00:00:00
level	ĉu vi aŭdis pri ~?	ты слышал о ~?	did you hear about ~ ?	grupo	0    	0000-00-00 00:00:00
level	ĉu vi aŭdis pri Esperanto?	ты слышал об эсперанто?	did you hear about Esperanto?	grupo	0    	0000-00-00 00:00:00
level	mi ne sciis, ke ~	Я этого не знал~	I didn't know that ~	grupo	0    	0000-00-00 00:00:00
level	sed mi ne sciis ke mia nomo rilatas al ĝi	но я не знал, что мое имя с этим связано	but I didn't know that my name is related to it	grupo	0    	0000-00-00 00:00:00
level	fakte	фактически	in fact	grupo	0    	0000-00-00 00:00:00
level	kia estas ~ ?	как ~?	how is ~ ?	grupo	0    	0000-00-00 00:00:00
level	kia estas la rilato?	как отношения?	how is the relation?	grupo	0    	0000-00-00 00:00:00
level	ho!	ой!	oh!	grupo	0    	0000-00-00 00:00:00
level	tio estas longa rakonto	это долгая история	that's a long story	grupo	0    	0000-00-00 00:00:00
level	rakontos al vi	скажу тебе	will tell you	grupo	0    	0000-00-00 00:00:00
level	se vi volas	если ты хочешь	if you want	grupo	0    	0000-00-00 00:00:00
level	mi rakontos al vi poste, se vi volas	Я скажу тебе позже, если хочешь	I will tell you later, if you want	grupo	0    	0000-00-00 00:00:00
